x	arrow-shortestpairs	ivy-shortestpairs
1.0	2.0	2.0
2.0	2.0	2.0
3.0	1.5	1.5
4.0	1.2	1.2
5.0	1.0	1.0
6.0	1.0	1.0
7.0	1.0	1.375
8.0	1.1111111111111112	1.3333333333333333
9.0	1.2	1.4
10.0	1.2727272727272727	1.4545454545454544
11.0	1.3333333333333333	1.4999999999999998
12.0	1.3076923076923077	1.6153846153846152
14.0	1.2666666666666668	1.533333333333333
16.0	1.2941176470588238	1.5882352941176467
18.0	1.3684210526315792	1.5789473684210524
20.0	1.285714285714286	1.5238095238095237
23.0	1.3333333333333335	1.5833333333333335
25.0	1.3076923076923077	1.576923076923077
29.0	1.2666666666666666	1.5333333333333332
32.0	1.2121212121212122	1.4545454545454544
36.0	1.2432432432432432	1.4594594594594594
41.0	1.1904761904761907	1.4047619047619044
46.0	1.1914893617021278	1.4255319148936167
52.0	1.2830188679245285	1.433962264150943
58.0	1.3559322033898307	1.406779661016949
65.0	1.3636363636363635	1.3636363636363635
73.0	1.3783783783783785	1.4054054054054055
83.0	1.3571428571428574	1.3928571428571428
93.0	1.3617021276595744	1.3297872340425534
104.0	1.371428571428571	1.3238095238095242
117.0	1.3135593220338981	1.322033898305085
132.0	1.330827067669173	1.330827067669173
148.0	1.3288590604026846	1.2885906040268458
166.0	1.3532934131736525	1.281437125748503
187.0	1.3085106382978722	1.2446808510638299
210.0	1.3175355450236965	1.2796208530805688
236.0	1.316455696202532	1.2658227848101262
265.0	1.3082706766917298	1.2631578947368414
298.0	1.3311036789297659	1.2408026755852835
335.0	1.3571428571428574	1.25297619047619
376.0	1.3262599469496026	1.2387267904509278
422.0	1.3049645390070927	1.2316784869976352
475.0	1.2941176470588238	1.2352941176470587
533.0	1.2996254681647943	1.2528089887640448
599.0	1.2983333333333336	1.2483333333333329
673.0	1.286350148367952	1.2611275964391686
756.0	1.284015852047556	1.2681638044914125
849.0	1.2847058823529411	1.2635294117647042
954.0	1.2795811518324605	1.2628272251308887
1072.0	1.2712022367194786	1.2534948741845289
1204.0	1.2829875518672196	1.2531120331950205
1353.0	1.267355982274741	1.2422451994091575
1519.0	1.257894736842106	1.2381578947368421
1707.0	1.2535128805620626	1.2400468384074936
1917.0	1.2659019812304502	1.257038581856098
2154.0	1.2770301624129945	1.2570765661252894
2420.0	1.2763320941759622	1.2618752581577857
2718.0	1.2688488414858412	1.255976461934533
3053.0	1.2652259332023588	1.2518009168303847
3430.0	1.2678519382104352	1.2585252113086558
3853.0	1.263362740010378	1.2605085625324348
4328.0	1.2658812658812633	1.2649572649572665
4862.0	1.2677359654534193	1.2642401809582575
5462.0	1.2736591616328	1.2639575324913048
6135.0	1.2764015645371574	1.2645045632333762
6892.0	1.271724938343245	1.2669374727984926
7742.0	1.2726333462482253	1.2690171768048564
8697.0	1.2727063692802947	1.267647735111521
9770.0	1.2737693173677211	1.2717224439668389
10974.0	1.2745330296127577	1.2729840546697029
12328.0	1.2786114040068155	1.277962527374479
13848.0	1.279803595927505	1.2802368402050643
15556.0	1.2749887510445448	1.278202738317155
17475.0	1.2758640421148955	1.2802700846875674
19630.0	1.2774693087463707	1.2822576537109642
22051.0	1.2799746054779655	1.283466352258297
24770.0	1.278188203948169	1.282386661822285
27825.0	1.2797743117947276	1.2840508876590178
31256.0	1.2809290718879045	1.2843203122500517
35111.0	1.2771701982228347	1.281214399635446
39441.0	1.2785102175346186	1.2829978195831726
44305.0	1.2796235272875165	1.2863269083194044
49769.0	1.2776371308017056	1.2832831022704347
55907.0	1.2777420047220625	1.2832868283608678
62802.0	1.2789516424374825	1.2832189545085364
70547.0	1.2792141520666978	1.2843028859783399
79247.0	1.2791490006057091	1.2840450232182572
89020.0	1.2781029195358453	1.2831017400388716
99999.0	1.2772699999999952	1.2820100000000039
