x	arrow-minPairs	ivy-minPairs
1.0	2.3333333333333335	2.3333333333333335
2.0	1.9444444444444446	1.9444444444444446
3.0	1.4583333333333335	1.4583333333333335
4.0	1.4000000000000001	1.6333333333333333
5.0	1.5555555555555556	1.75
6.0	1.5	1.6666666666666667
7.0	1.4583333333333335	1.75
8.0	1.5555555555555556	1.6851851851851853
9.0	1.6333333333333333	1.75
10.0	1.6969696969696968	1.803030303030303
12.0	1.7948717948717947	1.7948717948717947
14.0	1.8666666666666667	1.8666666666666667
16.0	1.9215686274509802	1.9901960784313724
18.0	1.9035087719298243	2.087719298245614
21.0	1.8030303030303028	1.9621212121212117
24.0	1.7733333333333334	1.9599999999999995
28.0	1.689655172413793	1.8505747126436776
32.0	1.6969696969696968	1.8383838383838376
37.0	1.780701754385965	1.934210526315789
43.0	1.696969696969697	1.8560606060606055
49.0	1.68	1.913333333333333
57.0	1.729885057471264	1.9712643678160915
65.0	1.7499999999999996	1.9797979797979792
75.0	1.734649122807017	1.9495614035087712
86.0	1.7164750957854402	1.9578544061302676
99.0	1.6799999999999997	1.9133333333333324
114.0	1.72463768115942	1.9478260869565207
132.0	1.7192982456140342	1.9736842105263153
151.0	1.7499999999999993	1.9802631578947365
174.0	1.766666666666666	2.0199999999999996
200.0	1.7761194029850735	2.0663349917081257
231.0	1.7399425287356307	2.006465517241379
265.0	1.7631578947368407	2.0219298245614037
305.0	1.7614379084967309	2.0092592592592586
351.0	1.7632575757575752	2.035037878787879
403.0	1.755775577557755	1.986798679867987
464.0	1.736200716845877	1.9519713261648746
533.0	1.7084893882646686	1.9313358302122339
613.0	1.710097719869706	1.9362106406080348
705.0	1.7186024551463646	1.9169027384324833
811.0	1.7183908045977008	1.8965517241379295
932.0	1.7181136120042872	1.8869239013933528
1072.0	1.711401056228644	1.8995029512270876
1232.0	1.7258718572587195	1.8971343606380087
1417.0	1.7228490832157966	1.9186647860836836
1629.0	1.7163599182004077	1.9010224948875218
1873.0	1.7182497331910334	1.8888295980078231
2154.0	1.7183294663573063	1.8758700696055666
2477.0	1.7062146892655372	1.8790018832391684
2848.0	1.7043407043407053	1.8710073710073711
3274.0	1.7006615776081437	1.8727226463104323
3764.0	1.703054448871183	1.8710048694112418
4328.0	1.700546700546701	1.8695233695233648
4977.0	1.7071112896745688	1.8662448104995284
5722.0	1.7079037800687293	1.863038033665323
6579.0	1.7134751773049686	1.8636524822695024
7564.0	1.7127561136814284	1.865432914738927
8697.0	1.7088219514064527	1.8607917528933828
9999.0	1.7164000000000026	1.8575666666666653
11497.0	1.7106308343480086	1.8517713225488548
13219.0	1.7090519415027767	1.849369641956632
15199.0	1.7100877192982464	1.8517763157894709
17475.0	1.7091439688716001	1.8509384298466411
20092.0	1.7108943413129059	1.8536720914414602
23101.0	1.7140940178339594	1.8540313969930455
26560.0	1.7144434822986112	1.8540780342105592
30538.0	1.71460536799939	1.8550760230088281
35111.0	1.717503987240823	1.854864433811801
40370.0	1.7171567048954233	1.856216921387466
46415.0	1.7170480006894135	1.857125416523038
53366.0	1.7160604868176885	1.8543107163602908
61359.0	1.7148631029986845	1.8553346371142805
70547.0	1.714792292717955	1.8537874922038862
81113.0	1.715351234065627	1.8545216197779169
93260.0	1.7153043608796723	1.8537241362055619
107226.0	1.7126096971844647	1.8528246927857104
123284.0	1.7119249435589643	1.8540238742209947
141747.0	1.7110529484249026	1.8544459181082058
162974.0	1.7110395254895794	1.8542895127064518
187381.0	1.7109932295168762	1.8550910261746822
215443.0	1.7118230259371239	1.8537493114993246
247707.0	1.711821983948832	1.8549118316727566
284803.0	1.7130342270473604	1.855670332345458
327454.0	1.712339100029001	1.8557644052871893
376493.0	1.7131215902510624	1.8556679079436
432875.0	1.7137502040615025	1.855771244729036
497701.0	1.7143531671562608	1.8571069301175063
572236.0	1.7143508721037284	1.8571492231366122
657932.0	1.7142312869750378	1.8571057640621413
756462.0	1.7143991180005027	1.857188212333843
869748.0	1.71367467319113	1.8567787948017362
999999.0	1.7131146666666244	1.855814333333371
