x	arrow-star	arrow-mst	arrow-random	ivy-random	random-random	localMinPairs-random	minWeight-random	dynamicStar-random
1.0	1.5	4.0	6.0	5.5	5.0	5.5	5.5	5.5
2.0	1.6666666666666667	4.0	6.0	4.666666666666667	4.333333333333333	4.666666666666667	5.0	4.666666666666667
3.0	1.75	4.25	6.5	5.0	4.0	5.25	5.25	5.0
4.0	1.8	8.6	6.8	4.6	4.6	5.0	5.0	4.6
5.0	1.8333333333333335	12.333333333333332	6.5	4.666666666666666	4.833333333333333	5.333333333333333	5.333333333333333	4.666666666666666
6.0	1.8571428571428572	14.142857142857142	6.428571428571429	4.571428571428571	4.571428571428571	5.285714285714286	5.285714285714286	4.571428571428571
7.0	1.875	14.125	6.375	4.75	4.5	6.125	6.0	4.75
8.0	1.8888888888888888	13.0	6.222222222222222	4.444444444444445	4.444444444444445	5.888888888888889	6.222222222222222	4.444444444444445
9.0	1.9	13.3	6.1	4.4	4.6000000000000005	5.800000000000001	6.4	4.4
10.0	1.909090909090909	12.454545454545455	6.363636363636363	4.454545454545455	4.909090909090909	5.818181818181819	6.363636363636364	4.454545454545455
11.0	1.9166666666666665	12.583333333333334	6.25	4.333333333333334	4.75	5.666666666666668	6.166666666666667	4.333333333333334
12.0	1.923076923076923	11.76923076923077	6.230769230769231	4.461538461538462	4.769230769230769	5.846153846153848	6.384615384615385	4.461538461538462
14.0	1.9333333333333331	12.133333333333335	6.2	4.6000000000000005	4.8	5.800000000000001	6.2666666666666675	4.6000000000000005
16.0	1.941176470588235	11.764705882352942	6.176470588235294	4.470588235294119	5.294117647058823	5.588235294117648	6.23529411764706	4.470588235294119
18.0	1.9473684210526314	11.631578947368421	6.526315789473685	4.36842105263158	5.526315789473684	5.3157894736842115	6.052631578947369	4.36842105263158
20.0	1.952380952380952	12.428571428571429	6.761904761904762	4.2857142857142865	5.285714285714286	5.2857142857142865	6.0	4.333333333333334
23.0	1.958333333333333	13.333333333333334	7.0	4.458333333333334	5.25	6.0	6.666666666666666	4.500000000000001
25.0	1.9615384615384612	13.423076923076923	6.961538461538462	4.423076923076923	5.1923076923076925	6.0	6.384615384615384	4.461538461538463
29.0	1.9666666666666663	13.000000000000002	6.966666666666667	4.2333333333333325	5.000000000000001	5.833333333333334	6.2333333333333325	4.333333333333334
32.0	1.9696969696969693	12.90909090909091	6.9393939393939394	4.242424242424241	5.151515151515152	5.757575757575758	5.969696969696969	4.303030303030304
36.0	1.9729729729729726	13.054054054054054	6.621621621621623	4.216216216216216	5.135135135135136	5.810810810810811	5.972972972972972	4.351351351351352
41.0	1.976190476190476	12.785714285714286	6.690476190476191	4.119047619047619	5.190476190476192	5.500000000000001	5.69047619047619	4.261904761904761
46.0	1.9787234042553192	12.531914893617023	6.723404255319148	4.191489361702127	5.361702127659575	5.553191489361702	5.723404255319148	4.340425531914893
52.0	1.9433962264150944	13.132075471698117	6.415094339622642	4.150943396226413	5.452830188679245	5.641509433962264	5.830188679245283	4.339622641509433
58.0	1.9491525423728813	13.050847457627121	6.305084745762712	4.203389830508473	5.406779661016949	5.71186440677966	6.101694915254237	4.423728813559322
65.0	1.9242424242424243	12.515151515151517	6.2272727272727275	4.257575757575757	5.393939393939394	5.590909090909092	6.181818181818181	4.53030303030303
73.0	1.9324324324324325	12.75675675675676	6.364864864864865	4.189189189189188	5.364864864864865	5.486486486486487	6.108108108108108	4.4324324324324325
83.0	1.9166666666666665	13.059523809523812	6.404761904761905	4.154761904761903	5.440476190476191	5.4523809523809526	6.333333333333333	4.3690476190476195
93.0	1.925531914893617	13.191489361702132	6.595744680851064	4.159574468085105	5.404255319148937	5.372340425531915	6.659574468085105	4.436170212765958
104.0	1.9142857142857144	13.152380952380959	6.419047619047619	4.095238095238094	5.371428571428572	5.190476190476191	6.895238095238094	4.333333333333334
117.0	1.9237288135593218	13.271186440677972	6.449152542372881	4.135593220338982	5.347457627118645	5.194915254237288	6.796610169491524	4.389830508474578
132.0	1.9323308270676693	13.195488721804518	6.443609022556389	4.157894736842105	5.390977443609023	5.157894736842106	6.842105263157893	4.406015037593986
148.0	1.9395973154362418	13.295302013422825	6.442953020134226	4.140939597315437	5.389261744966444	5.154362416107383	6.9597315436241605	4.38255033557047
166.0	1.9461077844311374	13.173652694610785	6.389221556886224	4.095808383233534	5.461077844311378	5.113772455089821	6.910179640718562	4.377245508982036
187.0	1.9414893617021276	13.085106382978733	6.218085106382974	4.111702127659575	5.409574468085105	4.989361702127658	6.888297872340425	4.393617021276596
210.0	1.928909952606635	12.848341232227497	6.222748815165875	4.132701421800946	5.454976303317532	5.0094786729857805	6.914691943127962	4.393364928909953
236.0	1.9367088607594936	12.987341772151904	6.20675105485232	4.143459915611813	5.489451476793245	5.130801687763711	7.037974683544305	4.455696202531646
