x	arrow-star	arrow-mst	arrow-random	ivy-random	random-random	localMinPairs-random	inbetween'-0.5-random	inbetween'-0.1-random	inbetween'-0.2-random	minWeight-random	dynamicStar-random
1.0	1.0112701359151284	1.7476234764147944	8.663699841923044	5.027038703031839	6.104716970125377	5.285201110162301	5.4018617610873205	5.027038703031839	5.285201110162301	5.5961011427319285	5.027038703031839
2.0	1.0248049128342787	1.9301146226639392	6.4934417975617205	3.970414620034612	12.078751128280302	4.1659426563406665	4.240902159318788	3.970414620034612	4.14252289145492	4.373209344720418	3.970414620034612
3.0	1.025646702390279	1.9020705678287495	5.892924520577964	3.7329361826336447	9.863876475917397	4.147300164662173	3.9358018370967764	3.7329361826336447	3.862017386198876	4.302750180946987	3.7329361826336447
4.0	1.2543289441307526	1.8811151551665852	5.416795807504414	3.765813797456499	9.599827045540714	4.020296322771782	4.001889953627698	3.765813797456499	3.869078760308684	4.144656335799633	3.765813797456499
5.0	1.2637061260753866	1.7628492008743244	4.73428363931881	3.521518424547674	9.106964604797223	3.5705340687082834	3.855704201463558	3.521518424547674	3.607572560257828	3.674167412898159	3.521518424547674
6.0	1.2267266553768104	1.739817698453008	4.253861622714318	3.2143485814819157	8.185269437398544	3.2563619907624384	3.500793533124102	3.2143485814819157	3.2881092692334764	3.3451905714966172	3.2143485814819157
7.0	1.3318006926214747	1.9389284978667873	5.470364671837094	4.153589726279558	7.682847957588987	3.5259441285145634	4.34203274294619	4.153589726279558	4.207218592144069	3.6739972305618283	4.153589726279558
8.0	1.4346713473596706	2.171815070511537	5.135657706831864	3.803190867804051	6.98192831942719	3.245283669790723	3.970695771507724	3.803190867804051	3.850860970794728	3.3768864271660695	3.803190867804051
9.0	1.3964411162016301	2.16306201834704	6.7239987147814295	4.392849964852854	7.146489404472367	3.5429164922568046	5.200192843327989	4.392849964852854	4.816674594916662	3.7628343015064396	4.392849964852854
10.0	1.4233285757837006	2.062297924791218	7.108141670334366	4.146820142885268	6.915586167972665	3.403221336395499	4.990625029877347	4.146820142885268	4.571643973440415	3.680442144348431	4.146820142885268
11.0	1.4490963335283074	2.030741884435545	7.890563966376195	4.0465386574521105	6.527721531391206	3.6097397112579093	4.6713659105450205	4.0465386574521105	4.691792334843033	3.7329910148168275	4.0465386574521105
12.0	1.5638646145628365	2.1235254684638707	7.8705974731263355	4.096453415956295	6.260221441699986	3.7323920539768727	5.1068675630076745	4.096453415956295	4.649115907489933	3.6931130247682202	4.096453415956295
14.0	1.6057346016358045	2.072630275301923	7.68099798057412	3.9336031452447213	6.3584851352255765	3.694125571626238	5.073025934383183	3.9336031452447213	4.499273440323659	3.651454463333621	3.9336031452447213
16.0	1.5604296805186177	1.992247137852911	8.381531310097445	4.789685758789334	6.87789929063712	4.164356357609857	5.947390749494181	4.791607907362592	5.487786364606446	4.113306884309091	4.789685758789334
18.0	1.5671101790412465	1.9271290241702563	9.36962894528827	5.216755728117364	6.687065566995168	4.383213124447099	6.444699415618818	5.215753471217962	6.04038414367003	4.378036719692543	5.216755728117364
20.0	1.5147682211613593	1.9094631048180881	10.540043713569041	5.877166021264253	8.184831499494116	5.4223283707052286	7.881757171338784	5.97960820368571	6.440118676084618	5.548779165557181	5.877166021264253
23.0	1.5974050484895503	1.8265789605738636	9.819929738484433	5.478857472738153	8.044343348440396	5.149784175037251	7.443137538972494	5.5870365647176765	6.0598809938077425	5.179797763318408	5.478857472738153
25.0	1.568292934319701	1.816160890651831	9.437440981862396	5.3282913435414585	7.865903646732158	4.968524430919482	7.3637701624517184	5.429181005214846	5.870070880972406	4.962536454210653	5.3282913435414585
29.0	1.562150942903052	1.7907811945921641	9.376490383260325	5.346032098784774	8.41643955493773	4.887588697459033	7.59537983576432	5.5091347035680585	6.119651592315899	4.910069986392173	5.346032098784774
32.0	1.6002636356096773	1.7846615179380705	9.25757380647996	5.351560231984348	8.236312103266643	4.778123366188249	7.3510738057863225	5.433197252672588	5.8646908325595986	4.786183270386434	5.351560231984348
36.0	1.559521634709469	1.7619120445527896	8.874534795044077	5.2014093247973054	8.298729926150893	4.61765741937643	7.260252606648687	5.274236416254168	5.750340732098337	4.583922236726995	5.2014093247973054
41.0	1.5696526745526775	1.7278458374944292	8.574698458448077	5.351941960351385	7.574937442877212	4.578367797681075	7.058637498618714	5.3509950686699534	5.688112038888364	4.636993569973217	5.370399998014861
46.0	1.6264793413676149	1.7196784978245485	8.489345057629345	5.785881187577	8.972744809650578	4.649090621485507	7.964844342208597	5.569892971525722	5.870010468033067	4.585947559959441	5.7837176867515225
52.0	1.6349440346503599	1.8244383494207237	8.320150219566159	5.681307523062257	8.326769290637369	4.605331915484556	7.853540863781231	5.58653004381635	5.899884887909306	4.476839523567067	5.683932043138155
58.0	1.6225294142329933	1.8023667275398225	8.506558986027708	5.624676350575115	8.332849650278622	4.332547927374857	7.927619424833237	5.482271888674007	5.76752199931793	4.31867534298905	5.558214407813127
65.0	1.626448335377175	1.8817354363858263	8.686081796289196	5.51042245233954	8.702208490532557	4.101344642217592	7.861962627789887	5.354243473542567	5.723087314334662	4.11248565832792	5.359328550408912
73.0	1.5975587483028435	1.924060355502941	8.609232998670128	5.428182523295979	8.693985251760079	3.9051348817551905	7.508061187330735	5.326611696975242	5.510304940928592	3.9152056574250693	5.337770178214077
83.0	1.6682188923253527	1.9442030645285513	8.485772842793784	5.422315934110535	10.491378751419221	3.8461485477671404	7.466330342421996	5.316537204434315	5.71009047371241	3.7592058538150503	5.358238202451212
93.0	1.6310480352985144	1.9122981727874728	8.353465252320646	5.2463979207225355	10.42140741821906	3.749290984890135	7.194881044305593	5.164711532271579	5.647662476020807	3.560926514252227	5.146908556788718
104.0	1.6535810044898334	1.8895123381172083	8.065064235536221	5.300727583749145	9.802934267728599	3.6603783384508763	7.106374059777153	5.2174920551100765	5.618089716984289	3.441222919056347	5.1201771991511675
117.0	1.6817413035656517	1.8904314637205684	7.99166305121376	5.247611919211559	9.483117080452747	3.602908334998519	7.1795663296110845	5.292895005589256	5.635577511107644	3.3707923042071872	5.209333981477505
