x	arrow-star	arrow-mst	arrow-random	ivy-random	random-random	localMinPairs-random	minWeight-random	dynamicStar-random
1.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5613396796130369	0.52140543316472	0.5613396796130369	0.5613396796130369	0.5613396796130369
2.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5409266160367903	0.552624509152336	0.5288725032537199	0.527634480234877	0.5409266160367903
3.0	0.37679254781157395	6.589806880572449e-2	0.52140543316472	0.5387650269512732	0.5501660966343973	0.5262422105853868	0.5247067924050394	0.5387650269512732
4.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5387969766047441	0.5475821365761195	0.5147248415991976	0.5112036905523925	0.5387969766047441
5.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5414499227831062	0.5430922734333267	0.5132060178542778	0.5094172456121816	0.5414499227831062
6.0	0.37679254781157395	6.589806880572449e-2	0.52140543316472	0.5304936078270817	0.5400361869926928	0.5026250966978987	0.4987114502206998	0.5304936078270817
7.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5293947846053535	0.5384154694597109	0.5025023777808748	0.4985887313036759	0.5293947846053535
8.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5345031758481218	0.5455604779176869	0.49885945934241566	0.492659625841028	0.5345031758481218
9.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5291122035164775	0.5397154067361075	0.49885945934241566	0.4924882145584167	0.5291122035164775
10.0	0.3767925478115739	6.589806880572448e-2	0.52140543316472	0.5396892840122157	0.5426549356580112	0.4963817983342015	0.488936059282983	0.5396892840122157
11.0	0.3767925478115739	6.589806880572448e-2	0.52140543316472	0.5339501172760727	0.5460404431165089	0.4828120777922354	0.47101364702916293	0.5339501172760727
12.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5325417662736283	0.5485421200959996	0.4790979468681332	0.4672995161050608	0.5325417662736283
14.0	0.37679254781157395	6.589806880572449e-2	0.52140543316472	0.5237758635710689	0.5395363901001564	0.4754801767611054	0.4554198803896427	0.5237758635710689
16.0	0.37679254781157395	6.589806880572448e-2	0.52140543316472	0.5366779887965509	0.5312995164635304	0.4743802808739823	0.4445200343165968	0.5366779887965509
18.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5213535312158497	0.5285036785352222	0.46242026413373216	0.4315932688715347	0.5213535312158497
20.0	0.3767925478115739	6.589806880572448e-2	0.52140543316472	0.529380581608859	0.5222778449764267	0.46242026413373216	0.43042077648890464	0.5289908459945989
23.0	0.3767925478115739	6.589806880572448e-2	0.52140543316472	0.5283219847547288	0.5301167384016656	0.4558929634136827	0.41098178366666976	0.5315426512608474
25.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.5314339716113845	0.5403393234009822	0.4382296360512871	0.39318871552968476	0.534654638117503
29.0	0.3767925478115739	6.589806880572449e-2	0.52140543316472	0.531990215123068	0.5366196891301501	0.425293665248138	0.38191991363209143	0.525183229453508
32.0	0.3767925478115739	6.589806880572448e-2	0.52140543316472	0.5215459972193356	0.5389223344657362	0.4204478027541485	0.38191991363209143	0.5319917969677364
