x	arrow-star	ivy-random	localMinPairs-random	minWeight-random	inbetween-3-4-random	dynamicStar-random
1.0	7.930605053206415	97.59116152043704	98.00607111197519	98.00607111197519	101.20948647778249	97.59116152043704
2.0	10.240806737608553	92.4974842979137	93.01855795039467	93.01855795039467	103.21668113064337	92.4974842979137
3.0	11.395907579809622	78.53374165847332	78.92811314556958	80.25129323324151	102.57041877906951	78.53374165847332
4.0	12.088968085130263	68.05075233471187	68.36624952438888	69.42479359452642	92.81723483049522	68.05075233471187
5.0	12.55100842201069	60.899135720632415	61.162050045363245	62.58607549577093	88.11318267037566	60.899135720632415
6.0	12.88103723406814	78.73263038951012	79.48654858283633	77.91278867287997	85.32120626441605	78.73263038951012
7.0	13.128558843111227	74.26475329326209	74.92443171242252	73.69906692218547	81.86208312507988	74.26475329326209
8.0	13.321075650144738	69.41914899947164	70.00552981650313	68.91631666962576	107.16003604854504	69.41914899947164
9.0	13.475089095771548	65.32452854314585	66.06902455706502	64.75142890427543	103.00242333679205	65.32452854314585
10.0	13.601100096738937	71.49268747473627	82.17233183956002	72.16420256214704	97.83166855835064	71.49268747473627
12.0	13.794963175150306	64.97749734154222	83.21792903555114	65.40096868402154	94.00220556778558	64.97749734154222
14.0	13.937129432651975	58.01981572916437	80.38772467317462	58.96912677092156	87.23974089311521	58.47092448564882
16.0	14.045844806035605	54.236504293735685	72.58927759817425	55.24415184989734	80.91593076654506	53.3019960026241
18.0	14.131672732391102	50.85904786936887	67.64389128387272	53.04365064813324	76.04015699850444	50.77313105037581
21.0	14.231155101575883	46.963397014094475	63.853998258684804	49.037337589555804	70.57232589558699	46.475332552600044
24.0	14.306761702156315	43.96735858883106	62.44150738717185	45.3172604364019	67.383889641772	44.13301755239127
28.0	14.383237344122731	42.331545717754075	55.799081782724095	41.72520239212265	66.52668653582106	40.48550212933037
32.0	14.441173436521531	40.33058650475005	52.740191851211286	40.57601116158948	63.946339302115845	37.850753988164385
37.0	14.496441419401966	40.91363941672608	52.31525919231585	38.99797593171838	65.7300682871835	36.852203517557214
43.0	14.546182603994357	38.16990709755256	47.64048638580429	41.91423600433361	66.83188399543619	36.66389086062426
49.0	14.583985904284573	37.819332879608446	43.85910580414096	39.55134729713726	63.04360139877139	37.16642275047964
57.0	14.622223725267782	36.93249615727359	44.078594504769534	39.077028630449604	69.76668785496206	37.55290239659853
65.0	14.651191771467182	37.70753180126368	45.59241332771226	37.59171063439687	67.45971821521287	41.42812424188451
75.0	14.678825762907396	36.655282753854216	42.993982938886106	35.44087297872611	69.46568850611473	40.21933395983182
86.0	14.701885852316126	39.83821909776826	40.056303686110155	32.571803949167695	69.58120082523067	38.47210527919069
99.0	14.722598005348699	38.34058829449832	36.03153613160835	30.394760982237692	65.36912941534955	35.84366969432648
114.0	14.740677844617931	36.915581065852216	36.284995864351544	28.133374818441894	63.11931246656441	35.427146149648046
132.0	14.756990481552583	36.97735218260513	33.0202838858024	25.959562816664583	66.80858137628101	36.36594791792256
151.0	14.770017934660112	37.13753841263679	29.809473316930486	24.223532398578538	66.37733266833776	35.646878335461935
174.0	14.78200319151904	37.67242928334606	26.50582045206309	22.62638441393937	74.81421735479955	33.969027024587795
200.0	14.792248862102316	38.4271493664372	23.801014953397075	21.261052630401853	72.3890209020304	33.026886872570756
231.0	14.801463511126565	36.940694081620556	21.421722496771558	20.033114148026012	70.59647026097653	31.62069883270072
265.0	14.809100293982699	34.202368094672465	19.488428368452325	19.0154411443204	73.32434178426169	32.173575751844666
305.0	14.815912034169648	33.8757471250931	17.83974209576748	18.10771282113815	74.81799687418258	33.04113452919106
351.0	14.821831668610521	34.513459653974635	16.224896280880316	17.31886596300903	70.12199303899746	31.802839523480653
403.0	14.826900180406861	33.91076375776849	14.850904674583635	16.643439186935495	70.9983890485977	29.35470358149922
464.0	14.831401052420544	33.74861187871295	13.724745908668039	16.043655740456966	71.97626231006491	27.719503771832624
533.0	14.835252784116177	33.63749742958565	12.804175427422493	15.530376334979117	68.59427355106777	27.06556636758915
613.0	14.838634845653202	33.1295856004171	11.956418527559897	15.079684887030862	66.61690004848649	25.751710852199402
705.0	14.841576664335761	33.394220065896214	11.093167858262017	14.687659932094567	65.91551125140926	26.27534497205533
811.0	14.844139650616764	33.497283338699695	10.442191070981615	14.346117950847594	65.02171846616662	24.08419268742385
932.0	14.846353503940785	33.13816562543392	9.780594899962558	14.051101213502008	64.43374877287785	26.657959503483365
1072.0	14.848291923648224	32.61705636404314	9.252293184263298	13.792788591122125	63.55396437392523	26.180814850557308
1232.0	14.8499682490678	32.53051199605023	8.79831770280835	13.56940249293613	62.56166105410254	25.650034031266976
1417.0	14.851434922980944	32.60130202372821	8.463014858157415	13.373954426026689	61.81263154757833	25.615775027257598
1629.0	14.8527062965316	32.66479781178064	8.094140657827513	13.204531965745279	63.834683357009325	25.292415579342556
1873.0	14.85381351617462	32.30912309512563	7.77431128920339	13.056984554603526	63.17204533780352	23.725751002801346
2154.0	14.854777990354163	32.604633975008525	7.498004359806769	12.928459316451196	62.69606274367236	22.236920546653963
2477.0	14.855616397733886	32.54231762811028	7.250201303783572	12.816733662792839	62.73030152823488	21.265807828469146
2848.0	14.856344816800187	32.41319325112544	7.0430472905288894	12.719664984381833	62.58620380238088	19.95569545815881
3274.0	14.856977675846	32.130080088796	6.838499272647117	12.635330575745256	61.538505620768845	18.81745443328608
3764.0	14.857528510103048	32.267205399575346	6.615813872733756	12.561926740194965	61.03179384650014	17.826740697847534
4328.0	14.858008163676331	32.60491176555152	6.393848292483051	12.498008398944016	60.9494403019818	16.964050374528043
4977.0	14.858425612618879	32.577592770879384	6.200535975447466	12.442379408666387	60.556091548577925	16.67266014115759
5722.0	14.858788088221969	32.72486560740447	6.03246609669138	12.394076131917448	60.186252269987804	17.286555791952075
6579.0	14.859103539527387	33.18769087597049	5.886610492242851	12.352039284262508	60.33582639336168	17.0412218649601
7564.0	14.859377824839	33.15803471343506	5.759534072205229	12.315488191717627	60.30416337696538	16.69599807033537
8697.0	14.859616497525016	33.037571499311376	5.648968610557015	12.2836828158304	60.33396313276603	15.238360179044996
9999.0	14.85982398540221	33.02072438227745	5.5529364047653305	12.256033108460562	60.317960232528804	15.993705514817023
11497.0	14.860004574137102	33.24876779231635	5.469295782218573	12.2319679643091	59.94665682657731	18.045342384720655
13219.0	14.860161603379082	33.28478781381595	5.396669143067731	12.21104234374954	59.04982129867541	18.3648198934644
15199.0	14.860298184695322	33.32935200276411	5.333379599763038	12.192841601242216	54.92564980357602	17.02524514241611
17475.0	14.86041694950588	33.06028679852402	5.278429940714597	12.177015075366151	51.33852178401933	16.410852233779032
20092.0	14.86052025372253	33.07236127889216	5.230569092719287	12.163248818755797	48.219205710387534	15.34392829273791
23101.0	14.860610105975395	33.108123020072696	5.189019751155581	12.151275162602257	45.50627924187453	14.839845948664047
26560.0	14.86068824315071	33.06956291464802	5.152816641143015	12.140862650502708	43.14692869269021	14.15295290531176
30538.0	14.860756220885918	33.086597489591696	5.121288363239627	12.131803979158537	41.094442174882566	13.55537008679247
35111.0	14.860815335106526	33.11398381686216	5.093922552233292	12.123926454342442	39.30947074089457	13.03570519292851
40370.0	14.86086676069173	33.03264604837456	5.070174637723828	12.117073512372619	37.75667616318709	12.583630024075896
46415.0	14.860911476412257	32.98928794331179	5.049422259748032	12.111114722856199	36.406509976798105	13.30598588838059
53366.0	14.860950372680286	32.98257641399176	5.031408541189178	12.105931430018572	35.232054399049716	16.52443327322346
61359.0	14.860984206639259	32.96106502678746	5.015747776259075	12.10142273737465	34.210721699636494	16.959029086814425
70547.0	14.861013627276591	32.91791285644926	5.002135545505451	12.0975021612778	33.32208815484937	17.349264524322503
81113.0	14.861039220867777	32.94557226154368	4.99027205694143	12.094091575002116	32.5493571831889	19.1412088132906
93260.0	14.861061478260636	32.92736081309464	4.979972464086289	12.091125568467188	31.87727147409515	18.221296246348864
107226.0	14.861080836638369	33.002285885268016	4.971002434361427	12.08854588290665	31.29275572478132	17.98359322108389
123284.0	14.861097674161481	33.040589701731854	4.9632135443403556	12.086302124892809	30.784485728944535	17.776843966059452
141747.0	14.861112318718595	33.03135660610305	4.956436017913017	12.084350600209678	30.342157448498284	17.5970223132979
162974.0	14.861125055269483	33.028344914628256	4.950534523386731	12.082653335236465	29.957693930656085	17.08226120978359
187381.0	14.861136133405425	33.00889676469434	4.945398449899898	12.081177069636965	29.623099156590865	16.994492297565817
215443.0	14.861145768533392	33.001812919023095	4.940946926750951	12.079893098370473	29.332179551372167	16.11881582987241
247707.0	14.861154148550911	33.0457106027161	4.937065420814432	12.078776382390268	29.079129982921636	15.083110779734561
284803.0	14.861161437117138	32.95616465486584	4.933691516749193	12.077805112503924	28.85907094971705	14.710833679120551
327454.0	14.861167776290824	32.9087850912993	4.9307542538586935	12.07696035809754	28.667702659716245	14.25421638952815
376493.0	14.861173289863073	32.938078733788224	4.928204999631233	12.076225622844172	28.501180527032766	13.857068037953544
432875.0	14.861178085210156	32.961642585618456	4.925981910813405	12.075586597815695	28.356380313024154	13.511654182422438
497701.0	14.861182255992018	32.91694328103551	4.924047450294172	12.075030801978707	28.23044677564167	13.211228417568876
572236.0	14.86118588356436	32.913253000975686	4.922370586248666	12.074547393912296	28.12091253897733	12.949930602010225
657932.0	14.86118903859875	32.896583355959294	4.920909748986658	12.074126955967678	28.025644960918306	12.722670189678732
756462.0	14.861191782700875	32.89369511073152	4.919639040651754	12.073761278601092	27.942788432977615	12.525009654648885
869748.0	14.861194169389503	32.90032858718031	4.918534162031063	12.07344322993933	27.87072815837221	12.321718343036164
999999.0	14.86119624520278	32.8862404887959	4.917572789058839	12.073166608341054	27.808064122614415	12.478920222934214
