x	arrow-minPairs	ivy-minPairs
1.0	2.2857142857142856	2.2857142857142856
2.0	2.2857142857142856	1.9047619047619049
3.0	2.2857142857142856	2.2857142857142856
4.0	1.8285714285714287	1.8285714285714287
5.0	1.9047619047619049	1.9047619047619049
6.0	1.959183673469388	1.959183673469388
7.0	2.0	2.0
8.0	2.0317460317460316	2.2857142857142856
9.0	2.057142857142857	2.1714285714285713
10.0	2.0779220779220777	2.2857142857142856
12.0	2.021978021978022	2.2857142857142856
14.0	1.9809523809523808	2.2857142857142856
16.0	1.8823529411764703	2.1512605042016806
18.0	1.8045112781954882	2.225563909774436
21.0	1.766233766233766	2.1298701298701297
24.0	1.8285714285714285	2.1028571428571423
28.0	1.8128078817733988	2.088669950738916
32.0	1.7316017316017316	1.939393939393939
37.0	1.7443609022556392	2.1052631578947367
43.0	1.7142857142857146	2.0519480519480515
49.0	1.6914285714285715	2.0114285714285716
57.0	1.7339901477832511	1.9704433497536944
65.0	1.7316017316017314	2.0432900432900434
75.0	1.744360902255639	2.0
86.0	1.760262725779967	2.1018062397372743
99.0	1.782857142857143	2.057142857142857
114.0	1.7888198757763978	2.0869565217391304
132.0	1.804511278195489	2.088077336197636
151.0	1.8345864661654139	2.0827067669172927
174.0	1.8285714285714285	2.0702040816326526
200.0	1.8194740582800282	2.0639658848614073
231.0	1.8128078817733992	2.039408866995074
265.0	1.804511278195489	2.015037593984963
305.0	1.7703081232492999	1.979458450046686
351.0	1.7662337662337653	1.996753246753247
403.0	1.7708628005657705	1.9858557284299867
464.0	1.7745007680491554	2.017818740399387
533.0	1.7720706260032106	1.9818084537185678
613.0	1.775709632387157	2.006514657980458
705.0	1.7903682719546754	2.0105220558478356
811.0	1.781843771991557	2.005629838142153
932.0	1.7859439595774016	2.0088807227070893
1072.0	1.776594328318467	2.0002662761283445
1232.0	1.7851929092805008	1.9891090256053758
1417.0	1.7827926657263742	1.9875075559137598
1629.0	1.7724802804557416	1.985626643295354
1873.0	1.769781978960209	1.9838389998475372
2154.0	1.7765992707988065	1.9913821677162737
2477.0	1.776547907298514	1.9794765363772622
2848.0	1.7746577746577745	1.9708168279596863
3274.0	1.777622682660851	1.973740458015267
3764.0	1.7745399354961122	1.975184974388161
4328.0	1.7677457677457655	1.9665379665379674
4977.0	1.761349939734833	1.964759226310054
5722.0	1.757320086867528	1.9536207283892082
6579.0	1.754580981328703	1.9597047329570148
7564.0	1.759682749504295	1.9698234349919737
8697.0	1.7538350359688586	1.9653779193903371
9999.0	1.7533714285714284	1.963085714285716
11497.0	1.7538453892602421	1.9707278284422152
13219.0	1.7515452777177392	1.9687918737843086
15199.0	1.7539849624060078	1.9700751879699203
17475.0	1.7550926985580126	1.9699833240689253
20092.0	1.7597030948944463	1.9745895869919217
23101.0	1.758413000729681	1.9710352845146395
26560.0	1.758023310223907	1.9701926024730108
30538.0	1.7573407305880515	1.9722977176724767
35111.0	1.7543534160075502	1.968687953650346
40370.0	1.7553477213133954	1.9676642002568834
46415.0	1.7555522726153627	1.9663662776382327
53366.0	1.7556274744424791	1.9630750945608202
61359.0	1.7561557086980943	1.9645744086421801
70547.0	1.7561781644108596	1.966952591548582
81113.0	1.7564838199500588	1.9671502893634405
93260.0	1.7539715728669325	1.965519195744015
107226.0	1.7539292475642525	1.964579816650632
123284.0	1.753261606382447	1.9624957270899412
141747.0	1.7536795681672515	1.9632506782660335
162974.0	1.7525562641071075	1.9624324502005013
187381.0	1.7526428060631019	1.9628230795151733
215443.0	1.7519063621438262	1.9633448002397393
247707.0	1.7518322264232655	1.9637038079397608
284803.0	1.751512318245936	1.962560718448968
327454.0	1.7502252217862078	1.9618207081888974
376493.0	1.7500958087740481	1.962209225113797
432875.0	1.7506352858555574	1.9621719449846011
497701.0	1.7515334764291237	1.9630243456067127
572236.0	1.7516039183565375	1.9629369349712906
657932.0	1.7519317533635177	1.9629458579260675
756462.0	1.7521272402899313	1.963107628151388
869748.0	1.7523242748359802	1.9634761621702677
999999.0	1.7523451428571712	1.963868571428595
