x	arrow-star	arrow-shortpairs	arrow-shortestpairs	ivy-random	localMinPairs-random	minWeight-random	indexMeanWeight-random
1.0	0.3640256239534067	0.736954260975157	0.18201281197670335	1.2445996623623767	1.2445996623623767	1.2445996623623767	1.2445996623623767
2.0	0.2426837493022711	0.4913028406501047	0.12134187465113555	0.8297331082415846	0.8297331082415846	0.8297331082415846	0.8297331082415846
3.0	0.3604165564135969	0.5468808749244721	0.2694101504252452	0.8243442337858683	0.8243442337858683	0.8243442337858683	0.8243442337858683
4.0	0.7100306004998226	0.8592020553085227	0.6372254757091412	1.5116393825329615	1.5116393825329615	1.5116393825329615	1.5116393825329615
5.0	0.9431066298906395	1.0674161755645564	0.8824356925650719	1.4774590931165519	1.517538001300204	1.6508556950390316	1.517538001300204
6.0	0.8083771113348338	0.9149281504839055	0.7563734507700617	1.266393508385616	1.3007468582573176	1.4150191671763128	1.3007468582573176
7.0	0.9422232386915471	0.8867968460644009	0.8967200356973715	1.3785581980927955	1.2243882153661365	1.3243764856702571	1.2243882153661365
8.0	1.0656912470082427	1.0428635136101656	1.0252439554578645	1.4897746402387224	1.3527346555928033	1.4416131180853549	1.2792738451788588
9.0	0.9591221223074184	0.938577162249149	0.9227195599120781	1.34079717621485	1.217461190033523	1.2974518062768194	1.1513464606609727
10.0	0.9857410007389484	0.9670637643223399	0.9526477621977298	1.4931532558974787	1.4181590880760806	1.4989139947061376	1.2979504892168987
11.0	0.9339313860068199	0.9168105859582621	0.9035959173440362	1.7323077598995984	1.3303146327325244	1.4043399638100766	1.393881663779737
12.0	0.8620905101601415	0.8462866947307034	0.8340885390868027	1.5990533168303986	1.2279827379069457	1.296313812747763	1.286659997335142
14.0	0.8792011911039664	0.8810562690830057	0.8549328161737396	1.5179022902181893	1.1963077884845301	1.2555280533465718	1.2471614133223003
16.0	0.9167014019557386	0.932060339600084	0.8952881299584795	1.506264709395923	1.2646976308203062	1.3169508056985781	1.3847866341948893
18.0	1.0498018296975808	1.0880993813023407	1.030642586331612	1.6033530332861679	1.455085015401548	1.4338716655685242	1.4686149322273472
20.0	1.1349517077779465	1.1696018735155866	1.1176171542563558	1.557437296335377	1.4631650535254233	1.4439720227241162	1.4503660109033594
23.0	1.2665895882865932	1.3163481308293854	1.2514218539552013	1.7597140686494657	1.6397244158017572	1.6229305138506136	1.6682188786246035
25.0	1.3124647778022047	1.3767004740289726	1.2984637922655353	1.820088376809191	1.6041767186460505	1.5886746553065334	1.6176899084399998
29.0	1.320983704466034	1.3922063592137848	1.30884951700092	1.8721239627833721	1.613919749536582	1.6004846279756668	1.6841746067502015
32.0	1.3633128040365612	1.355983798349021	1.3522817245228211	1.8367532789785124	1.56008047364198	1.547866726768421	1.6934863515676224
36.0	1.3788550593419802	1.3446112702814597	1.3690165289648608	1.950293082174648	1.605697865027953	1.5948045232218055	1.6878294324189111
41.0	1.3771540302439864	1.3580952527510655	1.3684867534831908	1.9510484887651607	1.6550685224833712	1.6526965917740277	1.6604541098721535
46.0	1.3666766030313184	1.3595719835809754	1.3589313769897562	1.866558245742834	1.629474873113891	1.6436557782868297	1.6297650048381183
52.0	1.4151592801379715	1.4268183187714014	1.4082908721388503	1.9811689232533338	1.6224484676988966	1.6433647371875366	1.697520241570477
58.0	1.4149928300273007	1.4333738569443915	1.4088229041975815	1.9971184851544255	1.6516011642483637	1.6278986056910894	1.676546770645256
65.0	1.4354693613519478	1.4732497666557425	1.4299538215950778	1.993983787713694	1.6549314336545573	1.645362571464593	1.6858640093875281
73.0	1.4210908210607403	1.4547868582235841	1.4161715558721801	2.0469694904804907	1.6631476740391569	1.6617287579754754	1.6444157774167982
83.0	1.4275208499457497	1.4713140485416618	1.4231872115653517	2.0235409612992075	1.6481008602002725	1.6663706346515008	1.6501284073704852
93.0	1.4026996475604134	1.4334096629303548	1.3988270345396325	2.0301977866666574	1.6488690605124636	1.6375537749056956	1.6016255499399645
104.0	1.422676602782149	1.4659442283772295	1.4192096920778305	2.0451223536978476	1.6486152847479087	1.6290718972162304	1.6052059967270478
117.0	1.4753231890531737	1.5097953661186496	1.4722382261383145	2.07973423874528	1.6803019258435852	1.6769941463769453	1.6377434124787196
132.0	1.4886792023498647	1.5132078612450308	1.4859421675832982	2.115818075369636	1.6676247131579873	1.6681037293546879	1.6362892617840823
148.0	1.5151748239588765	1.5285014619567647	1.512731698965901	2.131196894515722	1.6655114222958494	1.676117148328326	1.6469341387558623
166.0	1.4837515030565045	1.4941358713071877	1.4815717089010962	2.0966259895509283	1.6283489554322728	1.6356156076186732	1.601309215061001
187.0	1.5189671938749776	1.5328147857550682	1.5170308873645877	2.146276859857618	1.6345517098496194	1.6468912477756041	1.6233934593257804
210.0	1.5227848732237372	1.5418008610692304	1.5210596332997879	2.1316122330726093	1.649938350356733	1.6581895049894706	1.6158281808291919
236.0	1.5313188136218852	1.5528607353135644	1.5297828405250358	2.1436590241286404	1.6367997753715302	1.6421251072159173	1.614154838536446
265.0	1.5439179797965006	1.562134757657394	1.542549462413218	2.1169892126254544	1.6227275530720893	1.6329095883271778	1.6177230095136095
298.0	1.5649536887258713	1.5903396365154006	1.563736211722683	2.149300629780445	1.6613137101040198	1.6687967075121082	1.6306130128220282
335.0	1.5840759051344888	1.6091694811573012	1.5829924955393888	2.1572628877037467	1.708247597147772	1.7197945860875066	1.6425048869938659
376.0	1.583730666671311	1.6185948965139965	1.582765081461885	2.132572250372206	1.712395404675948	1.7334213208180562	1.6358053030234343
422.0	1.5673959465803102	1.5910039289183893	1.5665353659090246	2.1255870799497276	1.682919587280489	1.6881543731846513	1.613807620113999
475.0	1.564469542812926	1.5918800794738575	1.5637047830987363	2.115536805643759	1.6803657614504406	1.6940590722717788	1.605713530007779
533.0	1.5511821828958796	1.5794274115055011	1.5505004869708714	2.1306763226625547	1.6757606895003336	1.685028092820404	1.5879464860882957
599.0	1.5549573521578974	1.5796995805473288	1.5543506427846403	2.1591161709806803	1.6835866074075385	1.6791690725217279	1.5876775819991482
673.0	1.5446702223747035	1.5605725788195033	1.544130125009786	2.1448119936085646	1.6610776461356624	1.6548559615654275	1.5737980234203273
756.0	1.5214219020002624	1.530878286642489	1.5209410227083808	2.1373050931721465	1.6307994669729255	1.627371546063207	1.5473560339748338
849.0	1.5173532554335212	1.5300921128066993	1.5169249899935742	2.1354153393757063	1.6333857533162293	1.6274312977220995	1.540449888262639
954.0	1.5129990184071622	1.523389395266909	1.5126178397433356	2.135211415743687	1.62631083888865	1.6262997737374991	1.5335562308728694
1072.0	1.51303135769546	1.5207153731194092	1.5126920980272824	2.1244186265430716	1.6327450596378659	1.6303816302591787	1.5313278515489086
1204.0	1.5236264988945192	1.535019861266474	1.5233244029410296	2.1361647886946127	1.6448721390208751	1.6514892962825836	1.5399187295208665
1353.0	1.5172814710867115	1.530165248974249	1.5170126190749282	2.1153747794846005	1.6467292999619265	1.6459280156966845	1.5317808343841628
1519.0	1.520993317871187	1.5335467974356816	1.5207538273291121	2.114654630822078	1.6438031122519132	1.6415763440249729	1.5339091980716786
1707.0	1.516480355879781	1.5307594891199183	1.5162672261233683	2.0879586092137257	1.6351135445566771	1.6348531673214046	1.5279745818193289
1917.0	1.5104243272369366	1.521818099410212	1.510234532855314	2.087765133762483	1.6290147639009065	1.6264085643484687	1.520660061285295
2154.0	1.5129662141530806	1.527939258407766	1.5127972927498554	2.086030446613565	1.632891535658438	1.6320146121894992	1.5220762549441498
2420.0	1.5087692021223036	1.5274226489290632	1.5086188404436789	2.0888315364680454	1.633386084258112	1.6290788908758027	1.516878304933026
2718.0	1.505228678463368	1.5196973048664473	1.5050947962919998	2.0949816138335646	1.630610401486125	1.622000382572594	1.5124490307637564
3053.0	1.497137631332904	1.5129854269215088	1.49701843499238	2.096571544962052	1.6234066761925763	1.612933937090832	1.5035659672545643
3430.0	1.4975753056797787	1.5137401828447834	1.4974692066929058	2.0829320370042272	1.6212674682311736	1.6130765540826022	1.5032972928277692
3853.0	1.4881534394526708	1.5040878341167934	1.488058985476555	2.0716670190384456	1.6052796746805646	1.6036491199817602	1.4932474036210035
4328.0	1.4942641612409442	1.5099524965083169	1.4941800712377225	2.0670004567927425	1.612723385970367	1.611632050914456	1.4987991896319686
4862.0	1.4906594583070636	1.5064423826782989	1.4905846021228242	2.0644691666534727	1.613092289039967	1.6092152503241481	1.4946965008537896
5462.0	1.4904785570919254	1.5059521264438305	1.4904119223447245	2.0562131806181365	1.6089681813161456	1.6057164484511677	1.4940722122090244
6135.0	1.4952977438325799	1.5131689586833175	1.4952384176226807	2.053810751651632	1.6077114274059732	1.60773259242724	1.4984972447948872
6892.0	1.4947671586107343	1.51267685099951	1.4947143476976419	2.0543538164655	1.6056586039370557	1.6094155587169625	1.4976152853922113
7742.0	1.4948779110729535	1.5120636842761004	1.494830897560883	2.052875202185617	1.6018032526965305	1.6077201090719953	1.4974133802586378
8697.0	1.5007595624080232	1.5194594101379768	1.5007177107612142	2.052111100913599	1.606213480818491	1.6166061808836127	1.5030166488537287
9770.0	1.5066599048953981	1.526706052625084	1.5066226491770571	2.0587953709105253	1.608717833468951	1.621376126493753	1.5086691299393833
10974.0	1.5056056734731333	1.5252956719512512	1.5055725048513644	2.0528689347203435	1.6108278112464267	1.6203483390149407	1.5073944787491975
12328.0	1.5047007651484505	1.5246185974995223	1.5046712391833375	2.0536895717319172	1.6111730023176618	1.619210795997851	1.5062931195895908
13848.0	1.504849795098833	1.524253348611573	1.5048235097624256	2.052936545189331	1.6110126508859481	1.6175957912227519	1.5062673803327675
15556.0	1.5043656858601175	1.5231583566308098	1.504342286385674	2.0505323851960893	1.6101405762131078	1.617062533278224	1.5056276346873187
17475.0	1.5103813225686853	1.5305020667878826	1.5103604925375613	2.05419317459964	1.6162145974191808	1.6265457208825065	1.5115046996518193
19630.0	1.5097107052699517	1.529465441020012	1.5096921618628971	2.055475228327364	1.6155858017063875	1.6250108674291586	1.5107107632346386
22051.0	1.5116588908851176	1.5305357159430653	1.511642383283817	2.0571962169246856	1.6212990257862403	1.6282117615252245	1.5125491565256353
24770.0	1.512051043759673	1.5309749808279574	1.512036348122677	2.0566742931965933	1.6236546224679627	1.6303000350011838	1.512843588990166
27825.0	1.5151454143696166	1.535022085110153	1.5151323321578676	2.0593455276645174	1.6279768554052243	1.6321147204480002	1.5158509465303514
31257.0	1.5125202238079614	1.5328211422689624	1.5125085779693224	2.0591529446911636	1.6211943950321648	1.6268278867973227	1.513148291435593
35111.0	1.5135427800762213	1.533803974492631	1.5135324125202807	2.0617488416699636	1.6223922029748679	1.628791566628119	1.5141019090892238
39442.0	1.513687798184724	1.5336180924750231	1.5136785690281116	2.0602440677641476	1.6216891350453777	1.627093279874705	1.5141855325838471
44306.0	1.512530545902974	1.533420753618055	1.5125223299185009	2.06162201730191	1.6215811408318968	1.6274185027488113	1.5129736392720856
49770.0	1.5120533924514543	1.5335108396169794	1.5120460784408025	2.0563439029337207	1.6228759283700707	1.6281138878240882	1.5124478417875205
55908.0	1.5097663557194796	1.5310318549224264	1.5097598446814668	2.0551485693308855	1.618725824116042	1.6257844815956164	1.5101175002204523
62802.0	1.5096004887949623	1.530688077743444	1.5095946924854842	2.055070313117749	1.6189060492338416	1.6267921389886764	1.509913087522819
70548.0	1.5075138594998396	1.5288465586304159	1.5075086996021325	2.0565849553487268	1.6168726348568778	1.6246623504086048	1.507792136128936
79248.0	1.5074860256465181	1.5282028516525572	1.5074814322053036	2.0571703284126754	1.6168017209150125	1.624747373205239	1.50773375291002
89021.0	1.5069210663918624	1.5279422424006541	1.5069169772271391	2.0563786019727424	1.6142230230755172	1.6232651245303802	1.5071415976976599
