x	arrow-star	ivy-random	localMinPairs-random	inbetween-3-4-random	dynamicStar-random
27825.0	14.860711967618006	32.33678074859507	5.069978731702824	27.288718852271067	19.561744053943904
31256.0	14.860766647024327	32.36953477181862	5.055523642505982	27.287401797490176	17.993700604208808
35111.0	14.860815335106526	32.47237120449801	5.042652424294187	27.28622905484908	21.50871341022016
39441.0	14.86085867367343	32.4847668102448	5.031195407989979	27.285185165192406	21.30124062424383
44305.0	14.860897254652263	32.55033747980287	5.020996111289652	27.284255870858914	19.787532490271158
49769.0	14.860931601086191	32.567010192579396	5.011916262039338	27.283428573378874	19.173753014875178
55907.0	14.860962177492022	32.60090196466834	5.0038330602956425	27.282692084011234	19.208062479720088
62802.0	14.86098939705011	32.572863733715046	4.996637277336348	27.28203645053688	18.487308652323293
70547.0	14.861013627276591	32.588462443562136	4.990231756364322	27.281452820653655	17.22562593855549
79247.0	14.861035197139364	32.61446682153025	4.984529531137319	27.28093327055649	16.061171020160867
89020.0	14.861054399219032	32.699662777709285	4.979453254856115	27.28047075290253	14.915485315743664
99999.0	14.861071494311783	32.73585009504019	4.974933983198954	27.280058985928182	13.895512279392957
