x	arrow-star	ivy-random	localMinPairs-random	inbetween-3-4-random	dynamicStar-random
1.0	7.930605053206415	55.22921018497206	55.22921018497206	105.77436843130955	55.22921018497206
2.0	10.240806737608553	53.30849319701617	53.30849319701617	116.14061108860625	53.30849319701617
3.0	11.395907579809622	42.6007974880784	42.73799086478232	105.96266492695628	42.6007974880784
4.0	12.088968085130263	40.75775247932973	40.876365446651455	94.05130414201734	40.75775247932973
5.0	12.55100842201069	38.65998313728507	38.999275738841135	82.92220682780342	38.65998313728507
6.0	12.88103723406814	34.455079699468676	34.74590192937388	74.9728516033649	34.455079699468676
7.0	13.128558843111227	31.905000289867882	32.21022639975891	69.01083518503602	31.905000289867882
8.0	13.321075650144738	34.453160679330345	34.50162345484199	64.37371130411354	34.453160679330345
9.0	13.475089095771548	34.36797538904929	36.176192975941106	60.66401219937557	34.36797538904929
10.0	13.601100096738937	37.67647433251938	39.72313468621865	57.628803840953594	37.67647433251938
11.0	13.706109264211761	36.79779388869879	39.601583137482294	55.09946354226861	36.79779388869879
12.0	13.794963175150306	36.76787827724036	39.36641471814211	52.95925252030439	36.76787827724036
14.0	13.937129432651975	35.02919169193309	37.49101713937412	49.53491488516165	35.02919169193309
16.0	14.045844806035605	42.812708905246225	52.518295354303426	46.916303752405426	42.812708905246225
18.0	14.131672732391102	40.1125411396955	49.29719549377335	44.848979173913676	40.1125411396955
20.0	14.201152482297934	37.95577057612644	46.885616914343345	43.17543070561083	38.02521070981074
23.0	14.283659685312294	39.217412248367474	43.451509598079525	41.188091899501195	39.239710576567575
25.0	14.328086640781565	36.93687502166926	42.55857155780121	40.117986388519085	36.92896801244108
29.0	14.399169769532401	34.32152780487044	49.73918667449826	38.40581757094772	40.45913639829062
32.0	14.441173436521531	32.967258264014156	46.90024138510134	37.39408145147373	38.5957757437607
36.0	14.486582806239511	31.613215115210185	44.392721983371786	36.30031267366402	36.159755047436704
41.0	14.531181294355381	31.71886421314066	41.48824153893391	35.22607548117233	33.96192439397816
46.0	14.566290742446599	30.605080349372397	38.38691236201162	34.38039939346611	32.549125555049955
52.0	14.599677840254097	38.250349757241956	40.07187129920286	33.576209302515274	31.26361502721126
58.0	14.626274341897359	39.33334307715846	40.07882107018918	32.93558329785952	32.50738810427534
65.0	14.651191771467182	39.10904159741789	39.781765674328824	32.33540085410377	33.29766930504861
73.0	14.673896456326167	38.50990512332203	39.42998051375286	31.78851646519891	33.005069407694
83.0	14.696195700384102	36.124480633418024	37.91102858852079	31.251397868953063	32.59438891246864
93.0	14.71375042442971	35.75642810989211	35.46907513050904	30.82855982509995	31.193616685633838
104.0	14.729198581589847	34.94449763047896	32.98322362691428	30.45646234650921	31.259465810520886
117.0	14.74374222415509	34.78815519894989	30.18428332759365	30.10615177729666	32.54008642209107
