x	arrow-star	ivy-random	localMinPairs-random	minWeight-random	inbetween-3-4-random	dynamicStar-random
1.0	1.092650633213312	7.5593400246995	7.586812184673466	7.586812184673466	7.798918005284341	7.5593400246995
2.0	1.203634116795524	8.285047060364029	8.332279853381023	8.332279853381023	8.275843414194114	8.285047060364029
3.0	1.25912585858663	6.903813709134271	6.939506933094875	7.039176062087909	8.24534780630658	6.903813709134271
4.0	1.292420903661294	6.357617862294079	6.386172441462562	6.46590774465699	7.531541760384774	6.357617862294079
5.0	1.3146176003777366	6.026282763593555	6.050078246233957	6.2107094792615944	7.817782868603704	6.026282763593555
6.0	1.3304723837466241	5.708279907946316	5.739490872494772	5.820000013850128	8.119423812309487	5.708279907946316
7.0	1.3423634712732897	5.661909193582982	5.689218787562881	5.778495295907279	8.188093031903474	5.661909193582982
8.0	1.3516120949051407	5.69359728063951	5.717872475288309	5.79722937159444	8.104210614290192	5.69359728063951
9.0	1.3590109938106216	5.515672900173515	5.5673190021194685	5.592368946223794	7.451277875210235	5.515672900173515
10.0	1.3650646383696512	5.298512116537893	5.5803274786797665	5.396235792920518	7.6196900112822705	5.298512116537893
12.0	1.3743779376912355	4.808315032548869	5.20805444802573	4.879116059705203	8.186164744573304	4.808315032548869
14.0	1.3812076905270638	4.366845302381859	4.6852835794691785	4.483670025705455	7.618815747261541	4.1888652827083535
16.0	1.3864304426956384	4.266801837940866	4.5383423420152225	4.313314697057099	7.753243083922327	4.105438100533378
18.0	1.3905536680918817	4.1381607192466365	4.339743524974433	4.308654656363747	7.636816092413714	3.988541292533994
21.0	1.3953328611648	4.04927136874344	4.340263135090512	4.22954053429094	7.025209328434806	4.014023462365589
24.0	1.3989650479002176	3.856982011881402	4.317684591299075	4.0275173258387245	6.924073992872402	3.7710594149948373
28.0	1.4026389839084563	3.556632850870995	4.243356961552053	3.8188126631920696	6.734948963581106	3.4857568924274114
32.0	1.405422268763183	3.7182749875442607	4.225822528393665	3.873712232921298	6.7482421921233495	3.1641736064683132
37.0	1.408077376025915	3.719644125819184	4.262087388008829	4.019595244777045	6.596110916557468	3.28128566507155
43.0	1.4104669725623744	3.5211269133451983	4.097015290440962	4.0061720604293525	6.536604489036101	3.4211563792096653
49.0	1.4122830659300833	3.4575815351795463	4.022857703725173	3.949371835419208	6.163058750602444	3.3917913530343564
57.0	1.4141200339342024	3.4027058146983498	4.020234322038146	3.9167614105939776	5.849023230333399	3.4323964281307604
65.0	1.4155116763615654	3.379194893425559	3.96484042486965	3.9080957237591423	5.803328651308713	3.4351943415645376
75.0	1.4168392299929315	3.383143540382309	3.939604359673032	3.829625122620582	5.548095391412537	3.485813090706613
86.0	1.4179470506094511	3.368744057826698	3.748517250931223	3.7126712929193295	5.313598334673113	3.4229618109180415
99.0	1.418942074945016	3.4077048336098965	3.517951587632663	3.687583683944891	5.2585296443377265	3.3648920109906055
114.0	1.4198106413382678	3.3630183578139765	3.4302412193183103	3.5206049903531342	5.252198198711902	3.4375459916494853
132.0	1.4205943102645107	3.4330496753130286	3.2773370993937707	3.366756769971572	5.390382515485021	3.521541776678328
151.0	1.4212201569764404	3.452121398451198	3.0418065652479496	3.2438918717501855	5.523997665328066	3.588493048523966
174.0	1.421795935951416	3.455393647123801	2.8194115463959437	3.130856165386511	5.537023662742895	3.470330002020281
200.0	1.4222881441515245	3.480265082413388	2.6346229410919055	3.0342268961783687	5.422081092587518	3.327410240051197
231.0	1.422730821453512	3.399802574281163	2.5013713745052963	2.9473214277675317	5.650221406446057	3.170348102400258
