x	arrow-star	ivy-random	localMinPairs-random	minWeight-random	inbetween-3-4-random	dynamicStar-random
1.0	1.5	5.5	6.0	6.0	6.5	5.5
2.0	1.6666666666666667	6.333333333333333	7.0	7.0	7.0	6.333333333333333
3.0	1.75	5.5	6.25	6.5	7.0	5.5
4.0	1.8	5.4	6.0	6.2	6.6	5.4
5.0	1.8333333333333335	5.5	6.0	6.5	6.666666666666666	5.5
6.0	1.8571428571428572	5.571428571428571	6.142857142857143	6.285714285714286	6.857142857142857	5.571428571428571
7.0	1.875	5.625	6.125	6.375	6.75	5.625
8.0	1.8888888888888888	5.555555555555555	6.0	6.222222222222222	6.777777777777778	5.555555555555555
9.0	1.9	5.6	6.2	6.1	6.4	5.6
10.0	1.909090909090909	5.545454545454545	6.545454545454546	6.090909090909091	6.818181818181818	5.545454545454545
12.0	1.923076923076923	5.461538461538462	6.461538461538462	5.923076923076923	7.307692307692308	5.461538461538462
14.0	1.9333333333333331	5.2	6.4	5.8	6.800000000000001	5.0
16.0	1.941176470588235	5.117647058823529	6.352941176470588	5.882352941176471	6.941176470588236	4.9411764705882355
18.0	1.9473684210526314	5.31578947368421	6.2105263157894735	5.894736842105264	6.947368421052633	4.894736842105264
21.0	1.9545454545454544	5.272727272727272	6.318181818181818	5.909090909090909	6.318181818181819	5.136363636363637
24.0	1.9599999999999997	5.159999999999998	6.48	5.8	6.36	5.0
28.0	1.96551724137931	4.999999999999999	6.413793103448276	5.620689655172414	6.482758620689655	4.827586206896552
32.0	1.9696969696969693	5.09090909090909	6.424242424242425	6.090909090909091	6.545454545454546	4.606060606060606
37.0	1.9736842105263155	5.184210526315788	6.684210526315789	6.526315789473684	6.526315789473685	4.7105263157894735
43.0	1.9772727272727273	5.045454545454545	6.772727272727273	6.772727272727272	6.5	4.863636363636364
49.0	1.98	4.999999999999999	6.800000000000001	6.9799999999999995	6.26	4.86
57.0	1.982758620689655	5.017241379310344	6.775862068965518	7.120689655172414	6.068965517241379	4.982758620689656
65.0	1.9848484848484846	4.96969696969697	6.787878787878787	7.409090909090908	6.181818181818182	4.909090909090909
75.0	1.9868421052631575	5.078947368421052	6.868421052631578	7.447368421052631	6.092105263157894	4.93421052631579
86.0	1.9885057471264365	5.1034482758620685	6.8390804597701145	7.919540229885057	5.977011494252872	4.942528735632183
99.0	1.99	5.12	6.680000000000001	8.71	6.089999999999999	4.909999999999998
114.0	1.9913043478260872	5.02608695652174	6.6	9.53913043478261	6.139130434782606	4.904347826086955
132.0	1.992481203007519	5.090225563909775	6.699248120300753	10.278195488721806	6.1804511278195475	4.879699248120299
151.0	1.9934210526315788	5.0921052631578965	6.5657894736842115	10.868421052631584	6.322368421052631	5.013157894736841
174.0	1.9942857142857136	5.1142857142857165	6.514285714285715	11.411428571428576	6.291428571428572	4.959999999999999
200.0	1.9950248756218902	5.119402985074629	6.477611940298509	11.875621890547269	6.258706467661691	4.7960199004975115
231.0	1.9956896551724135	5.090517241379313	6.452586206896552	12.293103448275868	6.379310344827587	4.607758620689653
265.0	1.9962406015037595	4.981203007518799	6.526315789473685	12.639097744360907	6.473684210526316	4.6879699248120295
305.0	1.9967320261437909	4.964052287581702	6.578431372549018	12.947712418300659	6.3267973856209165	4.656862745098038
351.0	1.9971590909090904	4.974431818181822	6.553977272727272	13.215909090909095	6.267045454545456	4.326704545454545
403.0	1.9975247524752466	4.9678217821782225	6.512376237623758	13.445544554455449	6.220297029702971	4.136138613861383
464.0	1.9978494623655902	4.980645161290328	6.468817204301073	13.649462365591395	6.288172043010753	3.9784946236559087
533.0	1.9981273408239697	4.992509363295883	6.5692883895131065	13.82397003745318	6.256554307116102	3.835205992509361
613.0	1.9983713355048855	4.9983713355048875	6.622149837133548	13.977198697068394	6.4218241042345285	3.622149837133549
705.0	1.9985835694050984	5.004249291784703	6.627478753541077	14.110481586402258	6.487252124645891	3.569405099150142
811.0	1.9987684729064026	4.992610837438422	6.662561576354684	14.226600985221665	6.467980295566504	3.3953201970443363
932.0	1.9989281886387973	4.973204715969983	6.674169346195071	14.326902465166114	6.483386923901394	3.2422293676313
1072.0	1.9990680335507902	4.977632805219008	6.61975768872321	14.41472506989747	6.506989748369058	3.156570363466918
1232.0	1.9991889699918899	4.9635036496350375	6.622871046228717	14.490673154906728	6.489862124898621	3.123276561232769
1417.0	1.9992947813822293	4.959097320169249	6.605077574047964	14.55712270803949	6.481664315937943	2.976727785613541
1629.0	1.9993865030674869	4.9613496932515355	6.637423312883443	14.614723926380366	6.507975460122704	2.8668711656441714
1873.0	1.9994663820704401	4.953041622198509	6.646211312700114	14.664887940234795	6.520811099252942	2.768943436499469
2154.0	1.9995359628770306	4.9693735498839935	6.631554524361958	14.708584686774932	6.466357308584688	2.682598607888631
2477.0	1.9995964487489921	4.975786924939472	6.646085552865225	14.74656981436642	6.414447134786115	2.625907990314772
2848.0	1.9996489996490028	4.957879957879953	6.646191646191659	14.779571779571796	6.394524394524393	2.5444015444015466
3274.0	1.9996946564885516	4.944427480916025	6.628091603053451	14.808244274809185	6.341984732824432	2.473587786259546
3764.0	1.999734395750334	4.964143426294821	6.731739707835343	14.833200531208503	6.300398406374511	2.4119521912350614
4328.0	1.9997689997690022	4.9775929775929795	6.945483945483967	14.854931854931833	6.302379302379305	2.358281358281358
4977.0	1.9997991161108906	4.971273603856979	7.132985134592208	14.873844917637584	6.27661711530736	2.3169947770188855
5722.0	1.9998252664686362	4.990739122837681	7.295299668006292	14.89026734230297	6.289009260877174	2.28533985671851
6579.0	1.9998480243161099	5.010942249240125	7.4355623100303925	14.904559270516694	6.261702127659583	2.254407294832836
7564.0	1.999867812293456	5.0241903502974345	7.5578321216126865	14.916986120290783	6.284467944481172	2.253403833443506
8697.0	1.9998850310416179	5.02977696022074	7.664060703610027	14.927799494136567	6.304552770751922	2.232582202805254
9999.0	1.9998999999999973	5.031400000000008	7.756999999999996	14.9372	6.330300000000019	2.218700000000005
11497.0	1.999913028352753	5.033223169246831	7.837189076361107	14.945381805531396	6.347016872499586	2.1902069925204413
13219.0	1.9999243570347915	5.030862329803331	7.907413010590038	14.952496217851735	6.299470499243587	2.182904689863851
15199.0	1.9999342105263156	5.030921052631574	7.968421052631597	14.95868421052634	5.9999342105263285	2.1611184210526395
17475.0	1.9999427786678865	5.031185626001367	8.021286335545923	14.964065003433287	5.739471274891288	2.1445410849164612
20092.0	1.9999502314238806	5.034290548947395	8.067336883491787	14.968745334195955	5.51291494550342	2.1279052406310663
23101.0	1.999956713704442	5.032594580555799	8.107306726690338	14.972816206389044	5.315860098692766	2.1149251147086923
26560.0	1.9999623508151003	5.031775912051489	8.14235156808856	14.976356311885835	5.1444975716275705	2.09995858589661
30538.0	1.9999672549854246	5.032745014571533	8.17266446183561	14.979436130849075	4.995415697959983	2.0869380136874116
35111.0	1.9999715197083494	5.034916837548396	8.198820915926136	14.982114376851234	4.86577238550923	2.075615174299382
40370.0	1.9999752297441187	5.0330187510836835	8.221792871120236	14.98444427930944	4.752991008397117	2.065765029352741
46415.0	1.9999784557049196	5.0256592554291535	8.241856256463247	14.986470182695609	4.654925025853146	2.058040330920343
53366.0	1.9999812618284558	5.023535143440706	8.259148912249108	14.98823242827955	4.569621676316805	2.053103978113791
61359.0	1.9999837027379304	5.019263363754881	8.27428292046939	14.989765319426231	4.495420469361125	2.0475228161668846
70547.0	1.9999858252537124	5.017959403526695	8.287378805919422	14.991098259341044	4.430898111923805	2.0452032658615766
81113.0	1.9999876716719496	5.016963779372265	8.298764701531287	14.992257809995715	4.374768843849411	2.0411519589713487
93260.0	1.9999892774042671	5.016062448397521	8.30871425354666	14.993266209883963	4.325956187473853	2.036939342276
107226.0	1.9999906739906812	5.019146297108	8.317373422738862	14.994143266154936	4.283501356934355	2.032128102063876
123284.0	1.9999918887131278	5.022443930729559	8.324816482135033	14.994906111854569	4.246575009125194	2.0279433832177833
141747.0	1.999992945226723	5.022010892569877	8.331390919096066	14.995569602392965	4.214458052318184	2.0243036938793137
162974.0	1.9999938640895714	5.025347445927294	8.337070102776819	14.996146648258803	4.186525540727098	2.0212363859487943
187381.0	1.9999946633080796	5.026992987586824	8.34200189986255	14.996648557492001	4.162230096807606	2.019148050506504
215443.0	1.9999953584225634	5.028619966209359	8.346308089341193	14.997085089396583	4.141099311189915	2.016913908022546
247707.0	1.9999959629886408	5.029458071600417	8.35005732556072	14.997464756891072	4.122721107109942	2.0147108692492894
284803.0	1.999996488813312	5.027422367663326	8.35329559978116	14.99779497478958	4.1067365626887	2.0138059858710022
327454.0	1.9999969461452372	5.025524117817641	8.356122215266456	14.998082179230881	4.092834129880405	2.0120077567910273
376493.0	1.9999973439151446	5.025888858786498	8.358574107423008	14.998331978730183	4.080742322586885	2.0104437255308034
432875.0	1.999997689869592	5.025836498211869	8.360726859424085	14.998549238119047	4.070225653535954	2.0090834326689673
497701.0	1.9999979907655325	5.023881760571571	8.362576401139709	14.998738200770925	4.061078717787017	2.007900309823998
572236.0	1.9999982524722895	5.024215491133848	8.364197002290993	14.998902552613718	4.053123094102645	2.0068712788582195
657932.0	1.9999984800883794	5.024317065719352	8.365604096465713	14.99904549551395	4.046203792787538	2.00597629241879
756462.0	1.9999986780582586	5.023608557193097	8.366828252009679	14.999169820599322	4.040185706373054	2.0051978748464516
869748.0	1.9999988502429873	5.0236436029244755	8.367886597167397	14.99927795260464	4.034951463008459	2.0045277430614727
999999.0	1.9999989999999868	5.023872999999988	8.368819999999488	14.99937199999986	4.030399000000134	2.0040689999999723
