x	reclique	ivy-random	arrow-star	arrow-mst	localMinPairs-random	inbetween-3-4-random
1.0	5.0	7.0	1.5	6.5	7.0	8.0
2.0	5.0	5.666666666666667	1.6666666666666667	6.333333333333333	6.0	7.0
3.0	6.0	7.5	1.75	7.5	8.25	8.75
4.0	6.2	7.6	1.8	7.8	8.6	9.6
5.0	5.833333333333334	8.0	1.8333333333333335	7.833333333333333	9.333333333333332	10.166666666666666
6.0	6.2857142857142865	8.0	1.8571428571428572	8.285714285714285	9.428571428571427	11.571428571428571
7.0	5.750000000000001	7.625	1.875	7.749999999999999	9.124999999999998	12.0
8.0	5.666666666666668	7.777777777777778	1.8888888888888888	7.777777777777777	9.222222222222221	12.777777777777779
9.0	5.200000000000001	7.9	1.9	7.099999999999999	9.5	12.8
10.0	5.545454545454547	7.818181818181818	1.909090909090909	7.272727272727272	9.454545454545455	12.90909090909091
12.0	5.53846153846154	8.0	1.923076923076923	7.538461538461538	10.076923076923077	13.53846153846154
14.0	5.800000000000001	8.266666666666667	1.9333333333333331	7.6	10.266666666666666	13.600000000000001
16.0	5.7058823529411775	7.764705882352941	1.941176470588235	7.529411764705882	9.941176470588236	12.588235294117649
18.0	5.578947368421054	7.684210526315789	1.9473684210526314	7.31578947368421	9.947368421052632	12.473684210526317
21.0	5.545454545454547	7.590909090909091	1.9545454545454544	7.181818181818181	9.818181818181817	12.954545454545455
24.0	5.840000000000001	7.64	1.9599999999999997	7.2799999999999985	9.68	13.16
28.0	6.103448275862069	7.620689655172414	1.96551724137931	7.793103448275861	10.137931034482758	13.10344827586207
32.0	6.1818181818181825	7.575757575757576	1.9696969696969693	7.909090909090907	9.878787878787879	13.030303030303031
37.0	6.368421052631579	7.315789473684211	1.9736842105263155	7.842105263157893	9.605263157894738	12.76315789473684
43.0	6.545454545454545	7.25	1.9772727272727273	8.113636363636362	9.363636363636367	12.340909090909092
49.0	6.619999999999999	7.12	1.98	8.259999999999998	9.160000000000002	12.180000000000001
57.0	6.793103448275861	7.086206896551724	1.982758620689655	8.517241379310343	9.017241379310345	12.017241379310345
65.0	6.878787878787879	7.196969696969696	1.9848484848484846	8.575757575757574	9.015151515151517	12.075757575757578
75.0	6.986842105263159	7.171052631578946	1.9868421052631575	8.57894736842105	9.15789473684211	12.026315789473685
86.0	6.988505747126439	7.103448275862068	1.9885057471264365	8.425287356321835	9.126436781609199	12.011494252873561
99.0	7.240000000000003	7.12	1.99	8.479999999999997	9.290000000000006	12.069999999999999
114.0	7.330434782608699	7.295652173913045	1.9913043478260872	8.63478260869565	9.521739130434787	12.260869565217387
132.0	7.383458646616545	7.270676691729324	1.992481203007519	8.661654135338338	9.609022556390977	12.240601503759395
