x	reclique	ivy-random	arrow-star	arrow-mst	localMinPairs-random	inbetween-3-4-random
1.0	3.5	2.5	1.5	4.5	2.5	2.5
2.0	2.333333333333333	1.6666666666666665	1.0	3.0	1.6666666666666665	1.6666666666666665
3.0	2.75	3.25	1.25	3.75	3.25	4.0
4.0	2.8	3.4	1.4	3.6	3.6	4.8
5.0	3.5	3.833333333333333	1.5	4.333333333333334	4.0	5.333333333333333
6.0	3.5714285714285716	4.142857142857142	1.5714285714285714	4.714285714285714	4.857142857142857	6.285714285714286
7.0	3.75	4.5	1.625	4.875	5.125	6.75
8.0	4.0	5.0	1.6666666666666667	5.222222222222222	6.0	8.0
9.0	4.4	4.9	1.7000000000000002	5.7	5.9	8.0
10.0	4.272727272727273	5.272727272727273	1.7272727272727275	5.7272727272727275	6.363636363636364	8.636363636363637
12.0	4.615384615384616	5.461538461538463	1.7692307692307694	6.153846153846154	6.615384615384616	9.230769230769232
14.0	5.4	5.666666666666668	1.8	6.466666666666667	7.0	9.200000000000001
16.0	5.470588235294118	5.764705882352942	1.8235294117647058	6.647058823529412	7.176470588235294	9.000000000000002
18.0	5.473684210526316	5.68421052631579	1.8421052631578947	7.052631578947369	7.210526315789474	9.473684210526317
21.0	5.681818181818182	5.545454545454546	1.8636363636363635	7.090909090909092	7.136363636363637	9.000000000000002
24.0	5.800000000000001	5.5200000000000005	1.88	6.960000000000001	7.12	9.040000000000001
28.0	5.793103448275863	5.724137931034482	1.896551724137931	7.06896551724138	7.275862068965518	9.103448275862071
32.0	5.90909090909091	5.727272727272727	1.909090909090909	7.030303030303031	7.303030303030304	9.333333333333334
37.0	5.947368421052633	5.921052631578948	1.9210526315789473	7.2631578947368425	7.500000000000001	9.473684210526317
43.0	6.090909090909092	6.045454545454546	1.9318181818181819	7.295454545454546	7.863636363636364	9.772727272727275
49.0	6.12	6.1800000000000015	1.94	7.140000000000001	7.960000000000001	9.760000000000003
57.0	6.310344827586207	6.172413793103449	1.9482758620689655	7.3275862068965525	8.0	9.775862068965521
65.0	6.484848484848484	6.242424242424242	1.9545454545454546	7.454545454545455	8.045454545454547	9.848484848484855
75.0	6.394736842105263	6.223684210526315	1.9605263157894737	7.381578947368421	8.078947368421051	9.789473684210531
86.0	6.436781609195403	6.137931034482758	1.9655172413793103	7.32183908045977	7.999999999999999	9.954022988505752
99.0	6.450000000000001	6.049999999999999	1.9500000000000004	7.25	7.889999999999999	9.610000000000007
114.0	6.4	6.034782608695653	1.9565217391304348	7.11304347826087	7.904347826086956	9.513043478260874
132.0	6.49624060150376	6.037593984962406	1.9473684210526312	7.037593984962406	7.939849624060149	9.278195488721808
151.0	6.55921052631579	6.039473684210525	1.9539473684210522	7.0657894736842115	7.914473684210526	9.335526315789476
174.0	6.565714285714286	6.108571428571427	1.9599999999999995	7.125714285714285	8.045714285714284	9.371428571428572
200.0	6.696517412935323	6.16915422885572	1.9651741293532339	7.0995024875621855	8.084577114427864	9.303482587064678
231.0	6.814655172413794	6.189655172413794	1.969827586206897	7.086206896551721	8.077586206896553	9.375000000000004
265.0	6.815789473684212	6.112781954887217	1.9736842105263166	7.142857142857141	8.033834586466165	9.379699248120303
