x	reclique	ivy-random	arrow-star	arrow-mst	localMinPairs-random
1.0	1.0027160924370908	7.562500211055502	2.0625000575605914	1.0163116738712061	7.562500211055502
2.0	0.678436298230787	6.4166668457440625	2.2916667306228793	0.6876119169764451	6.531250182275206
3.0	1.3112182983124463	8.169433821743905	2.4062500671540232	1.31952670918885	8.298340075341441
4.0	1.1416931470969354	8.116797101524911	2.47500006907271	1.148675569166802	8.160840071504069
5.0	0.9704335801429161	8.325195544840929	2.5208334036851676	0.981007921258339	8.563314041069713
6.0	1.1441389130692103	8.19168549647205	2.5535714998369228	1.352124933103629	8.484793763580736
7.0	1.001834897344139	7.7692873262015505	2.578125071950739	1.1846618982961143	8.079467998920624
8.0	1.2444153179324728	7.683051429697642	2.482638958174786	1.3044298324111872	8.149143022566514
9.0	1.1200073554760999	7.945996315508173	2.303125064275994	1.1740204185069427	8.13667014895453
10.0	1.1945190763055853	7.887695532631106	2.2500000627933727	1.2729187366967007	7.977051003874853
12.0	1.3638188669378837	7.898813321402922	2.2475962165724392	1.465818005902281	8.046776629318364
14.0	1.4721496992881216	8.157639794722046	2.0739583912137056	1.4332092685138653	7.933598040422576
16.0	1.423201656791557	7.708487333121462	2.073874138760374	1.385544759486026	7.718222440815025
18.0	1.4962206806342406	7.733827505619003	2.002569957203842	1.3969437838463343	7.731512988181878
21.0	1.4817200120552112	7.7339021933780785	2.04296880701551	1.438095132908033	7.4674989877010685
24.0	1.4351160068483293	7.764896456938383	2.1278125593833432	1.4359216709333131	7.0890248560448
28.0	1.559932357651229	7.5734391846231786	2.142510835655614	1.6465180955202634	7.014799116500236
32.0	1.569763227402961	7.572276008854367	2.1536458934376377	1.677887009717372	6.709157495182982
37.0	1.5078816081800703	7.317700238917252	2.1235609145278453	1.6097468775217092	6.4836258940937155
43.0	1.5698090037714258	7.134895523828873	2.162109435340506	1.6677704322865992	6.246170218264461
49.0	1.5904279008312363	7.059584547605987	2.150156310006916	1.7672174565463588	6.008636031947817
57.0	1.6096497031254942	7.1249702074318595	2.1617726896414524	1.8031885058395765	5.951883942540695
65.0	1.5990499306942574	7.247746987753091	2.170572977243374	1.83846542402955	5.886815553287613
75.0	1.5880460680396407	7.0714205657457265	2.202713877263175	1.7758046695995395	5.810441430276561
86.0	1.6109307398889754	7.120669859621921	2.1430047293475583	1.746523851050106	5.78615752835424
99.0	1.6424704437875544	7.174885148968346	2.160039122782727	1.7758817023936304	5.860528117658147
114.0	1.658345675102715	7.3255328025230195	2.1506794078476013	1.7896163776453164	5.76262621169049
132.0	1.6396879496023165	7.239893835672334	2.090284362847278	1.7997051540504811	5.66246312391535
151.0	1.641498611485042	7.300502579296159	2.0591077877290767	1.807730875774259	5.583700436271315
174.0	1.6262099365675702	7.397340991881479	2.0615179146760387	1.7680509352247535	5.500481633698081
200.0	1.659040051353623	7.28995894854227	2.0377021712963885	1.7817284621062235	5.333375994227199
231.0	1.6317012847619257	7.265094696752966	1.981192808524214	1.733113962068529	5.282329049039858
265.0	1.6156404415519061	7.335136102009589	1.9988949982197013	1.7167548178318826	5.138746132531279
305.0	1.6310419276042512	7.3258023779395405	1.9989245604840278	1.7245040078333687	5.060217705623454
351.0	1.6184988473543902	7.347370352756703	1.9889298040425363	1.720889139518557	4.951152939691264
403.0	1.6100352519450407	7.302141752172726	2.009254436102449	1.6925302354654175	4.835609797603832
464.0	1.6081567700361128	7.334760054330062	2.01958906005926	1.6950760852978939	4.757434149173306
533.0	1.6131518524836785	7.373682749365504	2.034306843700268	1.7202977578432777	4.647899114473377
613.0	1.6221091757318418	7.355679198533452	2.029236890533948	1.7266935153197271	4.542582983490854
705.0	1.6514929781153027	7.3956496706037065	2.026891835183156	1.7568693138011628	4.4497216361540675
811.0	1.6473664240826558	7.360963472489553	2.0326250014043254	1.7714336495014453	4.317563257305423
932.0	1.6497817913887938	7.340571274119312	2.0115725311024524	1.7646709578914648	4.201586416390231
1072.0	1.6487152758825063	7.323453057029684	2.012994514892139	1.757728959901114	4.075249919876444
1232.0	1.6543361262333536	7.319752522329762	2.0157333156931436	1.7650700154484695	3.979382702583271
1417.0	1.6585615053323874	7.264056969381775	1.9946630090320472	1.757433855601981	3.85661610765725
1629.0	1.66342922242618	7.261173605397175	2.0139579726528596	1.7755372150943058	3.7588851011890543
1873.0	1.657150852198711	7.279934706649591	2.0094501156430784	1.7719108725929142	3.660202910183624
2154.0	1.6617267266976692	7.287555814764795	1.997804234581541	1.7771521265483665	3.557293092384943
2477.0	1.6644878836584935	7.288880718652544	1.991598854504575	1.7765097632823708	3.443859033274448
2848.0	1.6614396842478008	7.281006651716961	1.9972902361973877	1.775143706032314	3.3437338329862776
3274.0	1.6495801987085121	7.28580205619297	2.0126673763630754	1.7680731927567228	3.244805644662614
3764.0	1.649977577328972	7.293573533926652	2.0152585048695304	1.769778204025325	3.148164777732826
4328.0	1.655358903308595	7.28961546708458	2.017853072153432	1.7772992674826498	3.0492073992892306
4977.0	1.6521238831783533	7.262678558253291	2.021738736400075	1.775336094795857	2.9652678664722893
5722.0	1.6479893700551442	7.268861953827079	2.031944980835284	1.7745409015497848	2.880775725358418
6579.0	1.6507054612778957	7.260508058723982	2.035585510109586	1.7781807836282388	2.8119825921832753
7564.0	1.6504361146188116	7.269186477164306	2.0294315317053524	1.7726385294867273	2.7298955717353595
8697.0	1.6501612313537348	7.271527119396785	2.026210979171472	1.7764717083825263	2.652704228279346
9999.0	1.6531608005312084	7.269711610355016	2.0204630568756956	1.7792799935040853	2.5962059196233027
11497.0	1.657318687011568	7.267049639566685	2.023477119440707	1.7854579960010373	2.5399748840371297
13219.0	1.6577043358253352	7.263633141255508	2.0237184844047094	1.7814772233080138	2.481986350854526
15199.0	1.6595854830867567	7.260560390922355	2.0246729361757065	1.7817427098460772	2.4314056031022653
17475.0	1.6615135794523193	7.257520634163935	2.015101521562107	1.7790986913628029	2.381001165878485
20092.0	1.6640211860312926	7.264716903448485	2.0115301995163306	1.7774380467197155	2.336190445093415
23101.0	1.6651198718347449	7.259073264031407	2.010846028747707	1.7782413152329146	2.2965427511537744
26560.0	1.6633755682894524	7.2572952721233515	2.0105703497131957	1.7749297443240355	2.2566671065209456
30538.0	1.6636637873395408	7.258074339902689	2.010004183678154	1.7747458981319781	2.2242741534284405
35111.0	1.663546367215063	7.25892975875844	2.0097751843700387	1.7758417266597188	2.194149499237039
40370.0	1.666059543302702	7.266779747845717	2.0066610399633826	1.778567569562325	2.1689125853997986
46415.0	1.6675639836525369	7.266681878544738	2.0035740248763654	1.780980103000333	2.146659924133148
53366.0	1.6679167421962091	7.266525393293413	2.0050054019618258	1.7810449545626224	2.1274969287366114
61359.0	1.6678229676820944	7.267420619183537	2.004652179229515	1.7796342881369638	2.1114581124163085
70547.0	1.668841183254263	7.2705928860965425	2.002028657244068	1.7802322541922924	2.0958306908878104
81113.0	1.6698735172643973	7.273779898000153	2.001080586694395	1.7804528431426245	2.08438475393783
93260.0	1.6713248261073843	7.270629223150274	2.0036098854388804	1.7841978077863636	2.0730145767146224
107226.0	1.6705330319468672	7.263617681590576	2.0031523802463553	1.7822096129337066	2.062957227554574
123284.0	1.669225894307592	7.258076446121257	2.00212921916799	1.7810409130162341	2.0543621243757153
141747.0	1.66815590069043	7.258443600126062	2.0034461972519058	1.7802530290301162	2.0460476793304343
162974.0	1.6692675683479974	7.260555007611501	2.0038199215620756	1.7807070332341985	2.042198057962058
187381.0	1.6685204976103518	7.258218554496674	2.001959961505476	1.7780885777444535	2.035255318330285
215443.0	1.6684292218325563	7.262850767089452	2.0014071646040743	1.7776500768602934	2.0310463053452414
247707.0	1.66712192621816	7.260603719629177	2.001286729271415	1.776505008714292	2.0248783617604538
284803.0	1.6667675318941388	7.261809183131274	2.0010134283703995	1.7764775983633787	2.0206828150966425
327454.0	1.6670721423538049	7.262295933551966	2.001606587547974	1.7768990910352633	2.0174532408260113
376493.0	1.6668902792052154	7.265088356686974	2.000979150735097	1.7768766778549585	2.014718338998708
432875.0	1.6673627050489153	7.26742418040872	2.0019566701773783	1.7779557196567466	2.012781715788603
497701.0	1.6668339901890958	7.266973541128406	2.0017896478966755	1.7774306169523342	2.0103286600352437
572236.0	1.6671946009127416	7.266120324446911	2.0015575260433933	1.7775569914263472	2.008388707790037
657932.0	1.6665205695567427	7.265580294548587	2.0012514104651205	1.7764142365671054	2.0061092703062844
756462.0	1.666982437299805	7.265663918098866	2.0012232645650356	1.7772501202934188	2.005147064531987
869748.0	1.6675978233105189	7.266060800053291	2.0004710924087243	1.7773501025994478	2.005325802278626
999999.0	1.6679056157925907	7.266225588468322	1.9999898407281544	1.7770968288008884	2.004005439381497
