x	reclique	ivy-random	arrow-star	localMinPairs-random	inbetween-3-4-random
1.0	4.501098901098901	818.4307692307692	819.4	818.4307692307692	818.4307692307692
2.0	4.501098901098901	818.181684981685	819.4	817.8065934065934	818.0556776556776
3.0	4.501098901098901	818.0556776556776	819.4	816.9479853479853	817.6190476190476
4.0	4.501098901098901	818.196336996337	819.4	815.796336996337	817.9648351648351
5.0	4.501098901098901	818.6652014652014	819.4	815.796336996337	818.5860805860806
6.0	4.501098901098901	818.9113553113554	819.4	815.4212454212454	818.3985347985348
7.0	4.501098901098901	818.9113553113554	819.4	814.3311355311355	818.5391941391941
8.0	4.501098901098901	819.3450549450549	819.4	814.3311355311355	818.5509157509158
9.0	4.501098901098901	819.2161172161173	819.4	813.9560439560439	818.7970695970696
10.0	4.501098901098901	819.0285714285715	819.4	813.4637362637362	818.9025641025642
12.0	4.501098901098901	818.6065934065934	819.4	811.7172161172161	819.0432234432235
14.0	4.501098901098901	818.6534798534799	819.4	810.2520146520146	818.2930402930403
16.0	4.501098901098901	817.9150183150183	819.4	809.5252747252747	818.7150183150184
18.0	4.501098901098901	817.8564102564103	819.4	808.9040293040293	818.9025641025642
21.0	4.501098901098901	817.5985347985348	819.4	806.9201465201465	818.4688644688645
24.0	4.501098901098901	817.7714285714286	819.4	805.3934065934066	818.0937728937729
28.0	4.501098901098901	817.1919413919414	819.4	803.5267399267399	817.5934065934066
32.0	4.501098901098901	816.6293040293041	819.4	801.8271062271062	818.2967032967033
37.0	4.501098901098901	817.145054945055	819.4	799.8315018315018	818.1677655677655
43.0	4.501098901098901	818.2029304029304	819.4	798.0695970695971	817.8893772893773
49.0	4.501098901098901	818.0505494505494	819.4	794.2102564102564	818.1238095238095
57.0	4.501098901098901	817.9128205128205	819.4	791.1626373626374	818.3934065934066
65.0	4.501098901098901	816.6468864468865	819.4	787.9948717948718	819.6095238095238
75.0	4.501098901098901	816.1509157509157	819.4	784.4791208791208	819.421978021978
86.0	4.501098901098901	816.537728937729	819.4	780.9706959706959	817.6688644688645
99.0	4.501098901098901	817.7216117216117	819.4	775.7457875457875	819.6263736263736
114.0	4.501098901098901	817.1238095238095	819.4	771.5465201465202	820.1538461538462
132.0	4.501098901098901	818.3985347985348	819.4	768.6849816849817	822.0879120879121
151.0	4.501098901098901	818.6901098901099	819.4	761.7479853479854	820.7465201465202
174.0	4.501098901098901	818.1509157509157	819.4	756.0688644688645	821.1567765567765
200.0	4.501098901098901	818.7369963369963	819.4	748.4813186813187	819.7384615384616
231.0	4.501098901098901	819.5194139194139	819.4	740.5421245421245	820.2102564102564
265.0	4.501098901098901	818.0600732600733	819.4	731.8410256410257	820.643956043956
305.0	4.501098901098901	819.7421245421245	819.4	720.1201465201465	820.3069597069597
351.0	4.501098901098901	820.6593406593406	819.4	708.7736263736264	817.3794871794872
403.0	4.501098901098901	821.7465201465202	819.4	698.7677655677655	819.6219780219781
464.0	4.501098901098901	824.152380952381	819.4	688.2058608058608	820.545054945055
533.0	4.501098901098901	822.429304029304	819.4	675.7347985347985	821.7567765567766
613.0	4.501098901098901	822.145054945055	819.4	664.7538461538461	821.7069597069597
705.0	4.501098901098901	819.9032967032967	819.4	653.4981684981685	822.4307692307692
811.0	4.501098901098901	822.3765567765568	819.4	641.4424908424909	822.7677655677655
932.0	4.501098901098901	825.1875457875458	819.4	624.8344322344323	823.0021978021978
1072.0	4.501098901098901	821.4630036630036	819.4	601.4893772893773	820.6520146520146
1232.0	4.501098901098901	821.1025641025641	819.4	582.9186813186814	826.0498168498168
1417.0	4.501098901098901	822.4857142857143	819.4	560.6351648351648	826.0373626373627
1629.0	4.501098901098901	821.7098901098901	819.4	539.6820512820512	824.7252747252747
1873.0	4.501098901098901	821.6300366300367	819.4	519.5347985347985	821.9758241758242
2154.0	4.501098901098901	817.5684981684982	819.4	498.989010989011	821.5860805860806
2477.0	4.501098901098901	812.2908424908425	819.4	472.5040293040293	825.7150183150184
2848.0	4.501098901098901	814.6666666666666	819.4	448.86520146520144	828.7985347985348
3274.0	4.501098901098901	816.1582417582417	819.4	429.00586080586083	831.2065934065934
3764.0	4.501098901098901	820.592673992674	819.4	406.8974358974359	832.7772893772893
4328.0	4.501098901098901	821.7032967032967	819.4	382.34212454212457	832.0095238095238
4977.0	4.501098901098901	824.3238095238095	819.4	355.03882783882784	827.2388278388279
5722.0	4.501098901098901	821.2520146520146	819.4	327.05347985347987	828.807326007326
6579.0	4.501098901098901	822.1860805860806	819.4	300.8974358974359	818.1750915750915
7564.0	4.501098901098901	823.9802197802197	819.4	273.5934065934066	825.8161172161172
8697.0	4.501098901098901	826.7355311355311	819.4	249.61684981684982	818.9230769230769
9999.0	4.501098901098901	828.1699633699634	819.4	227.55164835164834	813.8747252747253
11497.0	4.501098901098901	827.6527472527473	819.4	201.24835164835164	815.5091575091575
13219.0	4.501098901098901	819.9633699633699	819.4	180.89157509157508	820.7787545787546
15199.0	4.501098901098901	828.0395604395604	819.4	159.68791208791208	810.6908424908424
17475.0	4.501098901098901	823.5069597069597	819.4	140.53699633699634	821.5252747252747
20092.0	4.501098901098901	822.5575091575091	819.4	125.76043956043956	818.6234432234432
23101.0	4.501098901098901	822.8285714285714	819.4	107.55531135531136	817.4732600732601
26560.0	4.501098901098901	822.3384615384615	819.4	93.13260073260074	820.5494505494505
30538.0	4.501098901098901	815.4307692307692	819.4	76.17069597069597	819.6703296703297
35111.0	4.501098901098901	818.6029304029304	819.4	62.477655677655676	821.4637362637362
