x	arrow-star	inbetween2-0.0-random	inbetween2-0.125-random	inbetween2-0.25-random	inbetween2-0.375-random	inbetween2-0.5-random	inbetween2-0.625-random	inbetween2-0.75-random	inbetween2-0.875-random	inbetween2-1.0-random
1.0	0.38269374484917806	0.5167392060905057	0.5167392060905057	0.5156835101235628	0.5156605514761811	0.5164884482111454	0.51610712291107	0.516108042383121	0.5153412208435871	0.5166295282976558
2.0	0.38269374484917806	0.5168660784703902	0.5168660784703902	0.515778790919377	0.5149794105415888	0.5162773926550135	0.517055404675751	0.5176814425033798	0.5157661621256957	0.5166295282976558
3.0	0.38269374484917806	0.5159267868096745	0.5159267868096745	0.5155022480864114	0.515373551040785	0.51498793398867	0.5159788539210165	0.5159838650941188	0.5166774754895535	0.516629528297656
4.0	0.38269374484917806	0.51630963102893	0.51630963102893	0.5154102282007242	0.5145754301816704	0.5134336303142936	0.5148382066042715	0.515701785403131	0.5165890292620294	0.5166295282976558
5.0	0.38269374484917806	0.5155963426451177	0.5155963426451177	0.5155147648554063	0.5139421320935516	0.5135441615592078	0.5146184215499326	0.5141940609095232	0.5156207305881484	0.516629528297656
6.0	0.38269374484917806	0.5156080443274594	0.5156080443274594	0.5154269756126493	0.5134934128541256	0.5140878909636193	0.5140111607544469	0.5162361955083704	0.5164522765428385	0.516629528297656
7.0	0.38269374484917806	0.5162689159544713	0.5164883126018381	0.5168000239011707	0.5145701714529528	0.5146282314029254	0.5141135985452584	0.5169297762638215	0.5160382760459575	0.5166295282976558
8.0	0.38269374484917806	0.5168780076504323	0.517196538799786	0.5170361730831284	0.5147247948263217	0.5156224904139791	0.5145053401383028	0.518030447305504	0.5176565532564114	0.5166295282976558
9.0	0.38269374484917806	0.5167700367642798	0.5169441765618775	0.517307163432662	0.5152802021347772	0.5163646336809474	0.5154347797880835	0.5180526282535143	0.517585597923479	0.5166295282976558
10.0	0.38269374484917806	0.5173362509954228	0.5175103907930205	0.5168524511147305	0.5157765739724245	0.5154381818869378	0.5142456100907317	0.5187539562547894	0.5191885195439211	0.516629528297656
