x	arrow-star	arrow-mst	ivy-random	localMinPairs-random
1.0	1.189896552078258	0.9425224068443847	7.624509483056096	7.831044044078617
2.0	1.3112473708787808	0.7203837107102122	6.632972595338248	6.883322096355941
3.0	1.3697871170502283	1.8630145984932824	7.121181966145991	7.33209644635148
4.0	1.3835664656200353	2.5053997155803174	7.01857815815232	7.23371048243469
5.0	1.3713006236712515	2.3161496754760194	6.890893576173427	7.0836717839293035
6.0	1.3936604523954061	2.372359980646589	6.491327317942184	6.446999328527499
7.0	1.4452418569698908	2.3216714006470354	7.220831071693801	7.130621743873139
8.0	1.4671181637214574	2.3886153255430504	6.9798182325363625	6.859327612201903
9.0	1.5062993933058837	2.3781385712549836	7.4617606132280985	7.353319054927085
10.0	1.562479770481231	2.589603544497471	7.19325919698862	6.946253227612771
12.0	1.5209037471059343	2.771857131835448	7.341929301346874	6.823717217289255
14.0	1.5426733801409795	2.7230498417388715	7.24515547922787	6.681853037308347
16.0	1.5298753749556318	2.6528776082917207	7.2345186234925905	6.71146059614376
18.0	1.4929550215820635	2.56206771642959	6.745970475939516	6.317625687496322
21.0	1.5264834214343999	2.6536934069524727	6.520533176934111	6.036511245083007
24.0	1.5604051829793097	2.7319140220730316	6.72139311539567	6.093327539811664
28.0	1.5662672567424842	2.710368071117643	6.561929633667611	6.0481134441523885
32.0	1.5370775746124554	2.6759522018930086	6.1874899226659865	5.633808896697375
37.0	1.4528612065056923	2.5665150574423743	6.158888921810504	5.44383371572185
43.0	1.4826725080375622	2.7375264331197022	6.401535165832526	5.70432159892802
49.0	1.4589938478490583	2.790853913031613	6.417169675345671	5.726364032349664
57.0	1.456323488068312	2.865791391500027	6.1739980733711235	5.541425355537094
65.0	1.4390962797203712	2.792324912386656	6.319566937256364	5.619864510848694
75.0	1.4149329814776292	2.7155442043340092	6.199663185843875	5.376621962221029
86.0	1.3935554086405675	2.900414731463406	6.102118680685072	5.221437091774949
99.0	1.4246574892547892	2.840832884887866	6.145544495255218	5.166108149982841
114.0	1.4253235117329868	2.900804758880529	6.317795165425546	5.1717591986940965
132.0	1.367964528985663	2.8300949619260014	6.3123015989768545	4.931563585708824
151.0	1.355122413290747	2.8121718054357907	6.278612830328704	4.917786763835069
174.0	1.3648674640278426	2.7439143713031053	6.325327584537437	4.954911227690558
200.0	1.3813057041569285	2.7740171298226852	6.295799918950753	4.836330130880216
231.0	1.3910609759590349	2.8404566216880944	6.346357383457429	4.6930752910614455
265.0	1.393715358614666	2.827889606157684	6.312008876384072	4.552174923071788
305.0	1.3934148230014138	2.886851892964898	6.395349055751594	4.476779112642675
351.0	1.3907079484791356	2.897681596042325	6.259223724181846	4.30178000030116
403.0	1.3901772580971115	2.875213814727831	6.270336672674885	4.206134062942386
464.0	1.3979382756334986	2.845183947281143	6.28836277937738	4.118230549639182
533.0	1.3954947467713157	2.7873906734886242	6.252973241634928	3.9596474228250123
613.0	1.4115622511104695	2.7586310879753695	6.284234570260579	3.865429314283755
705.0	1.414128563235214	2.772702288441234	6.301572496773399	3.723878396536176
811.0	1.4146905045566942	2.780196988161947	6.330843276160407	3.5927084853992612
932.0	1.4203659657897607	2.8006853218980132	6.328632414772404	3.4617001807840726
1072.0	1.4199344191060166	2.8077043081655413	6.348841148858451	3.329234694812453
1232.0	1.4266906043094443	2.8062403542650416	6.356666826019937	3.228570897930969
1417.0	1.430921227807387	2.8410929610100757	6.345485023133655	3.0989388065002137
1629.0	1.436481982407671	2.8173698637828517	6.391242573792904	2.982493008969729
1873.0	1.4380339494384111	2.8203657434956013	6.3726385265628265	2.87012135371797
2154.0	1.4404789381618124	2.803481142173765	6.364856089779613	2.7581580390767915
2477.0	1.443976045285219	2.818810869425758	6.392089856862874	2.6535064560968746
2848.0	1.4467428039989978	2.798550970475356	6.391697560245852	2.558086472569101
3274.0	1.4444335718598948	2.8019025583113435	6.410284378140964	2.466919998047271
3764.0	1.4468927949261368	2.8037160827169134	6.4254914031615415	2.3856243740514462
4328.0	1.4524822240102735	2.816034552471068	6.454067455238106	2.3089358933166837
4977.0	1.4562007717703471	2.815829405868896	6.464335082503323	2.248930447433871
5722.0	1.4581751854633191	2.8210123813815966	6.476607481740135	2.1926113216564254
6579.0	1.4628643280189453	2.824255397849318	6.475293380305127	2.140569786283365
7564.0	1.4638910424081069	2.8264932117618864	6.467326079974942	2.094556494685712
8697.0	1.4636441568824683	2.825906346264869	6.468329690971505	2.05577370688624
9999.0	1.463777695137571	2.8273546539684964	6.473147541917561	2.019885361313187
11497.0	1.4661987520042927	2.8304179170254047	6.48975925963145	1.9923973211219568
13219.0	1.4635808020128274	2.8269251329980145	6.487847779161448	1.9674438530298608
15199.0	1.464476749513395	2.8262258842239336	6.485732548121124	1.9536759565199768
17475.0	1.4660791102789128	2.826027887202848	6.497191390305804	1.9457283482952412
20092.0	1.467850474268525	2.8235367349766416	6.502368408685286	1.9316850810118582
23101.0	1.4668700001110713	2.8272372352753377	6.49543816501355	1.9259508570145378
26560.0	1.4644500659927573	2.8207850108513006	6.489486345718335	1.9232128806395525
30538.0	1.462811285181859	2.82110128559809	6.48000806269296	1.9225016439032667
35111.0	1.4644479277680513	2.8230383062293067	6.479731725159431	1.9262121302766948
40370.0	1.4629118079175314	2.8224956443977463	6.478541146516252	1.9210968978755867
46415.0	1.4627120590030207	2.819518823311581	6.475529351624272	1.919477188092483
53366.0	1.4627533803023633	2.8139494547136548	6.4768576005501295	1.9195602014885653
61359.0	1.4641361959772634	2.8172731748940922	6.478788779652482	1.9168262579404007
70547.0	1.4648662564455732	2.8212766222247994	6.479053652427041	1.9184980412820176
81113.0	1.4646059781217895	2.8208881167926383	6.482590983928417	1.9184187529967602
93260.0	1.4648561513370306	2.8209206297520875	6.486051463820535	1.9220416233349544
107226.0	1.4642351347148255	2.8165452964172504	6.482358118763336	1.9269716309484666
123284.0	1.4642250100728145	2.816328322772826	6.484917444758758	1.9302904852252099
141747.0	1.4653673876633249	2.817520740113342	6.491145493300447	1.9328527159016322
162974.0	1.4654079773607704	2.818406729933498	6.488030989151582	1.9345610600534795
187381.0	1.4655357135113696	2.8181652203438023	6.488404030559768	1.9387790274447951
215443.0	1.4655994941584412	2.817093583875348	6.490075170468195	1.9409210063397258
247707.0	1.4658342294740079	2.817427592190483	6.4922840183050186	1.9426490468980115
284803.0	1.4658096231865518	2.8165081511530947	6.493015534060672	1.9449022301426337
327454.0	1.4653385879341758	2.8166093836468087	6.490060944763034	1.9482865594527452
376493.0	1.4655547154602138	2.8186912979211693	6.490564677097719	1.9531396533153846
432875.0	1.4657755156237016	2.815370802030547	6.490550410754518	1.9547712192148252
497701.0	1.4659169755691936	2.814281812464432	6.492817947407731	1.95651432618712
572236.0	1.4659923948200668	2.8139886491729116	6.493413027321501	1.9569625272622064
657932.0	1.4653603650092195	2.8120330782175103	6.492113111143437	1.957871824765458
756462.0	1.4650418725028351	2.8116582254450355	6.4931907009052825	1.9585231124313365
869748.0	1.4651854425267823	2.8115069024586363	6.49386431766964	1.9591615451536704
999999.0	1.4653367375012292	2.810588088965605	6.49310036115443	1.9596553001190102
