x	arrow-star	arrow-mst	ivy-random	localMinPairs-random
1.0	2.4765516051195533	2.115597907133896	10.500317697980272	11.01429628256366
2.0	4.243034217246635	1.870946230253445	14.756281534379951	15.662686330308532
3.0	3.5279175453354314	2.5865613128620266	12.987492859737387	13.688009257152377
4.0	3.117510507771379	3.1104805385512946	11.745798902017565	12.353812493983211
5.0	2.924164165984737	2.9332305009939947	11.345297570082947	11.8721499164307
6.0	2.667617515084174	2.800073558914104	10.156466811692875	10.453283818127343
7.0	2.5473883047352315	2.682237972143865	10.342070309317954	10.553224694132716
8.0	2.3756337843658746	2.582385102208726	9.535310971019573	9.698420456226865
9.0	2.3615135956569273	2.5986647864606573	10.00004717062969	10.146845707316253
10.0	2.2395919618988462	2.567843893890844	9.287814211589552	9.349974241350857
12.0	2.068847854596226	2.6799008616919986	8.959090535534232	8.739917776728252
14.0	2.049834490106938	2.612823444697062	8.94017864981249	8.58742901396565
16.0	1.9598867589276303	2.527426419039407	8.622300787660603	8.292783049645438
18.0	1.8901910464732072	2.461820124222597	7.997170079228409	7.757706476670923
21.0	1.7996397349029452	2.427803223103864	7.377210142052522	7.100883088564098
24.0	1.8968699142502374	2.6213572210860154	7.828952691700775	7.236014837367726
28.0	1.8203782715479717	2.548314902751572	7.358609939037384	6.8800317010784555
32.0	1.788266306918719	2.5641731194075805	6.936354774546907	6.419314235641775
37.0	1.750168671298769	2.5646542700548913	7.3703812841496745	6.4264668198493995
43.0	1.7316205285642128	2.7678366105570835	7.403823931615394	6.540447487322589
49.0	1.7811146477504298	2.9533253356910745	7.820279618072467	6.7932964803699925
57.0	1.7482057174934136	3.0195515012704237	7.429525820520864	6.472495031435156
65.0	2.025308915333632	2.964084143711843	9.606822243391122	7.948747819444501
75.0	1.9699370986636642	2.9600689876646897	9.40295838731213	7.547284715943255
86.0	2.004125251733397	3.4246599091209258	9.400869821231579	7.494533278386145
99.0	2.0562872279032005	3.2585303984583445	9.414857118655183	7.439323766243946
114.0	1.99516380977827	3.27105901192926	9.349160690255554	7.272046540547249
132.0	1.8954555016266885	3.2349901396866314	9.296507152158766	6.914803689067206
151.0	1.8432434476586341	3.1992431748642005	9.150248414639217	6.840920106678149
174.0	1.8372092572313514	3.0743860255721676	9.136371835215222	6.966168456747104
200.0	1.8408991844413876	3.0398867657777857	9.020791216021609	6.771930012217565
231.0	1.8245246591810247	3.097370848002449	8.942567990312746	6.523176771765344
265.0	1.812040136913133	3.0491448096377134	8.777971979977686	6.25198540271256
305.0	1.8654449309003591	3.1291186433231495	8.977158336219231	6.124833753116043
351.0	1.9014780317139817	3.143250717242463	9.018032151884974	5.91145386378245
403.0	1.8875582461925344	3.14563116473462	8.964652721063757	5.76587500281306
464.0	1.9143254717403304	3.1076630161770016	8.954268337646958	5.6821261320473075
533.0	1.9172233353958006	3.0529734595935483	8.970622236422443	5.49959588498613
613.0	1.9624258851392418	3.0065591544616677	9.141911290539028	5.432445525225769
705.0	1.988571958224522	3.0054970934300576	9.281674376379348	5.244062800564208
811.0	1.9426366314342653	3.008215438198288	9.194910689890675	4.975693142376877
932.0	2.003982641811479	3.03808476634009	9.37084617065004	4.983842676986826
1072.0	2.088641631987035	3.060180446125398	9.586298672784892	4.861840335830345
1232.0	2.1956314737239095	3.1070344119891717	10.214178264159182	4.874814945195297
1417.0	2.162067071630405	3.145994369142214	10.025828754725762	4.620235167183874
1629.0	2.15890705324788	3.1340230771000828	10.06759347250245	4.435892744396119
1873.0	2.2200740276907953	3.1403588859776916	10.44182217099887	4.348613810408296
2154.0	2.176889117582816	3.1215534528895637	10.220413199535146	4.102684556497443
2477.0	2.1707259660644587	3.1516350751706317	10.173363443764002	3.938408364116536
2848.0	2.2112115265424057	3.143181039110532	10.265357393283102	3.8109871631168795
3274.0	2.1832163485855647	3.15593403533768	10.180494729188998	3.651226707633346
3764.0	2.1825021417452577	3.1492734060163023	10.149335960562093	3.529285499595835
4328.0	2.2491670500939045	3.156156885148005	10.34409586444582	3.5005631131546817
4977.0	2.21336719477787	3.1385929103192463	10.19913869964003	3.3577133801830126
5722.0	2.1892084897427053	3.1306223571684764	10.113322583111879	3.247217582956703
6579.0	2.2049368395972135	3.132047339677536	10.196485345027426	3.1635420810139236
7564.0	2.208505311410001	3.1281703104738443	10.173891036728868	3.087873548477278
8697.0	2.201876819838799	3.1379178563887447	10.145510693439544	3.015450891284739
9999.0	2.18891306057998	3.1340197314862235	10.130877395210074	2.937050374022118
11497.0	2.168832923907215	3.1310620582500794	10.060320020089453	2.8662750524646188
13219.0	2.1504603437195264	3.1370318147557295	9.99420742422936	2.8113534621943463
15199.0	2.1545814858685204	3.132566320063976	9.971067710804345	2.7791919379061447
17475.0	2.1479220133257546	3.128839887879368	9.982056787694695	2.752862500112878
20092.0	2.1596321133744096	3.117673008204462	9.990422971036809	2.724174136501724
23101.0	2.1516753488478115	3.1217833865311704	9.956879856377052	2.69811263432889
26560.0	2.1557295953841735	3.1227206592824297	9.9661176614117	2.6918843286531904
30538.0	2.156670923141717	3.124506516537492	9.962154885470373	2.6775231384167983
35111.0	2.164642465194387	3.1197310080494662	9.948256593537305	2.672041690642175
40370.0	2.153755356768298	3.1179983845693497	9.918326941199185	2.6545285750718803
46415.0	2.1650778544148146	3.108924417453135	10.000899785202737	2.6443269569063332
53366.0	2.168600894936432	3.1074520323706176	10.002437745849294	2.6477690220437293
61359.0	2.1661822720054404	3.1031092847957966	9.98163818692978	2.6386777131441823
70547.0	2.184594271124849	3.1059977607304123	10.058044327946659	2.654347616354791
81113.0	2.181111007800459	3.104544593388763	10.040916341428744	2.6474158031877826
93260.0	2.177045390220843	3.100632185587291	10.025937841528	2.639279453495513
107226.0	2.1812591820615554	3.098552867747766	10.049343658335458	2.6496197304268967
123284.0	2.184290272191172	3.0978387286492186	10.054387597511688	2.648296450072495
141747.0	2.181295566642691	3.0959116662415935	10.036277317603426	2.641116153027675
162974.0	2.1849381499455105	3.0978702919375567	10.034654116703646	2.6427257234570796
187381.0	2.183398435756295	3.095624589070442	10.033705431006334	2.645350291485217
215443.0	2.1747175004253534	3.0917265724017264	10.01407545152273	2.639119559353224
247707.0	2.1758522167270726	3.092519987800903	10.008943173395105	2.6362915703306875
284803.0	2.1759584279728403	3.091127732139141	10.016898921256873	2.6327972256029457
327454.0	2.173975694025804	3.092005996763022	10.002782374467941	2.6332229232794333
376493.0	2.1671066700738604	3.093107117520762	9.977912951247532	2.629470872805075
432875.0	2.1715047910952023	3.0912592773408702	9.98997363021422	2.6332016494163817
497701.0	2.1720240779778384	3.089086286447328	10.003349595168153	2.632689755550972
572236.0	2.1776064909331607	3.0899986765586744	10.027652804712446	2.6340024364351455
657932.0	2.1761523330316637	3.0895597047946466	10.025710523638732	2.633830689897713
756462.0	2.172658581058408	3.0899336094922334	10.016759593579343	2.63329385883339
869748.0	2.1710481713120955	3.088079123218469	10.011231631631011	2.6315735458345144
