x	arrow-star	inbetween2-0.0-random	inbetween2-0.125-random	inbetween2-0.25-random	inbetween2-0.375-random	inbetween2-0.5-random	inbetween2-0.625-random	inbetween2-0.75-random	inbetween2-0.875-random	inbetween2-1.0-random
1.0	1.5	6.5	6.5	7.0	7.0	7.0	7.0	7.5	7.5	9.5
2.0	1.6666666666666667	6.0	6.0	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	7.666666666666667	8.333333333333334	9.666666666666666
3.0	1.75	6.25	6.25	6.75	6.75	7.0	7.0	7.75	8.25	9.75
4.0	1.8	6.2	6.2	7.0	6.8	7.6	7.0	8.2	8.6	9.8
5.0	1.8333333333333335	6.333333333333334	6.333333333333334	7.0	7.166666666666666	7.666666666666666	7.833333333333333	8.666666666666666	8.833333333333332	10.0
6.0	1.8571428571428572	6.2857142857142865	6.2857142857142865	6.857142857142857	7.142857142857142	7.857142857142857	7.714285714285714	9.0	8.857142857142856	9.714285714285714
7.0	1.875	7.125000000000001	7.250000000000001	7.875	8.0	8.875	8.875	9.25	10.499999999999998	10.375
8.0	1.8888888888888888	6.888888888888889	7.000000000000001	7.666666666666667	8.333333333333334	8.88888888888889	9.11111111111111	9.666666666666666	10.111111111111109	10.666666666666666
9.0	1.9	7.300000000000001	7.4	8.0	8.600000000000001	9.1	9.299999999999999	9.799999999999999	10.199999999999998	10.799999999999999
10.0	1.909090909090909	7.000000000000001	7.1818181818181825	7.818181818181818	8.363636363636365	9.272727272727272	9.272727272727272	10.09090909090909	10.454545454545451	10.999999999999998
11.0	1.9166666666666665	7.166666666666668	7.416666666666667	8.083333333333334	8.750000000000002	9.333333333333332	9.583333333333332	10.583333333333332	10.416666666666664	10.833333333333332
12.0	1.923076923076923	7.076923076923078	7.384615384615385	8.076923076923077	8.53846153846154	9.076923076923077	9.846153846153845	10.846153846153845	10.153846153846152	10.846153846153845
14.0	1.9333333333333331	7.000000000000001	7.266666666666667	7.933333333333333	8.466666666666669	9.0	9.999999999999998	10.599999999999998	10.466666666666665	10.933333333333334
16.0	1.941176470588235	7.058823529411765	7.411764705882353	8.176470588235293	8.941176470588237	9.411764705882353	10.235294117647058	10.999999999999998	10.941176470588234	10.647058823529411
18.0	1.9473684210526314	6.631578947368421	6.947368421052632	7.6842105263157885	8.42105263157895	8.894736842105262	9.894736842105264	10.473684210526315	10.684210526315788	10.105263157894738
20.0	1.952380952380952	6.809523809523809	7.142857142857143	7.999999999999999	8.42857142857143	8.904761904761905	10.0	10.523809523809522	10.57142857142857	10.380952380952383
23.0	1.958333333333333	6.749999999999999	7.041666666666667	7.833333333333332	8.333333333333334	8.916666666666666	9.833333333333332	9.999999999999996	10.333333333333332	10.54166666666667
25.0	1.9615384615384612	6.615384615384614	6.884615384615385	7.73076923076923	8.26923076923077	8.846153846153847	9.615384615384613	9.846153846153843	10.076923076923075	10.461538461538465
29.0	1.9666666666666663	6.333333333333331	6.600000000000001	7.533333333333333	8.066666666666666	8.633333333333333	9.499999999999998	9.899999999999997	9.799999999999999	10.400000000000004
32.0	1.9696969696969693	6.090909090909089	6.3939393939393945	7.303030303030303	7.818181818181818	8.454545454545455	8.969696969696969	9.666666666666664	9.515151515151516	10.181818181818185
36.0	1.9729729729729726	6.081081081081079	6.351351351351352	7.243243243243243	7.72972972972973	8.45945945945946	8.64864864864865	9.702702702702702	9.45945945945946	10.189189189189191
41.0	1.976190476190476	6.214285714285713	6.5	7.357142857142857	7.8809523809523805	8.54761904761905	9.023809523809526	9.761904761904761	9.833333333333332	10.28571428571429
46.0	1.9787234042553192	6.212765957446807	6.617021276595745	7.404255319148936	7.9787234042553195	8.510638297872342	9.255319148936172	10.02127659574468	9.787234042553191	10.531914893617024
52.0	1.9811320754716981	6.188679245283018	6.566037735849056	7.339622641509434	7.943396226415095	8.698113207547172	9.056603773584907	10.075471698113207	9.69811320754717	10.603773584905662
