x	arrow-star	inbetween2-0.0-random	inbetween2-0.125-random	inbetween2-0.25-random	inbetween2-0.375-random	inbetween2-0.5-random	inbetween2-0.625-random	inbetween2-0.75-random	inbetween2-0.875-random	inbetween2-1.0-random
1.0	2.4765516051195533	10.500317697980272	10.500317697980272	11.158421982421654	11.158421982421654	11.01429628256366	11.01429628256366	12.565335655705773	11.469732661164095	18.492733684227236
2.0	4.243034217246635	14.756281534379951	14.756281534379951	15.99976798277634	15.99976798277634	18.606749429446136	18.606749429446136	26.76913843610287	24.905696716403277	28.24929656099868
3.0	3.5279175453354314	12.987492859737387	12.987492859737387	13.889205315004975	13.889205315004975	16.402391809763152	16.022510629295397	22.534089406701362	20.73301307789428	23.7180411753372
4.0	3.117510507771379	11.745798902017565	11.745798902017565	12.675094452500918	12.500574278967061	14.888481762577342	14.04755802966703	20.20964857671123	18.897834302985252	21.258590035866906
5.0	2.924164165984737	11.345297570082947	11.345297570082947	12.06939822674536	12.31038027928491	14.101912721264076	14.598703874301403	19.280992972699156	18.455390619549473	20.09530749773342
6.0	2.667617515084174	10.156466811692875	10.156466811692875	10.796746699295554	11.136096088757197	12.950277708083785	13.176450621232663	17.67185269690063	16.726002596769725	17.83728891924998
7.0	2.5473883047352315	10.342070309317954	10.397487204094817	11.14857210570131	11.44040198481167	12.982253108404528	13.283224667610414	16.692576148523255	17.234855186321894	17.171748877452046
8.0	2.3756337843658746	9.535310971019573	9.584570433043451	10.304874475401634	10.985119042960687	12.077269685003666	12.522697540343074	15.732943795061159	15.780154511686414	15.97762551950183
9.0	2.3615135956569273	10.00004717062969	10.04438068645118	10.692654324573546	11.304874435376693	12.287810013215374	12.688695083020841	15.577916712267116	15.620406357229847	15.823699504350106
10.0	2.2395919618988462	9.287814211589552	9.328537634899106	9.966564410471282	10.569407401598435	11.610792940573745	11.88468411447661	14.920253364734927	14.80782509681078	15.0202165795242
11.0	2.136646434536286	9.27071170164591	9.381878708535423	10.077062972957213	10.603887276894827	11.432340492049486	11.837608051167468	14.685528285245029	14.234262826994527	14.46432922120708
12.0	2.068847854596226	8.959090535534232	9.162744762896855	9.834920249044256	10.221498562437809	11.017575539504309	11.859151040499999	14.697461839361143	13.57598151283611	13.988914840257815
14.0	2.049834490106938	8.94017864981249	9.134519896595718	9.620665000741022	10.267500689407433	10.965699477892775	11.944200406345978	14.24090679099688	14.246753495105182	13.783328290480595
16.0	1.9598867589276303	8.622300787660603	8.952809792539387	9.620657874935551	10.404879652383151	10.897387365083427	11.838307596587894	14.151419019115778	14.139583928570968	13.047347803111585
18.0	1.8901910464732072	7.997170079228409	8.292888662541007	8.915796238956151	9.60186661745954	10.228869387543565	11.376357525573047	13.302824541084716	14.107418452793913	12.212724349088344
20.0	1.8126518582909665	7.63805615309506	7.950707282859697	8.628515763563275	9.032189046657258	9.696150469634443	10.83397658525718	12.65341547112107	13.259865156903711	11.621706632546202
23.0	1.9342392246853128	7.995070032885206	8.204078182655614	8.632130047088603	9.329769751520251	10.052033516393562	10.981788944257117	12.114460315298597	13.32677809209338	12.069563118137209
25.0	1.8722340989233777	7.7176538243906	7.891547146884901	8.365195786074484	8.998487120962313	9.665172566295766	10.506699621831583	11.626430807233309	12.702680487140727	11.639224624798382
29.0	1.8385925582780933	7.319618776300078	7.445198003254035	8.055756991396889	8.751331558518608	9.497241418128489	10.402021352849982	11.59764287524465	12.241389652619482	11.449649618523294
32.0	1.788266306918719	6.936354774546907	7.085233731824616	7.713278224834797	8.35856002630238	9.132470986293916	9.762842121947351	11.022167216843714	11.583970400665217	10.988453179070039
36.0	1.7699825701510745	7.425934282074361	7.504427037634224	8.296703180367498	8.747048310744953	9.667516070015196	9.654403683684233	11.622909572373466	12.162454474918064	11.680340821208702
41.0	1.7174313152870513	7.304479195469385	7.437478637298362	8.193807873564115	8.720663746521025	9.534936502720582	9.735997412230008	11.215769030301306	12.191004435328027	11.586214457239716
46.0	1.7729362048963602	7.470978630170156	7.66849158814175	8.862510647594194	9.08039287822771	9.772425276521568	10.800198652567333	12.259888904369141	12.301972646489217	12.76443283982681
52.0	1.7557714520387202	7.575121447307585	7.97804090654749	8.84396566198042	9.185564598030915	10.185806472889919	10.918625252506285	12.52896575272198	12.379175565033378	12.854240887566382
58.0	1.7376068244224174	7.519825918984652	8.029239261099976	8.832233791521325	9.228314724648852	10.420932939601833	11.111661566384194	13.141022151678982	12.82279556562749	13.185385343114229
65.0	2.025308915333632	9.606822243391122	9.936119141511705	12.744996181498164	12.643133583698512	14.003820245274754	16.42883792381497	18.611265232831173	17.491375407926142	17.338302743325535
73.0	1.9770582538559025	9.54659586494331	9.814321274620426	12.646518729403992	12.50803532373952	14.061470795803285	16.176955366502074	19.006687816344527	17.42297891489138	17.1474631208874
83.0	2.0331643300466595	9.640637621577765	9.972125067653343	12.306844586791968	12.61510794444587	15.186792663700604	17.069385268483607	19.932534004365067	18.078518977822696	18.166754997295655
93.0	2.0953648344307316	9.614755214799107	10.095984567736243	12.15767282034721	12.27462855122593	15.005930199652326	17.443999091150808	18.978603829612176	18.73351617851212	17.630887568169758
104.0	2.0527997173147146	9.470726138518877	9.928122321914808	11.79363598968435	12.449187318255998	14.836798079255646	17.274328579237814	18.238582524673266	18.271846674901145	17.3065694530479
117.0	1.973825789857316	9.280154693775357	9.729164030116806	11.623168860089057	12.333282015687983	14.414657953818725	16.644511743338594	17.447763511622185	17.9897961077933	16.699038093810618
132.0	1.8954555016266885	9.296507152158766	9.548761363033261	11.460013873545519	12.494869637542617	14.298984063297189	16.470037181729335	17.099299345608447	17.97588687408924	16.91732026818372
148.0	1.8346165055780612	9.114090495608707	9.422478965461078	11.67012183561278	12.491517405446217	14.308456548911582	16.206544806270486	16.862882810424942	17.870658523569105	16.63296512052162
166.0	1.8640412029533775	9.316271949224578	9.638501109727192	11.902611693880754	12.764115844089101	14.635921266382553	16.76048720684621	17.373354014521627	18.11018928907868	16.85696209478307
187.0	1.8586722679871122	9.27390467378112	9.527997083486992	11.883304879228962	12.560495743225225	14.463015243940953	16.35509639119991	16.944991591847153	17.963020676524106	16.51852074425617
210.0	1.868251317970091	8.977689859472934	9.303884043823725	11.576385362915856	12.168100550843644	14.161090983437203	15.88380449816601	16.78546513215376	17.56726626218209	16.22694673551743
236.0	1.8142670862956816	8.869076908277078	9.325661751891472	11.661471456487526	12.047032024562018	13.969270542453057	15.673826695812062	16.741853096141615	17.064340897901435	16.039897449277298
265.0	1.812040136913133	8.777971979977686	9.273982741946247	11.49932538127598	12.083640700678886	13.92286659266455	15.572497727224727	16.845625391841594	16.77175707701549	15.733197130098022
298.0	1.8140235674644114	8.750363007950774	9.222823071013332	11.377094464180836	12.185698368247671	13.866487905275243	15.725907838016965	16.578772971552187	16.898539623440783	15.640238999813592
335.0	1.9004234445923973	8.99951412379001	9.646402027490467	12.325678408227528	13.67178086796198	14.137763364694873	16.453985098363702	17.106357420385315	17.734659329972448	16.183082279919258
376.0	1.8773884973121453	8.980970388031901	9.834449939293755	12.302145933970083	13.786925529393208	14.436224160466013	16.491083491695502	17.214259187635164	17.794426849937118	16.37962451964005
422.0	1.877968895754785	9.03199222048139	10.011118695324367	12.31686954821485	13.506617172208482	14.576251234185733	16.210927483082575	17.213310085776143	17.874132618615462	16.261306676967987
475.0	1.909120257479541	8.925103861518613	9.863207522750457	12.183429359292694	13.608413382084821	14.882204466148835	16.356862174231175	17.124713972747788	17.78174828082705	16.075379198393673
533.0	1.9172233353958006	8.970622236422443	10.026714131749477	12.17867785628264	13.700419720379935	15.265923763586771	16.561599711309004	17.18604330750205	17.816525116164147	15.992682396062406
599.0	1.9197111285230488	8.903597202011278	9.913817899178788	11.994093640757331	13.403001155304947	15.074878545260855	16.263118208480766	17.015009916021135	17.335444970510018	15.765105642196719
673.0	1.958948437863905	9.124134058865904	10.035008492608195	12.269880377427906	13.704376790605533	15.310139267048354	16.530159750578278	17.264232712468147	17.576744372478174	16.034434134855367
756.0	1.9723365445732828	9.265047853266323	10.245222536070127	12.416926676463456	13.805117643391169	15.591657066149024	16.952127860680108	17.6945188058581	17.782408159964216	16.321430224982635
849.0	1.9208837464469575	9.07847516547975	9.963967649308595	12.098431931887482	13.450524002925942	15.13640271133411	16.468831561575193	17.346034816499643	17.37162448612473	16.053203202668485
954.0	1.9959115279316928	9.333037357043526	10.369701688866675	12.373960787872404	14.179293906503696	15.916316591722646	16.689787824152646	18.102274187308225	18.56109553791532	16.50676313440272
1072.0	2.088641631987035	9.586298672784892	10.715240265575336	13.048034193796756	14.451146376879475	16.426986803649587	17.16347526038455	18.80020271557752	19.446338499234855	16.95648795589424
1204.0	2.2060796511832645	10.247372479914953	11.36359577513822	14.234826714541528	15.93237307160813	16.969204018596486	17.704749646322387	20.024639473944724	20.231617461812835	17.732587435657635
1353.0	2.1832575920695096	10.142023250531674	11.28312251833979	14.09423364704248	15.679880022707048	16.76648957258668	17.6408226793387	19.732920825409423	19.960123336090373	17.411577307326713
1519.0	2.1620101152251667	10.058520232869565	11.202293009945917	13.975521902114568	15.591483086566438	16.52259493565797	17.436862381263573	19.39686453663625	19.642062380396293	17.120798695709617
1707.0	2.214959671415318	10.307415563517058	11.398689481544519	14.163236310444248	16.294567996536344	17.20882835890259	17.987819554634864	19.561925065256954	20.17398466223171	17.746162602539023
1917.0	2.215933952399334	10.39420838712458	11.465692901433842	14.106900872169625	16.335479963500898	17.307307489796727	18.06590141001556	19.522031732674865	20.432307848308273	17.751180594655768
2154.0	2.176889117582816	10.220413199535146	11.273825424909585	13.87385504566977	16.023866453298254	17.03379463572341	17.731345033082267	19.057493825812177	20.025094587383947	17.479656485413056
2420.0	2.179250082498413	10.194018500738759	11.277532826315854	13.81032115858983	15.834295277802372	17.064080645764655	17.667460526289847	19.00784447504137	19.88381603020933	17.473683750688153
2718.0	2.2181951747737565	10.297540026890953	11.36691290887093	13.988320385223734	15.941424250054256	17.20126024591933	18.054080888736255	19.27690696145034	20.010254050065246	17.5019041891963
3053.0	2.1884412375274342	10.182817546582385	11.268830040647295	13.861570075368297	15.837533121637353	17.05664152300652	17.890515870056316	18.987921582992367	19.70439996121514	17.213697403323454
3430.0	2.18017805564092	10.146204279006866	11.175377060660848	13.767011114503847	15.761935937648685	17.02471151864836	17.852668624648587	18.833652464572232	19.540243261100716	17.068128845431254
3853.0	2.1819815189582656	10.160152439487861	11.217630472785551	13.668375082064092	15.765228129506774	16.92554224576252	17.852934844945654	18.747871784122378	19.569098677362103	17.054402736431634
4328.0	2.2491670500939045	10.34409586444582	11.718926936805667	14.188611213851598	16.09777997638804	16.8548385647462	17.97400437674442	19.846416000813	20.283819255627673	17.174131530292836
4862.0	2.221542297551723	10.220754571011382	11.504640646183798	13.964056804671374	15.88315402087232	16.623619941731462	17.75236476161475	19.580604922372714	19.913172678945674	16.898818392484717
5462.0	2.194227545091914	10.124624755656981	11.389621295608134	13.898480943700665	15.720054051601206	16.58591368198896	17.60205044777759	19.346264005869873	19.722630641268015	16.78203812680471
6135.0	2.205638462628568	10.249076821695148	11.338296603935708	13.851680293290261	15.743871871626462	16.563315566735184	17.667089892199613	19.253181706681655	19.757730118126865	16.712554844529503
6892.0	2.2007262186616185	10.154931485823047	11.256584989934861	13.787502347761148	15.655157157572809	16.579934359947508	17.723609969162016	19.12344340909437	19.704099865803308	16.68953823930589
7742.0	2.197856043864534	10.137337047799942	11.230360627704522	13.654279797170965	15.512099509925816	16.79467947496861	17.6688196470642	18.909344767494837	19.634382866165854	16.775563688264004
8697.0	2.201876819838799	10.145510693439544	11.227307786306099	13.662233271513191	15.546592089337793	16.87978010025495	17.81728088468779	18.964494160000715	19.748730344263464	16.804528826157604
9770.0	2.1872808377305137	10.12762477401096	11.182588622392009	13.625173714428279	15.451963925693626	16.85323520128061	17.713089361374774	18.834992743726445	19.658205045491677	16.729246827433254
10974.0	2.177010117303088	10.107000113946535	11.090582411214585	13.533930592597349	15.410586745706606	16.774129308396518	17.66926699428752	18.72505935498882	19.607279503542642	16.630916625586224
12328.0	2.1594669214008126	10.017385091654521	11.0142844578567	13.453768467560305	15.356868862145935	16.73056501885331	17.64355675520862	18.51859862384005	19.494726128237595	16.508826664822774
13848.0	2.1568093359925737	10.01253859960773	10.993634249797346	13.405006143366828	15.366635244705849	16.743179939468934	17.5461782139969	18.393501321731872	19.456477826044896	16.45288932984931
15556.0	2.1545448213233858	9.985786094861295	10.963043229219029	13.358941744805772	15.346548997482767	16.724435345532456	17.59272337430093	18.422168560138992	19.42826575684618	16.426788966098222
17475.0	2.1479220133257546	9.982056787694695	10.928316539539773	13.310048595434033	15.287023393365473	16.6773452846487	17.539270461455953	18.305023579188283	19.278294192667982	16.368744475933347
19630.0	2.1535968758882627	9.96773300487746	10.906751025561173	13.284288394068371	15.290019306248864	16.697222184816656	17.564329226228022	18.27430960572854	19.25392895942039	16.365545005695164
22051.0	2.1552962488199783	9.963801705511436	10.924877828347546	13.306965227006309	15.300340415824229	16.761009666102172	17.564403018090278	18.32807107839959	19.266254461694857	16.35823631540401
24770.0	2.154622661299037	9.959027373943549	10.964196905377387	13.319983601404573	15.353812390134765	16.850942345283247	17.671804206297107	18.38797399317649	19.30785960360935	16.38091015317201
27825.0	2.1524066661491594	9.946712830545662	10.941249465103635	13.32654665009277	15.331633796690678	16.855837071397843	17.74427643813339	18.38015292228104	19.26392378300388	16.38522812933881
31256.0	2.152422570084765	9.944903430474884	10.986981322388967	13.400900292775196	15.430224878673185	16.89144052333036	17.87141773090486	18.386093336666022	19.2920585571738	16.533992164288282
35111.0	2.164642465194387	9.948256593537305	10.972660965039605	13.436659748790662	15.454548020844381	16.94798062765793	17.86901713789763	18.466956146184348	19.29228187208231	16.566566495458513
39441.0	2.156227693410184	9.9288529954896	10.923728734501596	13.399676501731719	15.421042910872934	16.89525531042689	17.873584327556422	18.466824932097886	19.253160657893275	16.52008437407282
44305.0	2.1661693759109393	10.003891030092571	10.968845531833834	13.466930718129701	15.439801338666733	16.983252107862416	17.949878718684104	18.49223671292899	19.3386087865047	16.554929971131752
49769.0	2.1694550418214242	10.01211553540632	10.972661113176953	13.486255302983079	15.461775884986425	16.981915540167392	17.941952989782596	18.48951242570562	19.373803321505946	16.558985286905465
55907.0	2.170000825028873	10.002745216701998	10.942923847772272	13.477552792092695	15.445219005575515	16.954955536642903	17.96833921422797	18.472644456079077	19.354699041746752	16.539796849950992
62802.0	2.16576714104075	9.977453448133026	10.922129234548077	13.449755048671484	15.447168074632806	16.91842259101162	17.946678454960466	18.41702257920511	19.337649341255837	16.493367040867195
70547.0	2.184594271124849	10.058044327946659	11.036991941890205	13.577264794773034	15.559563386302022	17.035234542234978	18.11056910594732	18.50387148444708	19.371976358913894	16.619329190290003
79247.0	2.181850385766724	10.0447301695175	11.004684729249046	13.564805174646411	15.517681352887292	17.025248225016636	18.109207982474025	18.504703123733897	19.310840991671288	16.587797504079262
89020.0	2.1784000843346965	10.028135939258098	10.976678285523791	13.53604272532501	15.473279438015117	16.96443198146101	18.03678665158949	18.47593820532514	19.25090693268201	16.54518919909818
