x	arrow-star	inbetween2-0.0-random	inbetween2-0.125-random	inbetween2-0.25-random	inbetween2-0.375-random	inbetween2-0.5-random	inbetween2-0.625-random	inbetween2-0.75-random	inbetween2-0.875-random	inbetween2-1.0-random
1.0	1.189896552078258	7.624509483056096	7.624509483056096	7.888958788087576	7.888958788087576	7.831044044078617	7.831044044078617	8.45430587962807	8.014054300438172	10.83614159525178
2.0	1.3112473708787808	6.632972595338248	6.632972595338248	6.970092728284367	6.970092728284367	7.471661121869547	7.471661121869547	9.3116948655425	8.791768133594317	10.405694796741946
3.0	1.3697871170502283	7.121181966145991	7.121181966145991	7.339480001889175	7.339480001889175	8.339322115104936	7.914698523067216	9.730419975029628	8.889456234823077	10.633449170932737
4.0	1.3835664656200353	7.01857815815232	7.01857815815232	7.395901566008592	7.2257800413413396	8.393500989724185	7.530318479613442	9.911707869798274	9.364731140313044	10.733345981797418
5.0	1.3713006236712515	6.890893576173427	6.890893576173427	7.171659275982904	7.288491985239023	8.128824039754097	8.21094830414687	9.892421505223536	9.615677438219542	10.537097764777302
6.0	1.3936604523954061	6.491327317942184	6.491327317942184	6.758552941102272	7.038503371597424	8.136000955989884	7.936060788532752	10.029988482899553	9.470258130920177	9.861474866434085
7.0	1.4452418569698908	7.220831071693801	7.2795138795080305	7.715423173923487	7.954978353645143	8.86704606525046	8.801242972837885	10.078415815770585	11.03928254595678	10.285090751963095
8.0	1.4671181637214574	6.9798182325363625	7.0319807283712334	7.5058135609066134	8.408722971355006	8.763037176612041	8.996210277029345	10.426113874509047	10.567334241932514	10.312664539743896
9.0	1.5062993933058837	7.4617606132280985	7.508706859479482	7.935156408761325	8.747774878164877	9.06665766289621	9.276513453271784	10.563426691003517	10.690525021684634	10.482594559987456
10.0	1.562479770481231	7.19325919698862	7.236812458468595	7.725853809709723	8.560944997673406	9.158554091290956	9.160819693147388	11.182231903822144	10.983299381660405	10.851688528610314
11.0	1.5273151562043503	7.453398737611262	7.577178194261469	8.150761869147667	8.886982213014	9.291523953289039	9.4687237662033	11.395862175249295	10.818055589240634	10.737586176435771
12.0	1.5209037471059343	7.341929301346874	7.572414748719659	8.136923581829551	8.701799644103849	9.111286656257409	9.812613952768341	11.832460284214532	10.488202136851637	10.644637541276573
14.0	1.5426733801409795	7.24515547922787	7.4574228723238	7.921917168750681	8.653964742706629	9.031076082601297	9.817776848778525	11.485720214710385	11.006507477154942	10.638070348904712
16.0	1.5298753749556318	7.2345186234925905	7.598934844863765	8.268789976583758	9.159772057983789	9.385045505499763	10.145888319555475	11.945927770047618	11.483958134074971	10.387424327895546
18.0	1.4929550215820635	6.745970475939516	7.072027095061093	7.705183840273757	8.479786857547817	8.811184058994455	9.758317730004903	11.244608853962722	11.551538629153006	9.788881382158712
20.0	1.5109686275494825	6.721272509528488	7.095998517267866	7.864999054762267	8.216529409576788	8.68211789749189	9.7199623801673	11.158322442195306	11.215890994870959	9.772966810822272
23.0	1.5537521628137327	6.726087392074651	6.963421992954005	7.639383824891536	8.193947417496462	8.717681635174907	9.478622012277112	10.399583216493943	10.912900294704796	9.74470327200303
