x	arrow-star	inbetween-0-1-random	inbetween-1-8-random	inbetween-1-4-random	inbetween-3-8-random	inbetween-1-2-random	inbetween-5-8-random	inbetween-3-4-random	inbetween-7-8-random	inbetween-1-1-random
1.0	2.4765516051195533	10.500317697980272	10.500317697980272	11.158421982421654	11.01429628256366	12.565335655705773	12.565335655705773	11.469732661164095	12.565374442206302	18.492733684227236
2.0	4.243034217246635	14.756281534379951	14.756281534379951	15.99976798277634	17.283649811040497	24.71736967320387	23.353438606355652	24.905696716403277	19.271802142061457	28.24929656099868
3.0	3.5279175453354314	12.987492859737387	12.987492859737387	14.215165767384075	14.997436713824293	21.4130950355183	20.323520415056972	20.818822796802877	17.151297900697703	23.7180411753372
4.0	3.117510507771379	11.745798902017565	11.745798902017565	13.414478636588209	13.387159398022515	18.803627401724786	18.351842711017753	19.870550187879005	15.51012726795441	21.258590035866906
5.0	2.924164165984737	11.345297570082947	11.345297570082947	12.754321351848022	13.315239073386927	17.18558824000168	16.809100997745823	18.269387343542157	17.06238603825379	20.09530749773342
6.0	2.667617515084174	10.156466811692875	10.156466811692875	11.516617008097008	12.213483676179035	15.945971397327083	15.307228451596162	16.43098099193339	16.495840089453655	17.83728891924998
7.0	2.5473883047352315	10.342070309317954	10.342070309317954	11.581459955597495	12.373604418506638	15.461010282395527	14.623529933881848	15.820173883065056	16.930955701098483	17.171748877452046
8.0	2.3756337843658746	9.535310971019573	9.65029463045639	10.63656359309022	11.572239250612883	14.459270011390373	14.068352317876885	15.131933041095833	15.582923089246167	15.97762551950183
9.0	2.3615135956569273	10.00004717062969	10.103532464122825	10.991174530493272	11.833282622263669	14.43161030696341	14.07978438280127	15.037007033698323	15.442898077033625	15.823699504350106
10.0	2.2395919618988462	9.287814211589552	9.43057885568061	10.289067454653502	11.197984423984439	13.4776316320509	13.33619418841391	14.066631080158329	14.773535608426354	15.0202165795242
12.0	2.068847854596226	8.959090535534232	8.98706085763457	10.237354898064767	10.767811693775984	12.743168740233605	13.153886457803187	14.221484793101883	15.173966339881582	13.988914840257815
14.0	2.049834490106938	8.94017864981249	9.010247180416759	10.278427719394722	10.360679205972357	12.831474499641642	13.052630101678593	14.215834333205029	15.390204842316399	13.783328290480595
16.0	1.9598867589276303	8.622300787660603	8.744487710244004	10.082412111563043	10.480116658212793	12.594160071714763	12.725382577385487	13.615820312985747	14.693041694635477	13.047347803111585
18.0	1.8901910464732072	7.997170079228409	8.106495220487242	9.631420789298403	10.307230871962483	11.962199373554938	12.134875503188967	13.491484406481575	14.763300382288387	12.212724349088344
21.0	1.7996397349029452	7.377210142052522	7.459835062347605	8.945064522728314	9.501177519701486	10.86261311403151	11.477995589669138	12.856704814297812	13.996420815216613	11.271181479468021
24.0	1.8968699142502374	7.828952691700775	7.91625967531888	9.260336604098237	9.711709572414579	10.731169471586638	11.38296601116907	13.209466834355736	14.080127607573072	11.88269529117185
28.0	1.8203782715479717	7.358609939037384	7.500339023822484	8.592339700229989	9.3458578396575	10.408196944560563	10.96361437317965	12.626031679735217	13.41401942227986	11.337377742695077
32.0	1.788266306918719	6.936354774546907	6.956183308014218	8.123204846883958	8.867816739465978	10.043622300282742	10.805741131799707	12.259259828831189	12.388093047239689	10.988453179070039
37.0	1.750168671298769	7.3703812841496745	7.318528223482635	8.649360641344112	9.188502742755247	10.764175855856307	11.350554524789741	13.10287737143453	14.3646925234051	11.515261640866933
43.0	1.7316205285642128	7.403823931615394	7.389862042085045	8.633500363133319	9.602095864059887	11.351827401232	11.191086062740682	13.543516651007405	14.216819796392265	11.907971440036418
49.0	1.7811146477504298	7.820279618072467	8.285393736282304	9.816006187174244	10.30683928109442	12.176228692047662	13.016182615369479	14.362430820144843	15.709260194602836	13.016446923447099
57.0	1.7482057174934136	7.429525820520864	7.869125827277855	9.39578955798981	9.934339292268023	11.999044494566746	12.73430764256734	14.090358761572668	15.025124969011511	13.100995160854328
65.0	2.025308915333632	9.606822243391122	10.684880204201999	12.606275317476673	12.602164127359266	16.772641990265512	16.80926705656274	19.66364200278525	23.482401045290167	17.338302743325535
75.0	1.9699370986636642	9.40295838731213	10.342205130642462	12.513184507253154	12.465254581941599	16.541653268955635	16.61991014788013	19.08537107234945	22.781910180829556	17.061185455283418
86.0	2.004125251733397	9.400869821231579	10.097760294096506	12.663200238191674	12.54199405054724	17.18325697104094	17.617139294638505	19.269335439779777	22.342738033411052	17.729963198618734
99.0	2.0562872279032005	9.414857118655183	10.154917809200098	12.879167601696299	12.550493131917051	17.050888752758517	17.60301073974019	19.03674946741457	22.315402928383982	17.30778299680695
114.0	1.99516380977827	9.349160690255554	10.008090692857778	12.579246000925812	12.437395372755919	16.67386740341683	17.09225488165944	18.783741272626628	22.167025003845545	16.678023926425375
132.0	1.8954555016266885	9.296507152158766	9.883693233875729	12.340179738392822	12.598741903519208	16.11428787800377	17.05416858595969	18.684086220004662	21.866534958824435	16.91732026818372
151.0	1.8432434476586341	9.150248414639217	9.850181847321226	12.500553935066913	12.881086019232628	16.181300816009845	16.910687649549445	18.364441460578476	22.19485046668568	16.74550158749025
174.0	1.8372092572313514	9.136371835215222	9.906604191000644	12.606879186101613	12.8353423788906	16.16328171182142	16.94933108346732	18.477565722066377	22.402493443158285	16.51158040725624
200.0	1.8408991844413876	9.020791216021609	9.698441787653344	12.364457626060586	12.930419041333991	15.64741745099288	16.593621455340365	18.30263096020895	22.200933633170383	16.223069849082734
231.0	1.8245246591810247	8.942567990312746	9.675131019114682	12.12125377653782	13.035649294847664	15.19944632179853	16.410848050367125	18.243987728822788	21.990638086022063	16.13208167094781
265.0	1.812040136913133	8.777971979977686	9.597134048979626	12.02433036868634	12.955115564244068	14.927945124494801	16.015959594061382	17.983037078161125	21.664856630262463	15.733197130098022
305.0	1.8654449309003591	8.977158336219231	10.124602264906821	12.294705574035069	13.230904836294178	15.52795805931409	16.100843119080285	17.910258448783797	22.7317178102888	16.177518563249084
351.0	1.9014780317139817	9.018032151884974	10.403515427510518	13.119755271843628	14.320209717168346	16.115504890383974	17.290228844977534	18.317469184651273	23.74175832217893	16.57103650193003
403.0	1.8875582461925344	8.964652721063757	10.287340571922337	13.034891038070429	14.269923485697475	15.842264266408657	17.08103378242382	18.26833225407795	23.486795679450307	16.301261631304826
464.0	1.9143254717403304	8.954268337646958	10.162458479072336	13.111000118300671	14.35397107345345	15.676815907718348	16.905255745993607	18.089729892142405	23.29419554931087	16.13004531718029
533.0	1.9172233353958006	8.970622236422443	10.100224148021136	12.984960623001426	14.35411880808759	15.91676418416202	17.123204576008412	18.256007465492004	23.28114284974531	15.992682396062406
613.0	1.9624258851392418	9.141911290539028	10.312980013281607	13.253781349060308	14.375272530761329	15.839689334193642	17.086452926925627	18.359157478224137	22.774116724923324	15.973625974490519
705.0	1.988571958224522	9.281674376379348	10.31133938068426	13.261538022616891	14.503125588181968	15.869757420741195	17.322642847709595	19.21607917040183	23.294884740692442	16.32281718756405
811.0	1.9426366314342653	9.194910689890675	10.048874791156834	12.940530729212467	14.10726926146974	15.601533383966103	17.04698589318897	18.99093500272641	22.635047434886605	16.208124053721154
932.0	2.003982641811479	9.37084617065004	10.148744242107853	13.38262640317349	14.121059210731076	16.316137219128635	17.487701391251242	20.118031810594903	22.80779282690892	16.633618605437444
1072.0	2.088641631987035	9.586298672784892	10.616564456344296	13.78166806309993	14.21168314083745	16.579363859547787	18.244605876486375	20.48704027616217	23.427548608549213	16.95648795589424
1232.0	2.1956314737239095	10.214178264159182	11.23768441169972	14.812011296618836	15.330754076787754	17.161601267344558	19.08143847542886	21.085120953284076	23.997504283614763	17.691595763132234
1417.0	2.162067071630405	10.025828754725762	10.938737000046734	14.478291707308106	15.163440926669187	16.715096013825523	18.720593404640443	20.542112406932077	23.567368970048673	17.189777934411833
1629.0	2.15890705324788	10.06759347250245	10.967496892877682	14.282110646235372	15.239131377785174	16.736167178167694	18.468226115674394	20.59048897760105	23.53934725952791	17.088706390770387
1873.0	2.2200740276907953	10.44182217099887	11.578486835026942	14.752180067120188	15.557687141187415	17.214832380592643	19.078589531748584	21.498756330920163	24.376392147344276	17.78630303910658
2154.0	2.176889117582816	10.220413199535146	11.261088961941432	14.502480415146593	15.334142709926448	16.79964917530716	18.70299901444971	20.819691821001285	23.7615194835776	17.479656485413056
2477.0	2.1707259660644587	10.173363443764002	11.144138086897918	14.399620766389479	15.213487448764363	16.651297873523895	18.625616427049643	20.600566891808032	23.55887694408165	17.387595395926848
2848.0	2.2112115265424057	10.265357393283102	11.18281433976716	14.439310211177558	15.37775347070365	16.547637181707543	18.61377533546067	20.55802231879023	23.703062395583114	17.41172009067688
3274.0	2.1832163485855647	10.180494729188998	11.022085466357773	14.222663187285594	15.216818902489301	16.382781374024095	18.333623474471892	20.313760933239205	23.581582197805453	17.129309053743004
3764.0	2.1825021417452577	10.149335960562093	10.931583295307542	14.207617856652114	15.136494939880777	16.244468259305034	18.17519164572649	20.070420831826123	23.52402742051467	17.064354740536967
4328.0	2.2491670500939045	10.34409586444582	11.084791209639754	14.47800315177238	15.536083952711879	16.37629313242063	18.37121409165279	21.020790236273015	24.47176517691295	17.174131530292836
4977.0	2.21336719477787	10.19913869964003	10.919385743653134	14.09298230049517	15.236712688801575	16.06066067985846	17.97241954715697	20.618907347187005	24.046134895411125	16.853815201557268
5722.0	2.1892084897427053	10.113322583111879	10.78836323582149	13.932927559222094	15.071047985628507	15.920703386976427	17.800150192532655	20.356440415051196	23.913186683490878	16.731048588535725
6579.0	2.2049368395972135	10.196485345027426	10.737493113752334	13.908734155157433	15.109610637619097	15.89103544450768	17.72268348211819	20.36544860370883	24.085028078884598	16.701188409506468
7564.0	2.208505311410001	10.173891036728868	10.741801401119725	13.87649034790378	15.138878173543768	15.893992943977974	17.77048655459873	20.400001186833556	23.937950291144627	16.83630782695342
8697.0	2.201876819838799	10.145510693439544	10.783435622858999	13.880081331590622	15.145643741713865	15.854522112421515	17.750341469520823	20.301476288830724	23.801286762961812	16.804528826157604
9999.0	2.18891306057998	10.130877395210074	10.778067072733148	13.940782740000433	15.06271149030782	15.919403618473451	17.63068615359544	20.19707905847451	23.888209542023496	16.725704929280408
11497.0	2.168832923907215	10.060320020089453	10.700042872993833	13.833749379280334	14.955524390192608	15.746113001980959	17.60599638909482	20.04832614305675	23.635527845142157	16.57585676704771
13219.0	2.1504603437195264	9.99420742422936	10.589120461578005	13.767814117280754	14.89428257575198	15.620354357762142	17.543366366217548	19.939813768390906	23.396196826512902	16.449318693444322
15199.0	2.1545814858685204	9.971067710804345	10.606377458265856	13.718692223829251	14.904505515131598	15.71696391244568	17.505841046781363	19.969971330805183	23.449985990278197	16.410308861911478
17475.0	2.1479220133257546	9.982056787694695	10.599402758422164	13.68625007886575	14.80300128655075	15.675688819662504	17.43485475160282	19.903984339052133	23.321939274630065	16.368744475933347
20092.0	2.1596321133744096	9.990422971036809	10.64288590682083	13.779833586412309	14.835404194684978	15.666125915536853	17.414782192704827	19.928697246831568	23.38430195547067	16.39469785421377
23101.0	2.1516753488478115	9.956879856377052	10.614779797875533	13.759740183419419	14.869586961759182	15.704368905417336	17.488683359254477	19.898480779998653	23.441475566783424	16.365731831294994
26560.0	2.1557295953841735	9.9661176614117	10.64019434592155	13.832289024874616	14.897325855913284	15.752567160289935	17.52962446919074	19.906699103824177	23.513930352297436	16.408949892116464
30538.0	2.156670923141717	9.962154885470373	10.655436996749783	13.854439331163999	14.96243379206756	15.808249476728843	17.666100547168146	20.03697495828342	23.59720043231019	16.55448489722562
35111.0	2.164642465194387	9.948256593537305	10.678759505630975	13.863430408861143	14.934237004199076	15.770154490777475	17.6556879277699	19.957841961761325	23.539994119486767	16.566566495458513
40370.0	2.153755356768298	9.918326941199185	10.63010362790354	13.823833952410975	14.9101941284602	15.673214479495712	17.643529109277168	19.84322499353536	23.47326980234076	16.50820183362956
46415.0	2.1650778544148146	10.000899785202737	10.734767499071522	13.876870136627605	14.980288574385604	15.724688000381041	17.64598657241008	19.912731470907055	23.557427499875768	16.544048002873737
53366.0	2.168600894936432	10.002437745849294	10.745293101929034	13.887392870591965	14.988243252573493	15.757898166399023	17.677171796459493	19.880545017033697	23.512852891084883	16.535971072602116
61359.0	2.1661822720054404	9.98163818692978	10.704736792155712	13.876400404143341	14.923400944392212	15.703701839520981	17.649853303547125	19.839279834934725	23.467748056260408	16.486089393401876
70547.0	2.184594271124849	10.058044327946659	10.74558051043325	13.93705547081376	15.061683225661174	15.73970718158719	17.725004296843235	19.955982225183966	23.6207555456234	16.619329190290003
81113.0	2.181111007800459	10.040916341428744	10.720043706116003	13.910344503898232	15.05650985804254	15.702668203045146	17.65664546053863	19.910688031194674	23.617120443393425	16.571944318333138
93260.0	2.177045390220843	10.025937841528	10.70731759020548	13.888328218206135	15.021511419317934	15.731498313790883	17.573011552652044	19.842680479132365	23.591041727205827	16.539382505578285
107226.0	2.1812591820615554	10.049343658335458	10.737692671429713	13.914408557397735	15.061275130376043	15.812310954772009	17.62730042961584	19.875387847523495	23.57685339688189	16.592992138511924
123284.0	2.184290272191172	10.054387597511688	10.749164665716822	13.88351895275329	15.079298895781003	15.817060566935389	17.65802866506879	19.87816054866071	23.5752306580093	16.568353650269565
141747.0	2.181295566642691	10.036277317603426	10.727193398193501	13.875571453164214	15.061718480489013	15.824575732348222	17.6412360028153	19.879583027891393	23.584063425153477	16.509869427075422
162974.0	2.1849381499455105	10.034654116703646	10.758036160423126	13.884567523907258	15.095269075789036	15.882542872756998	17.674026587285013	19.935175462770324	23.67317835490745	16.568188166602454
187381.0	2.183398435756295	10.033705431006334	10.75981566256956	13.872534711497133	15.079409072024909	15.86358018232834	17.687039898280975	19.934624786392902	23.660227213436947	16.558627010565356
215443.0	2.1747175004253534	10.01407545152273	10.720868994354314	13.833033458089862	15.028731456092324	15.818956644651486	17.636264075904066	19.868114731771502	23.583344485897147	16.49746598884138
247707.0	2.1758522167270726	10.008943173395105	10.716863514265304	13.842010178089023	15.036124139742292	15.80881017381816	17.645351888994785	19.861584514832717	23.588268561146403	16.49834204331339
284803.0	2.1759584279728403	10.016898921256873	10.707179646885473	13.834190199878652	15.004958129912913	15.794680112621176	17.641164248427412	19.868673053940512	23.582436213586888	16.51324750569767
327454.0	2.173975694025804	10.002782374467941	10.701959029704057	13.83434738322699	14.998372248316558	15.777511877646138	17.622643210554802	19.850189261489128	23.55184634772295	16.498270253963348
376493.0	2.1671066700738604	9.977912951247532	10.669748048825983	13.801158045489172	14.948072304862745	15.743148784462168	17.569374387826816	19.79135380466894	23.507967441545592	16.459241430708428
432875.0	2.1715047910952023	9.98997363021422	10.68235698684635	13.81007990197629	14.957527574853067	15.771893426394728	17.595277170516468	19.824354106763547	23.553654944025816	16.491253177526595
497701.0	2.1720240779778384	10.003349595168153	10.687157359690243	13.803848327661392	14.95864355102703	15.786671285487492	17.610978569219693	19.81966118411537	23.525007268511676	16.504991152304164
572236.0	2.1776064909331607	10.027652804712446	10.713077199465125	13.835202588969441	14.993083870896703	15.822741265259626	17.66818962062551	19.835425418095383	23.56953672145907	16.54441042601448
657932.0	2.1761523330316637	10.025710523638732	10.703466948827572	13.839524828700696	14.972314557279978	15.829215475709956	17.671359422759704	19.830607360022736	23.570689138382058	16.541105770418174
756462.0	2.172658581058408	10.016759593579343	10.690660743934552	13.819221578265697	14.959905467301466	15.801871781073752	17.6499533607707	19.804836344302316	23.542788160069165	16.511477479635964
869748.0	2.1710481713120955	10.011231631631011	10.682949029582849	13.804518280967521	14.955355080210706	15.798256426407384	17.647183509816607	19.8063937169498	23.54995158046624	16.496551456839462
