x	ivy-shortestpairs	arrow-shortestpairs
1.0	1.5	2.0
2.0	2.0	2.0
3.0	1.75	2.0
4.0	1.6	2.0
5.0	1.5	1.8333333333333333
6.0	1.4285714285714286	1.7142857142857142
7.0	1.375	1.625
8.0	1.2222222222222223	1.4444444444444444
9.0	1.3	1.4
10.0	1.1818181818181819	1.2727272727272727
11.0	1.25	1.3333333333333333
12.0	1.1538461538461537	1.2307692307692306
14.0	1.2666666666666666	1.2
16.0	1.2352941176470589	1.1764705882352942
18.0	1.210526315789474	1.1578947368421053
20.0	1.142857142857143	1.1428571428571428
23.0	1.2083333333333335	1.2083333333333333
25.0	1.1923076923076925	1.1923076923076923
29.0	1.1666666666666667	1.2
32.0	1.1818181818181819	1.1818181818181819
36.0	1.135135135135135	1.135135135135135
41.0	1.1666666666666667	1.1904761904761907
46.0	1.127659574468085	1.170212765957447
52.0	1.0943396226415094	1.1320754716981136
58.0	1.1355932203389831	1.1864406779661023
65.0	1.121212121212121	1.2121212121212126
73.0	1.0945945945945945	1.162162162162163
83.0	1.0952380952380953	1.166666666666667
93.0	1.1170212765957448	1.1914893617021278
104.0	1.0857142857142859	1.1809523809523812
117.0	1.1186440677966103	1.1694915254237293
132.0	1.1278195488721805	1.1879699248120301
148.0	1.1476510067114098	1.2214765100671143
166.0	1.125748502994012	1.2095808383233533
187.0	1.1170212765957448	1.2127659574468086
210.0	1.0900473933649297	1.184834123222749
236.0	1.09704641350211	1.1898734177215193
265.0	1.0939849624060156	1.1616541353383463
298.0	1.100334448160536	1.17056856187291
335.0	1.1041666666666674	1.1636904761904763
376.0	1.1193633952254645	1.1511936339522542
422.0	1.1229314420803782	1.148936170212765
475.0	1.1323529411764708	1.1554621848739488
533.0	1.1423220973782775	1.1685393258426962
599.0	1.1266666666666665	1.1566666666666665
673.0	1.1172106824925814	1.1335311572700295
756.0	1.11228533685601	1.138705416116248
849.0	1.1117647058823528	1.1435294117647052
954.0	1.1047120418848173	1.1403141361256557
1072.0	1.1062441752096932	1.1509785647716695
1204.0	1.1070539419087144	1.1543568464730316
1353.0	1.1107828655834586	1.152141802067949
1519.0	1.0986842105263177	1.143421052631579
1707.0	1.0925058548009385	1.133489461358314
1917.0	1.0907194994786256	1.1334723670490077
2154.0	1.0969837587006999	1.1396751740139182
2420.0	1.0937629078893047	1.1288723667905798
2718.0	1.0912100036778247	1.1276204486943702
3053.0	1.0857891290111341	1.1290111329404053
3430.0	1.0903526668609753	1.1285339551151266
3853.0	1.0835495588998476	1.1276595744680842
4328.0	1.083622083622085	1.1263571263571241
4862.0	1.0816368496812663	1.119267941599832
5462.0	1.0777960827384208	1.1169686985172966
6135.0	1.076271186440678	1.1131029986962178
6892.0	1.0757290004352251	1.1130132017989245
7742.0	1.0768436006715718	1.1168797623660072
8697.0	1.0782938606576193	1.1232467233846866
9770.0	1.0750179101422568	1.1167741275202132
10974.0	1.074441913439633	1.116082004555809
12328.0	1.0734852786114024	1.1183388758212345
13848.0	1.073290490288107	1.1187811394324474
15556.0	1.0734074693064273	1.1187889695956759
17475.0	1.0773060196841435	1.1194781414511288
19630.0	1.076715399113652	1.1225103153176061
22051.0	1.0731906403047409	1.1200798113549717
24770.0	1.0745629970530157	1.1191312421783461
27825.0	1.0758283619636422	1.1191331847911905
31256.0	1.0781904853313011	1.1192052980132328
35111.0	1.0797448165869379	1.1210982000455607
39441.0	1.0804979463516278	1.1209877795243566
44305.0	1.0804631426894962	1.1197129057012498
49769.0	1.0798874824191356	1.1202732569821083
55907.0	1.0805430349860605	1.120519424769254
62802.0	1.0801713293951014	1.120137573045858
70547.0	1.0820717809151241	1.121321653342386
79247.0	1.0808727034120806	1.1207349081364675
89020.0	1.0801608609204567	1.1198705923321337
99999.0	1.0794200000000005	1.1181699999999912
