x	arrow-star	inbetween-0-1-random	inbetween-1-8-random	inbetween-1-4-random	inbetween-3-8-random	inbetween-1-2-random	inbetween-5-8-random	inbetween-3-4-random	inbetween-7-8-random	inbetween-1-1-random
1.0	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5	1.5
2.0	1.6666666666666667	2.666666666666667	2.666666666666667	2.666666666666667	3.0	3.0	3.0	3.333333333333333	3.333333333333333	3.333333333333333
3.0	1.75	3.5	3.5	3.5	3.75	3.75	4.0	4.25	4.25	4.25
4.0	1.8	3.8	3.8	4.0	4.4	4.4	4.6	5.0	5.4	5.4
5.0	1.8333333333333335	3.833333333333333	3.833333333333333	4.0	4.333333333333334	4.333333333333334	4.5	4.833333333333333	5.166666666666667	5.166666666666667
6.0	1.8571428571428572	4.142857142857142	4.142857142857142	4.428571428571429	5.142857142857143	5.000000000000001	5.285714285714286	5.428571428571428	5.571428571428572	5.571428571428572
7.0	1.875	4.625	4.625	5.0	6.0	5.875000000000001	5.75	5.874999999999999	6.125000000000001	6.125000000000001
8.0	1.8888888888888888	4.444444444444445	4.444444444444445	4.888888888888889	5.666666666666667	5.555555555555556	5.888888888888889	5.888888888888888	6.666666666666668	6.666666666666668
9.0	1.9	4.6000000000000005	4.6000000000000005	5.0	5.9	5.700000000000001	6.2	5.8	6.700000000000001	6.700000000000001
10.0	1.909090909090909	4.454545454545455	4.454545454545455	4.818181818181818	5.636363636363637	5.454545454545456	6.0	5.636363636363636	6.454545454545456	6.454545454545456
12.0	1.923076923076923	4.769230769230769	4.769230769230769	5.153846153846154	6.384615384615385	6.230769230769232	6.153846153846153	5.692307692307692	6.538461538461539	6.538461538461539
14.0	1.9333333333333331	5.066666666666667	5.066666666666667	5.6000000000000005	6.6000000000000005	6.533333333333334	6.6	6.133333333333333	7.066666666666667	7.066666666666667
16.0	1.941176470588235	5.176470588235295	5.176470588235295	5.882352941176471	6.941176470588236	6.764705882352942	6.705882352941177	6.294117647058823	7.411764705882354	7.529411764705883
18.0	1.9473684210526314	5.05263157894737	5.05263157894737	5.894736842105264	7.000000000000001	6.842105263157896	6.631578947368421	6.368421052631579	7.2631578947368425	7.36842105263158
