x	arrow-star	fixedRatio-0-1-random	fixedRatio-1-8-random	fixedRatio-1-4-random	fixedRatio-3-8-random	fixedRatio-1-2-random	fixedRatio-5-8-random	fixedRatio-3-4-random	fixedRatio-7-8-random	fixedRatio-1-1-random
1.0	1.189896552078258	7.624509483056096	7.624509483056096	7.888958788087576	7.831044044078617	8.45430587962807	8.45430587962807	8.014054300438172	8.454321465399735	10.83614159525178
2.0	1.3112473708787808	6.632972595338248	6.632972595338248	6.970092728284367	7.207254037531504	8.901671169074561	8.629104363365718	8.791768133594317	7.813438882774784	10.405694796741946
3.0	1.3697871170502283	7.121181966145991	7.121181966145991	7.703832081613224	7.679786806645637	9.889946687049925	9.611048013359325	8.985372623810415	8.8752307243173	10.633449170932737
4.0	1.3835664656200353	7.01857815815232	7.01857815815232	8.153935902473652	7.498025485146509	9.542938209118677	9.729111644145172	10.322746008919594	8.844180894225621	10.733345981797418
5.0	1.3713006236712515	6.890893576173427	6.890893576173427	7.8493772224795455	7.693403555731489	8.966932561326605	9.122077090515349	9.747069211403955	10.13894028263464	10.537097764777302
6.0	1.3936604523954061	6.491327317942184	6.491327317942184	7.519262146375014	7.678152452042652	9.331738958329394	9.036788282383567	9.399284440993645	11.223853390434599	9.861474866434085
7.0	1.4452418569698908	7.220831071693801	7.220831071693801	8.172435231873433	8.504599035399188	9.762445470556566	9.209365640319096	9.752484340782194	12.465129990539591	10.285090751963095
8.0	1.4671181637214574	6.9798182325363625	7.168335011826407	7.824988422541135	8.499869000665882	9.851863501323795	9.939818743486763	10.422422401161132	11.954276803551696	10.312664539743896
9.0	1.5062993933058837	7.4617606132280985	7.63142571458914	8.222413784232392	8.829806304544666	10.046601355136788	10.125761073083458	10.560104364990393	11.938773327141899	10.482594559987456
10.0	1.562479770481231	7.19325919698862	7.448860141029019	8.093423941842342	8.944063678071956	9.878552006143337	10.32192893344021	10.42581363474327	12.382637366393839	10.851688528610314
12.0	1.5209037471059343	7.341929301346874	7.452780994993007	8.597628362808386	9.045593106303922	9.892923246600189	10.879278461549603	11.470276863401685	13.529692646517747	10.644637541276573
14.0	1.5426733801409795	7.24515547922787	7.373369695641953	8.537912591697664	8.685187631514136	9.972333705119294	10.73262846054495	11.443572939789645	13.449796670639577	10.638070348904712
16.0	1.5298753749556318	7.2345186234925905	7.420954395470601	8.685611900908375	9.164773980415235	10.24247302925381	10.837190929003555	11.303982148560783	13.137554675983488	10.387424327895546
18.0	1.4929550215820635	6.745970475939516	6.9127814298145775	8.313631819600223	9.020360278536609	9.74842377186199	10.343391397804064	11.212514117502883	13.123197795842067	9.788881382158712
21.0	1.5264834214343999	6.520533176934111	6.644514438221809	8.123690861151413	8.715463927636232	9.231024495417039	10.375219506667117	11.494220892979452	13.229815802789082	9.544424541091502
