x	arrow-star	inbetween-0-1-random	inbetween-1-8-random	inbetween-1-4-random	inbetween-3-8-random	inbetween-1-2-random	inbetween-5-8-random	inbetween-3-4-random	inbetween-7-8-random	inbetween-1-1-random
1.0	0.38269374484917806	0.5303271394939623	0.5303271394939623	0.5303271394939623	0.5303271394939623	0.5303271394939623	0.5303271394939623	0.5303271394939623	0.5303271394939623	0.5303271394939623
2.0	0.38269374484917806	0.5309012219212068	0.5309012219212068	0.5309012219212068	0.5306708054364891	0.5306708054364891	0.5303735923353368	0.5303271394939624	0.5303271394939624	0.5303271394939624
3.0	0.38269374484917806	0.5306502248872887	0.5306502248872887	0.530108986708017	0.5310153131731584	0.5310454709892751	0.5300230711831251	0.5304894474207069	0.5303271394939623	0.5303271394939623
4.0	0.38269374484917806	0.5298192753244529	0.5298192753244529	0.5295185001632727	0.5297274882938119	0.5296122102683393	0.5295455038639344	0.5305665040725398	0.5303271394939623	0.5303271394939623
5.0	0.38269374484917806	0.531126568839886	0.531126568839886	0.5301476577221589	0.5299083896785132	0.5296500856778644	0.5296142792615193	0.5293924059563851	0.5300029422667417	0.5303271394939623
6.0	0.38269374484917806	0.5307854272741268	0.5307854272741268	0.5298065161563997	0.5292858026261321	0.5290274986254835	0.5285185713771069	0.5288792779498159	0.5300029422667417	0.5303271394939623
7.0	0.38269374484917806	0.5314950635513207	0.5314950635513207	0.5315324907271767	0.5301697734163604	0.5287798329169244	0.528952609290827	0.528525802531274	0.5301384052597143	0.5303271394939622
8.0	0.38269374484917806	0.5312444185995941	0.5312444185995941	0.5298533417661873	0.5293821561010891	0.5283911049685243	0.5290316507014144	0.5274461742204694	0.5300834752664445	0.5303271394939623
9.0	0.38269374484917806	0.5311271123949879	0.5311271123949879	0.5291711540536488	0.5281239375560982	0.5279885851824095	0.529651123726909	0.5276813400914463	0.5297937074933167	0.5303271394939623
10.0	0.38269374484917806	0.5305506879846039	0.5305506879846039	0.5297602101303498	0.5289761240878204	0.5284877133168674	0.5297422865397488	0.527731450645715	0.5297937074933167	0.5303271394939623
12.0	0.38269374484917806	0.5295788378301389	0.5295788378301389	0.5286976301331342	0.5289933517514568	0.5265552305109972	0.5301909896351066	0.5273436723522048	0.5297937074933167	0.5303271394939623
14.0	0.38269374484917806	0.5299328573777385	0.5299328573777385	0.5303272352108932	0.529886382581584	0.5277400897728786	0.5300822013341285	0.5272212884605247	0.5297658904285427	0.5303271394939623
16.0	0.38269374484917806	0.5301032067356726	0.5301032067356726	0.5314677586111254	0.5300417125335873	0.5286556983757504	0.5311806643321988	0.5267681053131363	0.5294319951766547	0.5303271394939623
18.0	0.38269374484917806	0.5301711267083934	0.5301711267083934	0.5318719371655107	0.5294015559612457	0.5287750188394391	0.5308920399883295	0.5270302171072386	0.5297150917578535	0.5303271394939624
21.0	0.38269374484917806	0.5286189549281645	0.5283284471628583	0.5289975964116406	0.5280917781288466	0.5276342476471503	0.5276829340982903	0.5266141792426007	0.5287470401506453	0.5303271394939623
