x	arrow-star	inbetween-0-1-random	inbetween-1-8-random	inbetween-1-4-random	inbetween-3-8-random	inbetween-1-2-random	inbetween-5-8-random	inbetween-3-4-random	inbetween-7-8-random	inbetween-1-1-random
1.0	1.0000321299116541	2.8832685734615997	2.8832685734615997	2.8832685734615997	2.9323176585672965	2.9323176585672965	2.9323176585672965	3.002271720057484	3.002271720057484	3.002271720057484
2.0	1.080803395068226	3.7527693376812756	3.7527693376812756	3.7527693376812756	3.78546872775174	3.78546872775174	4.554181044649689	4.600817085643148	4.600817085643148	4.600817085643148
3.0	1.145757132520596	3.6667215102083452	3.6667215102083452	3.7594246918716183	4.137700571727033	4.137700571727033	4.388717852517266	4.908295153913011	5.178676080423428	5.178676080423428
4.0	1.1166259469525788	3.6358386253429735	3.6358386253429735	3.710001170673592	4.012621874557924	4.012621874557924	4.213435699190111	4.629097540306706	4.84540228151504	4.84540228151504
5.0	1.1080126983184417	5.2373624688703595	5.2373624688703595	5.482338109482976	6.159436427924679	6.234704970605132	6.086041188700348	6.401774193650011	6.603154530723971	6.603154530723971
6.0	1.44575114367929	5.271208113912838	5.271208113912838	5.648220600798371	6.373969625282897	6.438485519008999	6.030737737765393	6.301366027722247	6.585292286309271	6.585292286309271
7.0	1.3934049947468385	4.930351237032893	4.930351237032893	5.38969241889057	5.972893492305279	5.986033824486099	5.9435960069656035	5.943297173439795	6.955042338816935	6.955042338816935
8.0	1.3787804485978028	6.2429813960336755	6.2429813960336755	6.388957228241005	7.2533735267125845	6.89796325631427	7.791100834780077	6.121315376952196	7.9136661810230855	7.9136661810230855
9.0	1.6536313608690696	5.881416874349376	5.881416874349376	6.012795123335972	6.790769791960394	6.470900548601911	7.322588037794352	5.819781125749259	7.43289684941306	7.43289684941306
10.0	1.6070752833491406	5.9032912356872815	5.9032912356872815	6.0227260074932785	6.960477647935955	7.578581874146993	7.3097824033335215	5.7713803643810095	7.255481349701786	7.255481349701786
12.0	1.5535800629963634	6.4880967676369465	6.4880967676369465	6.785942864615184	7.648863755551632	7.825016210990022	7.733621318501396	6.399098716286115	7.823155997869585	7.823155997869585
14.0	1.740833818647932	6.86014771874721	6.86014771874721	7.51058305852244	8.298146155291102	8.892315670500949	8.81598258321566	7.622358552063942	9.18576496605591	9.366170061503206
16.0	1.7033844646172271	6.671434067694543	6.671434067694543	7.25800168769356	8.34847175489882	8.323371052385456	8.315191889332672	7.324143686012021	8.875227303986668	9.21814322366612
18.0	1.6493527028684556	6.719055326119798	6.719055326119798	7.6298516760797765	8.830171918977205	8.749425851949471	8.678560215705454	7.689087864248042	8.879312500290176	9.20439683873589
21.0	1.6073751475515565	6.616020809686879	6.6997990225595245	7.528862680858508	9.071548163693166	8.715207588010127	9.139398973293442	8.08921463819538	9.107374203660278	9.585768235161282
24.0	1.6038115942708764	7.006544479455391	7.080269306783319	8.388921484149142	9.965839560876246	9.51192359706842	9.729535478925587	9.194041919837723	9.796078596491583	10.287350712440862
28.0	1.7859029144461118	7.363875258037083	7.427431143664608	9.426195378695445	10.25669694511464	9.615151613422443	10.868465256737485	10.31154772106214	10.156031616966166	10.625870430309373
32.0	1.862295964664428	7.363434574111052	7.420451166938826	9.550699487758465	10.325583939499033	9.5489660998252	11.828538388431626	10.616949975274338	10.886119203222986	11.61064756075673
37.0	1.8137103029716788	6.918629657759649	6.99063119039606	8.896185575374696	9.567255532361665	8.86770872181068	11.231211650165072	10.005599066931898	10.105626122171115	10.838264828122036
43.0	1.7493102507066596	7.078721714958321	7.142149396083939	8.816319372199338	9.686721035537106	8.88743386835629	11.159408602790112	9.979238603304678	10.104478669091623	10.629727860238338
49.0	1.7523235931747385	7.108314288625215	7.199758399673271	9.029697439964552	10.002811016376095	9.73364168755048	10.984809923341736	10.228055390967258	10.3094560318345	10.997791811053965
57.0	1.7402672379908453	7.305724755771357	7.46552240866098	9.463850974429858	10.44791155663821	10.502191633791401	11.44650794533823	10.954068364158813	10.378494267270503	11.248242733018172
65.0	1.742136551953004	7.8216845654124505	8.121173166179748	10.267675383705459	11.144686383436571	11.077093716939387	12.217488730824511	11.669058673120805	11.186647956320792	12.080316463678082
75.0	1.7389086780496936	7.671200095247869	8.003941236688334	10.56525552801116	10.96199544609238	11.326288132045295	12.604994673399485	11.521691332757998	11.270792876465327	11.929373352940368
86.0	1.798408187921118	8.520029052057629	9.034354836284363	10.885888731714356	11.549915732268069	12.74639591145012	13.66275303208395	12.581921549293968	12.688701188412972	13.608576725395798
