x	arrow-shortestpairs	ivy-shortestpairs
1.0	1.2	1.2
2.0	1.2	1.2
3.0	1.2	1.2
4.0	1.44	1.44
5.0	1.2	1.2
6.0	1.0285714285714287	1.0285714285714287
7.0	1.05	1.05
8.0	0.9333333333333333	0.9333333333333333
9.0	0.96	0.96
10.0	1.090909090909091	0.9818181818181818
11.0	1.2	1.0
12.0	1.1076923076923078	0.9230769230769231
14.0	1.1199999999999999	0.96
16.0	1.1294117647058823	0.988235294117647
18.0	1.1368421052631579	1.1368421052631579
20.0	1.2	1.2
23.0	1.2	1.3499999999999999
25.0	1.2461538461538462	1.4307692307692308
29.0	1.2800000000000002	1.44
32.0	1.272727272727273	1.4545454545454546
36.0	1.2972972972972974	1.524324324324324
41.0	1.3714285714285712	1.4857142857142858
46.0	1.327659574468085	1.3787234042553191
52.0	1.4037735849056603	1.4943396226415095
58.0	1.5050847457627115	1.5457627118644068
65.0	1.5636363636363635	1.5454545454545454
73.0	1.5891891891891892	1.6054054054054057
83.0	1.5714285714285712	1.6714285714285717
93.0	1.5829787234042552	1.6595744680851068
104.0	1.6114285714285714	1.7142857142857142
117.0	1.5966101694915256	1.6983050847457624
132.0	1.5699248120300757	1.6872180451127825
148.0	1.5785234899328868	1.7073825503355708
166.0	1.566467065868264	1.7029940119760483
187.0	1.608510638297873	1.761702127659575
210.0	1.592417061611375	1.7061611374407588
236.0	1.6101265822784818	1.7468354430379749
265.0	1.6150375939849633	1.7413533834586472
298.0	1.6093645484949846	1.7418060200668908
335.0	1.6071428571428585	1.7464285714285723
376.0	1.6233421750663144	1.7570291777188343
422.0	1.6680851063829805	1.7645390070922
475.0	1.6890756302521035	1.7848739495798331
533.0	1.7033707865168575	1.782022471910113
599.0	1.7040000000000024	1.7680000000000013
673.0	1.7056379821958492	1.780415430267064
756.0	1.7183619550858689	1.7722589167767517
849.0	1.7054117647058862	1.7618823529411776
954.0	1.7001047120418902	1.760418848167539
1072.0	1.7021435228331845	1.7793103448275864
1204.0	1.7048962655601716	1.7795850622406653
1353.0	1.6936484490398862	1.7698670605613014
1519.0	1.693421052631582	1.7660526315789487
1707.0	1.6833723653395802	1.7423887587822027
1917.0	1.6792492179353506	1.7443169968717416
2154.0	1.6727610208816723	1.7418097447795826
2420.0	1.6753407682775727	1.7387856257744732
2718.0	1.6669363736667895	1.7260757631482158
3053.0	1.6581532416502949	1.7202357563850703
3430.0	1.6662197610026248	1.7302244243660754
3853.0	1.66144265697976	1.7333679294239723
4328.0	1.6656964656964646	1.7355509355509349
4862.0	1.6720542874768656	1.7354719309068494
5462.0	1.6716090060406317	1.731795716639214
6135.0	1.6791395045632285	1.737222946544984
6892.0	1.6780501958508562	1.7361961410126263
7742.0	1.6812088337853506	1.739325842696635
8697.0	1.685077029202108	1.7444010117268371
9770.0	1.682898372735635	1.7445501995701562
10974.0	1.6821867881548902	1.7470250569476118
12328.0	1.6816935680103762	1.749338956930814
13848.0	1.6800346595421982	1.7470142248537857
15556.0	1.6766985922735662	1.7451179533329093
17475.0	1.6761272602426167	1.749736781872288
19630.0	1.6755132188884938	1.748622077326681
22051.0	1.6807183021948222	1.7495555958643272
24770.0	1.676686447862433	1.7486254087440993
27825.0	1.6759289872780987	1.7504923452885879
31256.0	1.6757078414435327	1.7486131106632137
35111.0	1.6771701982228446	1.745488721804518
39441.0	1.6724608285584026	1.745388164900368
44305.0	1.6698596126935528	1.7412269218616019
49769.0	1.6690054249547983	1.7411693791440606
55907.0	1.6673964370036658	1.7420905773771136
62802.0	1.6654363645048957	1.7397831313790684
70547.0	1.664619833305006	1.7381867664568726
79247.0	1.6635069654754857	1.7372955784373016
89020.0	1.6625245728536162	1.7384572179598177
99999.0	1.6612920000000158	1.7386800000000104
