x	ivy-shortestpairs	arrow-shortestpairs
1.0	1.0	1.0
2.0	1.0	1.0
3.0	1.0	1.0
4.0	1.2	1.2
5.0	1.0	1.0
6.0	0.8571428571428572	0.8571428571428572
7.0	0.875	0.875
8.0	0.7777777777777778	0.7777777777777778
9.0	0.8	0.8
10.0	0.8181818181818182	0.9090909090909092
11.0	0.8333333333333334	1.0
12.0	0.7692307692307693	0.9230769230769231
14.0	0.8	0.9333333333333333
16.0	0.8235294117647058	0.9411764705882353
18.0	0.9473684210526316	0.9473684210526315
20.0	1.0	1.0
23.0	1.125	1.0
25.0	1.1923076923076923	1.0384615384615385
29.0	1.2	1.0666666666666669
32.0	1.2121212121212122	1.0606060606060608
36.0	1.2702702702702702	1.0810810810810811
41.0	1.2380952380952381	1.1428571428571428
46.0	1.148936170212766	1.1063829787234043
52.0	1.2452830188679247	1.169811320754717
58.0	1.288135593220339	1.254237288135593
65.0	1.2878787878787878	1.303030303030303
73.0	1.3378378378378382	1.3243243243243243
83.0	1.3928571428571432	1.3095238095238093
93.0	1.3829787234042556	1.3191489361702127
104.0	1.4285714285714286	1.342857142857143
117.0	1.4152542372881354	1.3305084745762714
132.0	1.4060150375939855	1.3082706766917298
148.0	1.4228187919463091	1.315436241610739
166.0	1.419161676646707	1.3053892215568867
187.0	1.4680851063829792	1.3404255319148943
210.0	1.421800947867299	1.3270142180094793
236.0	1.4556962025316458	1.3417721518987349
265.0	1.4511278195488728	1.345864661654136
298.0	1.451505016722409	1.3411371237458205
335.0	1.4553571428571437	1.3392857142857155
376.0	1.464190981432362	1.3527851458885953
422.0	1.4704491725768334	1.3900709219858172
475.0	1.4873949579831944	1.4075630252100864
533.0	1.485018726591761	1.4194756554307146
599.0	1.4733333333333345	1.4200000000000021
673.0	1.4836795252225534	1.4213649851632078
756.0	1.4768824306472932	1.4319682959048907
849.0	1.468235294117648	1.4211764705882386
954.0	1.4670157068062826	1.4167539267015752
1072.0	1.4827586206896555	1.4184529356943205
1204.0	1.482987551867221	1.4207468879668097
1353.0	1.474889217134418	1.4113737075332387
1519.0	1.4717105263157906	1.4111842105263184
1707.0	1.4519906323185023	1.4028103044496503
1917.0	1.453597497393118	1.399374348279459
2154.0	1.4515081206496523	1.3939675174013937
2420.0	1.4489880214787276	1.3961173068979773
2718.0	1.4383964692901798	1.3891136447223247
3053.0	1.4335297969875587	1.3817943680419125
3430.0	1.4418536869717296	1.3885164675021875
3853.0	1.444473274519977	1.3845355474831333
4328.0	1.4462924462924458	1.3880803880803871
4862.0	1.4462266090890412	1.393378572897388
5462.0	1.443163097199345	1.3930075050338597
6135.0	1.4476857887874868	1.399282920469357
6892.0	1.446830117510522	1.3983751632090469
7742.0	1.4494382022471959	1.4010073614877923
8697.0	1.4536675097723644	1.4042308576684235
9770.0	1.4537918329751303	1.4024153106130293
10974.0	1.45585421412301	1.4018223234624085
12328.0	1.4577824641090118	1.4014113066753136
13848.0	1.4558451873781548	1.400028882951832
15556.0	1.4542649611107579	1.3972488268946386
17475.0	1.4581139848935734	1.3967727168688473
19630.0	1.4571850644389008	1.3962610157404116
22051.0	1.457962996553606	1.400598585162352
24770.0	1.4571878406200829	1.3972387065520275
27825.0	1.4587436210738234	1.3966074893984157
31256.0	1.4571775922193448	1.396423201202944
35111.0	1.4545739348370985	1.3976418318523707
39441.0	1.4544901374169734	1.3937173571320023
44305.0	1.4510224348846683	1.3915496772446274
49769.0	1.4509744826200506	1.3908378541289987
55907.0	1.4517421478142614	1.3894970308363883
62802.0	1.4498192761492237	1.3878636370874131
70547.0	1.448488972047394	1.3871831944208384
79247.0	1.4477463153644181	1.3862558045629048
89020.0	1.4487143482998481	1.3854371440446802
99999.0	1.4489000000000087	1.3844100000000132
