x	arrow-star	arrow-shortpairs	arrow-shortestpairs	arrow-random	arrow-mst
1.0	1.8949763131418476	1.9000421485295822	1.0225771183939036	1.0	1.2652831477216946
2.0	1.9026706140531122	2.1477697353957876	1.4403113031040966	1.8705074185597352	1.9119899172215615
3.0	1.6770029605398342	2.0488626431691985	1.349210506719141	2.0501276934768673	1.8720277795385287
4.0	1.5416023684318674	1.8430054619706264	1.2832837528105803	2.3787374883423453	1.7015375710660905
5.0	1.9798043779602554	2.2381146014947317	1.4066590379014872	3.6759936169169682	1.6128458601267723
6.0	2.2928058133376754	2.520335415440521	1.4947842415378492	4.602605137327413	1.5494946380272594
7.0	2.182082341109531	2.4490732485243045	1.492213246783644	4.290004676082658	1.599587568287701
8.0	2.0959640849320857	2.393647118700581	1.4902135841970399	4.046870984003404	1.6385487362680444
9.0	2.0270694799901294	2.349306214841602	1.4886138541277565	3.8523640303400013	1.6697176706523191
10.0	2.1129798422836017	2.2266420134923655	1.597922055411939	3.746785851968525	1.6088342460475629
11.0	2.0202315220933014	2.1465697772429633	1.5492011236403862	3.517887030971148	1.580245990418561
12.0	1.9417521742399706	2.078816346570392	1.5079757198336876	3.3242034132041365	1.5560559279632518
14.0	1.9610795199539541	1.982780176941607	1.5529792284061137	3.1270432293271693	1.5297211474820853
16.0	1.8853859358578997	1.8715840196822675	1.5040673358236951	2.9481143634994864	1.4950443876916937
18.0	1.9295894980643296	1.9063779857352112	1.619818299469918	3.0519470587119306	1.604409375924681
20.0	1.857193779490367	1.843950761299099	1.6001184994132813	2.9529770682269207	1.61579481677649
23.0	2.066235704981482	1.738816421524351	1.5254631923742603	3.7172868977558724	1.5391799700670679
25.0	2.018146868016231	1.721662446855627	1.5141450714874705	3.5795446634953563	1.5373826455104427
29.0	1.9469037178173234	1.690308844926469	1.4657109786234743	3.329078697180694	1.5155200656443941
32.0	1.8718452704310562	1.6486460800750333	1.441373470990798	3.212491151849694	1.5025721193500112
36.0	1.8350717104037484	1.63616367439872	1.401798048152273	3.286197502394529	1.477320566290335
41.0	1.9907746846437968	1.5786953892845803	1.417874462521175	3.3868214155083995	1.438762174998622
46.0	1.9367556493335127	1.5713393289804989	1.3851087896803476	3.2198069127483193	1.427822038355803
52.0	1.976873168306805	1.5122421770416814	1.4061415824200623	3.3063155064453373	1.3849721268650643
58.0	1.8799683681782302	1.4725852216898898	1.3734102533814525	3.218129083821662	1.3694194246740383
65.0	1.8705208684748442	1.4521032656416195	1.4164901569593136	3.088624848121847	1.3848678718487166
73.0	2.215056247703365	1.5665564540070396	1.3988794622592124	3.9215347404313277	1.367705813051995
83.0	2.2289895707875824	1.5860767566518483	1.3964318906724378	3.7804877559300847	1.3776641954208706
93.0	2.3007214223245427	1.6058920559575036	1.4034327428203464	3.8026761967818405	1.4326930512886813
104.0	2.252174602057762	1.5948336353174495	1.3817381786429919	3.8348786965174426	1.414202311140606
117.0	2.189326775781446	1.5941089365711558	1.4221888056335754	3.668771824272547	1.4521571137501477
132.0	2.125080167248571	1.6252236588558542	1.423169805556385	3.5918487197855926	1.4661400865057905
148.0	2.20112608635429	1.6440101438205836	1.4417938442916547	3.891951265996829	1.4985858106180654
166.0	2.150511058816264	1.609965978850393	1.4184098920137096	3.904039322793664	1.4775024486582222
187.0	2.1899599927670557	1.6054398862393067	1.4274208755412308	3.969213468871151	1.4808889170294344
210.0	2.1352456330948875	1.6558366335980854	1.4581821937502022	3.803386580548052	1.5520672595143392
236.0	2.116663298229296	1.6322399089695936	1.455479121279034	3.7545580670662155	1.5622011082565863
265.0	2.141601948600208	1.6010142434621366	1.4479627580611787	3.8328693211265095	1.5418537238259309
298.0	2.1961089572832604	1.5951772538244717	1.4554722455794968	3.9052097850448866	1.5455881964239522
335.0	2.180101080473267	1.6168188051819743	1.4589010192847094	3.906875067610031	1.5624528059326999
376.0	2.107770475246256	1.615544463275606	1.4394644093032625	3.802658082237609	1.5571237781434353
422.0	2.1211318849595573	1.6190819925641216	1.4390085508099981	3.7486568384436496	1.5561984656492338
475.0	2.0860280342098485	1.6351661209885524	1.455159798707301	3.7721160376140297	1.6014778076380873
533.0	2.112008988185401	1.6301908551248485	1.4508923485254597	3.813437890537919	1.585592779868366
599.0	2.0501563118247934	1.6189668222509324	1.4474679389257616	3.7568586373381785	1.5816029133016258
673.0	2.064194995440265	1.6213351715907471	1.4504029821343745	3.7729719477175165	1.5766242522849934
756.0	2.1113301770665522	1.6396136891229744	1.4565609750554187	3.901215708587486	1.5857341957998827
849.0	2.065255467136777	1.6382642195460262	1.448293898471864	3.77168898386646	1.582055537775046
954.0	2.063903853519742	1.6495471301048548	1.4438230640658523	3.868699041747329	1.5845240479279858
1072.0	2.0528719706455987	1.6556797770551501	1.4503388229853016	3.879927511285343	1.6062388056432941
1204.0	2.098948291890739	1.6674753414878742	1.439752676322231	4.081494274808649	1.6014319417172127
1353.0	2.1564344996287326	1.6675222287815412	1.4400662526571044	4.2049112852638535	1.5978209067065474
1519.0	2.1971388414613773	1.6783632721035693	1.4444865094138055	4.373565698872523	1.606153386017715
1707.0	2.2271315233082287	1.6704011290721732	1.4447932894728404	4.479217017964339	1.5971176346553815
1917.0	2.196903646255094	1.660410401023301	1.4396972014632838	4.443227825672174	1.591422979586213
2154.0	2.2411590416518306	1.660399945437509	1.4388982527358736	4.565086093301039	1.5890458530132707
2420.0	2.219447759900954	1.6503428588996947	1.435324759815918	4.510563486568735	1.5822580695615067
2718.0	2.2583644979755717	1.6526178760749348	1.4383734419731982	4.625792537899411	1.5842210701832709
3053.0	2.249509512257028	1.6452024611063492	1.4344214019650747	4.57804290131986	1.5768663758165244
3430.0	2.237772799221221	1.6452913329473635	1.4339584223366055	4.565816209729479	1.5801970095855844
3853.0	2.2392976754648144	1.6440520968208387	1.4332953677675937	4.585775831399665	1.5784970814245616
4328.0	2.2444426100900823	1.651200701469461	1.433615983893812	4.554151239265659	1.5779953814256777
4862.0	2.242386712571412	1.6429793420961716	1.4321916220537612	4.518884369692609	1.5739528554581692
5462.0	2.230916918967042	1.6400627151520415	1.434129618142469	4.470340866954719	1.5756644192629714
