x	reclique	ivy-random	arrow-star	arrow-mst	localMinPairs-random	inbetween-3-4-random
1.0	12.989021043000914	2986.7259835315645	2980.2717291857275	12.989021043000914	2983.1029277218663	2989.5365965233304
2.0	12.989021043000914	2983.0082342177493	2980.2717291857275	12.989021043000914	2977.6285452881975	2988.1312900274474
3.0	12.989021043000914	2981.1637694419032	2980.2717291857275	12.989021043000914	2975.7840805123515	2984.852698993596
4.0	12.989021043000914	2985.8188472095153	2980.2717291857275	12.989021043000914	2964.8490393412626	2983.096065873742
5.0	12.989021043000914	2986.7630375114363	2980.2717291857275	12.989021043000914	2959.7987191216835	2981.690759377859
6.0	12.989021043000914	2988.1683440073193	2980.2717291857275	12.989021043000914	2952.4208600182983	2979.8462946020127
7.0	12.989021043000914	2988.51967063129	2980.2717291857275	12.989021043000914	2947.385635864593	2978.3531564501372
8.0	12.989021043000914	2989.4638609332114	2980.2717291857275	12.989021043000914	2945.5192131747485	2981.954254345837
9.0	12.989021043000914	2993.9871912168346	2980.2717291857275	12.989021043000914	2939.4368709972555	2980.9881061299175
10.0	12.989021043000914	2990.7086001829825	2980.2717291857275	12.989021043000914	2934.138151875572	2982.3934126258005
12.0	12.989021043000914	2990.7086001829825	2980.2717291857275	12.989021043000914	2927.2653247941444	2984.150045745654
14.0	12.989021043000914	2994.689844464776	2980.2717291857275	12.989021043000914	2913.054437328454	2985.555352241537
16.0	12.989021043000914	2998.203110704483	2980.2717291857275	12.989021043000914	2903.545288197621	2980.285452881976
18.0	12.989021043000914	3001.36505032022	2980.2717291857275	12.989021043000914	2901.3220494053066	2978.5288197621226
21.0	12.989021043000914	2999.608417200366	2980.2717291857275	12.989021043000914	2889.9698078682527	2981.954254345837
24.0	12.989021043000914	2992.142726440988	2980.2717291857275	12.989021043000914	2881.596980786825	2988.629460201281
28.0	12.989021043000914	3000.662397072278	2980.2717291857275	12.989021043000914	2873.2049405306498	2992.4940530649587
32.0	12.989021043000914	2996.572735590119	2980.2717291857275	12.989021043000914	2863.6916742909425	2996.007319304666
37.0	12.989021043000914	2995.979871912168	2980.2717291857275	12.989021043000914	2852.0759377859104	2997.8517840805125
43.0	12.989021043000914	3005.465690759378	2980.2717291857275	12.989021043000914	2842.0892040256176	2993.4313815187556
49.0	12.989021043000914	3002.2653247941444	2980.2717291857275	12.989021043000914	2831.236505032022	2995.1166514181155
57.0	12.989021043000914	2994.470265324794	2980.2717291857275	12.989021043000914	2809.7122598353158	2990.6372369624887
65.0	12.989021043000914	2997.6322049405308	2980.2717291857275	12.989021043000914	2795.0663311985363	2999.596065873742
75.0	12.989021043000914	3005.822506861848	2980.2717291857275	12.989021043000914	2774.594693504117	2995.1605672461114
86.0	12.989021043000914	3003.9560841720036	2980.2717291857275	12.989021043000914	2750.6413540713634	2988.7488563586458
99.0	12.989021043000914	3002.44098810613	2980.2717291857275	12.989021043000914	2713.4940530649587	2988.397529734675
114.0	12.989021043000914	3007.35956084172	2980.2717291857275	12.989021043000914	2677.743824336688	2995.687557182068
132.0	12.989021043000914	3017.9487648673376	2980.2717291857275	12.989021043000914	2648.2804208600182	3008.3847209515097
151.0	12.989021043000914	3023.943275388838	2980.2717291857275	12.989021043000914	2611.1935041171087	2996.5713632204943
174.0	12.989021043000914	3008.6605672461114	2980.2717291857275	12.989021043000914	2574.0928636779504	3011.0539798719124
